"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Christian Walker","ARI","160","667","36","84","94","2","10.3%","19.6%",".235",".248",".242",".327",".477",".346",".359","122","-0.3","16.9","-0.4","4.1","13419"
"Josh Rojas","ARI","125","510","9","66","56","23","10.8%","19.2%",".122",".323",".269",".349",".391",".326",".308","108","6.2","11.2","-2.9","2.7","19734"
"Jake McCarthy","ARI","99","354","8","53","43","23","6.5%","21.5%",".143",".349",".283",".342",".427",".337",".298","116","7.7","14.3","-3.9","2.3","21622"
"Ketel Marte","ARI","137","558","12","68","52","5","9.9%","18.1%",".167",".276",".240",".321",".407",".317",".315","102","-0.9","0.6","-5.8","1.4","13613"
"Corbin Carroll","ARI","32","115","4","13","14","2","7.0%","27.0%",".240",".333",".260",".330",".500",".358",".293","130","0.9","4.9","4.7","1.4","25878"
"Evan Longoria","ARI","89","298","14","31","42","0","9.1%","27.9%",".207",".297",".244",".315",".451",".330",".324","115","-2.3","2.8","-0.8","1.3","9368"
"Lourdes Gurriel Jr.","ARI","121","493","5","52","52","3","6.3%","16.8%",".108",".346",".291",".343",".400",".327",".321","114","-4.1","3.8","-9.8","1.0","19238"
"Emmanuel Rivera","ARI","102","359","12","46","40","1","6.4%","23.1%",".176",".275",".233",".292",".409",".306","","95","-0.9","-2.7","0.7","1.0","19890"
"Gabriel Moreno","ARI","25","73","1","10","7","0","5.5%","11.0%",".058",".350",".319",".356",".377",".326",".299","113","-0.3","0.8","3.8","0.7","22664"
"Geraldo Perdomo","ARI","148","500","5","58","40","9","10.0%","20.6%",".067",".243",".195",".285",".262",".253",".269","58","5.4","-18.7","7.9","0.6","22799"
"Alek Thomas","ARI","113","411","8","45","39","4","5.4%","18.0%",".113",".263",".231",".275",".344",".272",".277","71","1.8","-11.8","2.7","0.5","23792"
"Carson Kelly","ARI","104","354","7","40","35","2","8.2%","20.1%",".123",".247",".211",".282",".334",".275",".288","73","-0.4","-11.4","3.7","0.4","13620"
"Nick Ahmed","ARI","17","54","3","7","7","0","3.7%","27.8%",".212",".265",".231",".259",".442",".302",".227","92","0.1","-0.4","2.0","0.4","12147"
"Pavin Smith","ARI","75","277","9","24","33","1","10.1%","24.2%",".147",".262",".220",".300",".367",".294",".304","87","0.5","-3.8","-4.4","0.1","19892"
"Mark Melancon","ARI","62","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4264"
"Madison Bumgarner","ARI","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5524"
"Merrill Kelly","ARI","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11156"
"Andrew Chafin","ARI","64","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12988"
"Zach Davies","ARI","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13183"
"Joe Mantiply","ARI","69","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14857"
"Cole Sulser","ARI","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15256"
"Miguel Castro","ARI","34","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15684"
"Zac Gallen","ARI","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19291"
"Kevin Ginkel","ARI","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19876"
"Corbin Martin","ARI","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19884"
"Luis Frias","ARI","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21997"
"Ryne Nelson","ARI","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26253"
"Drey Jameson","ARI","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26260"
"Tommy Henry","ARI","9","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26285"
"Kyle Nelson","ARI","43","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","-0.1","0.0","20515"
"Jose Herrera","ARI","47","124","0","9","5","0","7.3%","27.4%",".018",".273",".189",".250",".207",".213",".186","31","0.6","-9.4","5.0","0.0","17040"
"Diego Castillo","ARI","96","283","11","28","29","1","4.9%","26.5%",".176",".239",".206",".251",".382",".272",".292","73","-0.4","-9.2","-1.2","-0.1","19906"
"Kyle Lewis","ARI","18","62","3","6","5","0","8.1%","30.6%",".161",".147",".143",".226",".304",".239",".300","56","-0.9","-4.0","-1.5","-0.4","19508"
"Seth Beer","ARI","38","126","1","4","9","0","8.7%","24.6%",".054",".250",".189",".278",".243",".239",".276","49","-1.9","-9.4","-3.8","-0.9","20493"
