"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Austin Riley","ATL","159","693","38","90","93","2","8.2%","24.2%",".255",".315",".273",".349",".528",".377",".378","142","-1.7","32.5","-3.1","5.5","18360"
"Sean Murphy","ATL","148","612","18","67","66","1","9.2%","20.3%",".177",".290",".250",".332",".426",".331",".344","122","-1.4","13.8","15.0","5.1","19352"
"Michael Harris II","ATL","114","441","19","75","64","20","4.8%","24.3%",".217",".361",".297",".339",".514",".368",".335","136","5.9","24.4","6.7","4.8","25931"
"Travis d'Arnaud","ATL","107","426","18","61","60","0","4.5%","21.1%",".205",".306",".268",".319",".472",".343",".313","120","-3.6","6.1","16.8","3.9","7739"
"Matt Olson","ATL","162","699","34","86","103","0","10.7%","24.3%",".237",".274",".240",".325",".477",".344",".347","120","-0.8","15.4","-9.4","3.1","14344"
"Ronald Acuna Jr.","ATL","119","533","15","71","50","29","9.9%","23.6%",".148",".331",".266",".351",".413",".335",".366","114","4.8","13.6","-10.7","2.2","18401"
"Ozzie Albies","ATL","64","269","8","36","35","3","5.9%","17.5%",".162",".270",".247",".294",".409",".305",".297","93","1.5","-0.7","2.5","1.1","16556"
"Eli White","ATL","47","117","3","16","10","12","9.4%","35.0%",".105",".290",".200",".274",".305",".260",".255","67","4.2","-0.2","5.3","0.9","19346"
"Vaughn Grissom","ATL","41","156","5","24","18","5","7.1%","21.8%",".149",".350",".291",".353",".440",".345",".326","121","1.9","5.7","-4.1","0.7","26031"
"Orlando Arcia","ATL","68","234","9","25","30","0","9.0%","21.8%",".172",".278",".244",".316",".416",".321",".329","104","-0.1","1.0","-2.5","0.7","13185"
"Jordan Luplow","ATL","83","234","11","26","28","5","10.7%","25.6%",".185",".185",".176",".274",".361",".281",".288","78","0.3","-5.8","-0.5","0.2","16424"
"Charlie Morton","ATL","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4676"
"Collin McHugh","ATL","58","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7531"
"Lucas Luetge","ATL","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8337"
"Kirby Yates","ATL","9","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9073"
"Tyler Matzek","ATL","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10058"
"Max Fried","ATL","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13743"
"Jackson Stephens","ATL","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14420"
"Joe Jimenez","ATL","62","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15761"
"Raisel Iglesias","ATL","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17130"
"A.J. Minter","ATL","75","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18655"
"Kolby Allard","ATL","10","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18694"
"Kyle Wright","ATL","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19665"
"Ian Anderson","ATL","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19951"
"Dylan Lee","ATL","46","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19996"
"Huascar Ynoa","ATL","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20468"
"Spencer Strider","ATL","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","27498"
"Bryce Elder","ATL","10","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","27779"
"Sam Hilliard","ATL","70","200","2","26","14","5","11.5%","28.5%",".080",".256",".184",".280",".264",".251",".303","44","1.8","-11.2","-0.7","-0.5","17954"
"Marcell Ozuna","ATL","124","507","23","56","56","2","6.1%","24.1%",".187",".252",".226",".274",".413",".298",".337","88","-2.6","-9.4","-13.0","-0.6","10324"
"Eddie Rosario","ATL","80","270","5","27","24","3","6.3%","25.2%",".116",".267",".212",".259",".328",".258",".250","61","1.3","-10.8","-8.9","-1.1","12155"
