"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Adley Rutschman","BAL","113","470","13","70","42","4","13.8%","18.3%",".191",".291",".254",".362",".445",".354",".342","133","5.0","22.4","13.1","5.3","26288"
"Cedric Mullins II","BAL","156","672","16","89","64","34","7.0%","18.8%",".145",".299",".258",".318",".403",".315",".288","106","3.3","7.6","3.0","3.4","17929"
"Jorge Mateo","BAL","150","533","13","63","50","35","5.1%","27.6%",".158",".286",".221",".267",".379",".281",".272","82","5.8","-5.2","14.5","2.8","17273"
"Ramon Urias","BAL","118","445","16","50","51","1","6.7%","22.0%",".166",".287",".248",".305",".414",".313",".320","104","0.0","2.1","8.5","2.6","18795"
"Anthony Santander","BAL","152","647","33","78","89","0","8.5%","18.9%",".214",".248",".240",".318",".455",".336",".352","120","0.3","14.9","-11.6","2.5","14551"
"Ryan Mountcastle","BAL","145","609","22","62","85","4","7.1%","25.3%",".173",".303",".250",".305",".423",".316",".362","106","0.7","5.0","-9.5","1.6","18373"
"Austin Hays","BAL","145","582","16","66","60","2","5.8%","19.6%",".163",".289",".250",".306",".413",".314",".298","105","0.6","3.8","-7.6","1.5","19363"
"Adam Frazier","BAL","156","602","3","61","42","11","7.6%","12.1%",".072",".268",".238",".301",".311",".274",".297","81","-0.2","-13.1","4.4","1.1","15223"
"Ryan McKenna","BAL","105","172","2","23","11","2","6.4%","32.0%",".103",".350",".237",".294",".340",".279",".267","80","2.7","-1.1","3.6","0.8","19928"
"Gunnar Henderson","BAL","34","132","4","12","18","1","12.1%","25.8%",".181",".333",".259",".348",".440",".343",".338","125","-0.2","3.6","-0.3","0.8","26289"
"James McCann","BAL","61","191","3","19","18","3","5.8%","24.1%",".086",".244",".195",".257",".282",".243",".311","59","0.3","-8.7","5.8","0.4","12859"
"Kyle Stowers","BAL","34","98","3","11","11","0","5.1%","29.6%",".165",".339",".253",".306",".418",".316",".335","107","-0.9","-0.2","-1.2","0.2","26151"
"Terrin Vavra","BAL","40","103","1","14","12","0","11.7%","18.4%",".079",".310",".258",".340",".337",".303",".318","97","-1.7","-2.0","-1.0","0.0","24400"
"Kyle Gibson","BAL","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10123"
"Mychal Givens","BAL","59","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10430"
"Joey Krehbiel","BAL","56","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13707"
"Austin Voth","BAL","41","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15047"
"John Means","BAL","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16269"
"Spenser Watkins","BAL","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17489"
"Dillon Tate","BAL","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17796"
"Cole Irvin","BAL","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19244"
"Dean Kremer","BAL","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19350"
"Keegan Akin","BAL","45","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19362"
"Cionel Perez","BAL","66","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19614"
"Bryan Baker","BAL","66","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19804"
"Tyler Wells","BAL","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20000"
"Mike Baumann","BAL","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20206"
"Bruce Zimmermann","BAL","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20370"
"Felix Bautista","BAL","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20666"
"Nick Vespi","BAL","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21093"
"DL Hall","BAL","11","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22207"
"Logan Gillaspie","BAL","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22461"
"Kyle Bradish","BAL","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","24586"
"Yennier Cano","BAL","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25911"
