"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Rafael Devers","BOS","141","614","27","84","88","3","8.1%","18.6%",".225",".329",".295",".358",".521",".373",".361","140","-1.2","26.8","0.1","4.9","17350"
"Justin Turner","BOS","128","532","13","61","81","3","9.4%","16.7%",".160",".313",".278",".350",".438",".343",".339","123","-3.1","11.4","-6.4","2.4","5235"
"Reese McGuire","BOS","89","274","3","25","22","1","4.4%","20.4%",".100",".332",".269",".307",".369",".297","","90","-1.9","-5.1","11.9","1.6","15674"
"Rob Refsnyder","BOS","57","177","6","25","21","1","8.5%","26.0%",".190",".394",".307",".384",".497",".381",".374","146","1.7","10.9","-3.8","1.3","13770"
"Alex Verdugo","BOS","152","644","11","75","74","1","6.5%","13.4%",".125",".309",".280",".328",".405",".319",".329","103","-1.1","0.8","-10.2","1.2","17027"
"Adam Duvall","BOS","86","315","12","39","36","0","6.7%","32.1%",".188",".278",".213",".276",".401",".295",".293","87","2.7","-2.2","0.4","0.9","10950"
"Enrique Hernandez","BOS","93","402","6","48","45","0","8.5%","17.7%",".116",".257",".222",".291",".338",".280",".296","75","-0.7","-12.0","4.2","0.5","10472"
"Triston Casas","BOS","27","95","5","11","12","1","20.0%","24.2%",".211",".208",".197",".358",".408",".344",".325","120","-1.1","1.0","-0.8","0.3","22514"
"Christian Arroyo","BOS","87","300","6","32","36","5","4.3%","16.3%",".129",".326",".286",".322",".414",".319",".330","102","-3.2","-2.4","-5.2","0.2","16434"
"Yu Chang","BOS","69","190","4","19","15","0","8.4%","31.1%",".107",".290",".208",".289",".315",".273","","78","-1.5","-6.4","1.4","0.1","14773"
"Connor Wong","BOS","27","56","1","8","7","0","8.9%","28.6%",".125",".250",".188",".273",".313",".263",".281","63","0.8","-1.6","0.6","0.1","19896"
"Adalberto Mondesi","BOS","15","54","0","3","3","5","7.4%","37.0%",".000",".233",".140",".204",".140",".166",".211","-3","1.0","-5.3","3.9","0.0","13769"
"Corey Kluber","BOS","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","2429"
"Kenley Jansen","BOS","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3096"
"Ryan Brasier","BOS","68","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5615"
"Richard Bleier","BOS","55","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7803"
"Chris Sale","BOS","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10603"
"Joely Rodriguez","BOS","55","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11487"
"Chris Martin","BOS","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11847"
"Nick Pivetta","BOS","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15454"
"Tanner Houck","BOS","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19879"
"Wyatt Mills","BOS","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20010"
"John Schreiber","BOS","64","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20020"
"Kaleb Ort","BOS","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20061"
"Garrett Whitlock","BOS","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20191"
"Zack Kelly","BOS","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20349"
"Kutter Crawford","BOS","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20531"
"Josh Winckowski","BOS","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22387"
"Brayan Bello","BOS","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23920"
"Bobby Dalbec","BOS","117","353","12","40","39","3","8.2%","33.4%",".155",".293",".215",".283",".369",".287",".296","80","1.7","-6.3","-5.6","-0.1","19966"
"Jarren Duran","BOS","58","223","3","23","17","7","6.3%","28.3%",".142",".302",".221",".283",".363",".284",".282","78","0.5","-5.1","-5.4","-0.4","24617"
