"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Dansby Swanson","CHC","162","696","25","99","96","18","7.0%","26.1%",".170",".348",".277",".329",".447",".337",".337","116","3.1","15.7","21.4","6.4","18314"
"Nico Hoerner","CHC","135","517","10","60","55","20","5.4%","11.0%",".129",".300",".281",".327",".410",".320",".301","106","2.3","6.0","14.3","4.0","21479"
"Ian Happ","CHC","158","641","17","72","72","9","9.0%","23.2%",".169",".336",".271",".342",".440",".339",".306","120","0.7","15.2","-3.6","3.5","17919"
"Seiya Suzuki","CHC","111","446","14","54","46","9","9.4%","24.7%",".171",".326",".262",".336",".433",".334",".327","116","-0.4","7.9","-3.7","2.0","30116"
"Cody Bellinger","CHC","144","550","19","70","68","14","6.9%","27.3%",".179",".255",".210",".265",".389",".284",".278","83","4.5","-6.2","3.8","1.7","15998"
"Christopher Morel","CHC","113","425","16","55","47","10","8.9%","32.2%",".198",".320",".235",".308",".433",".322",".324","108","1.9","5.9","-5.1","1.6","21897"
"Patrick Wisdom","CHC","134","534","25","67","66","8","9.9%","34.3%",".220",".274",".207",".298",".426",".316",".295","104","0.6","3.0","-10.8","1.1","13602"
"Zach McKinstry","CHC","57","185","5","21","14","7","8.6%","28.1%",".163",".257",".199",".273",".361",".280","","79","3.9","-0.6","2.9","0.9","19392"
"Trey Mancini","CHC","143","587","18","56","63","0","9.0%","23.0%",".152",".286",".239",".319",".391",".312","","104","-3.0","-0.5","-10.1","0.9","15149"
"Yan Gomes","CHC","86","293","8","23","31","2","2.7%","16.0%",".130",".252",".235",".260",".365",".271",".287","73","-2.0","-11.2","7.0","0.6","9627"
"Eric Hosmer","CHC","104","419","8","38","44","0","8.8%","15.3%",".113",".304",".268",".334",".382",".313","","104","-5.1","-3.0","-8.2","0.3","3516"
"Nick Madrigal","CHC","59","228","0","19","7","3","6.1%","11.8%",".033",".286",".249",".305",".282",".267",".283","70","-0.4","-8.2","2.2","0.2","20521"
"Edwin Rios","CHC","27","92","7","12","17","0","5.4%","39.1%",".256",".326",".244",".293",".500",".338",".312","120","-0.7","1.5","-3.6","0.1","18316"
"Nelson Velazquez","CHC","77","206","6","20","26","5","9.2%","31.6%",".168",".281",".205",".286",".373",".291",".305","87","0.1","-3.0","-3.3","0.1","23359"
"Brad Boxberger","CHC","70","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10133"
"Jameson Taillon","CHC","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11674"
"Drew Smyly","CHC","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11760"
"Kyle Hendricks","CHC","16","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12049"
"Michael Fulmer","CHC","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13218"
"Adrian Sampson","CHC","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13339"
"Marcus Stroman","CHC","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13431"
"Rowan Wick","CHC","64","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14646"
"Julian Merryweather","CHC","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16703"
"Justin Steele","CHC","24","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17312"
"Adbert Alzolay","CHC","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17859"
"Michael Rucker","CHC","41","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19454"
"Keegan Thompson","CHC","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19795"
"Javier Assad","CHC","9","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21741"
"Jeremiah Estrada","CHC","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22210"
"Brandon Hughes","CHC","57","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23460"
"Caleb Kilian","CHC","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26213"
"Hayden Wesneski","CHC","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","27581"
"Miles Mastrobuoni","CHC","8","17","0","1","0","1","5.9%","35.3%",".000",".300",".188",".235",".188",".196",".186","27","0.5","-0.9","-1.2","-0.2","20017"
"Tucker Barnhart","CHC","94","308","1","16","16","0","8.1%","24.0%",".046",".296",".221",".287",".267",".253",".244","63","-1.7","-14.6","2.4","-0.2","10200"
