"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Elvis Andrus","CHW","149","577","17","66","58","18","6.8%","15.9%",".155",".272",".249",".303",".404",".310","","105","6.0","9.3","6.1","3.5","8709"
"Andrew Benintendi","CHW","126","521","5","54","51","8","10.0%","14.8%",".095",".352",".304",".373",".399",".342","","122","0.6","13.5","-3.5","2.8","17901"
"Luis Robert","CHW","98","401","12","54","56","11","4.2%","19.2%",".142",".329",".284",".319",".426",".324",".327","111","4.4","9.5","-2.5","2.1","20043"
"Tim Anderson","CHW","79","351","6","50","25","13","4.0%","15.7%",".093",".347",".301",".339",".395",".323",".340","110","2.8","6.8","1.2","2.0","15172"
"Seby Zavala","CHW","61","205","2","22","21","0","9.3%","31.2%",".112",".404",".270",".347",".382",".323",".283","111","-0.7","1.7","9.5","1.9","18887"
"Eloy Jimenez","CHW","84","327","16","40","54","0","8.6%","22.0%",".205",".337",".295",".358",".500",".370",".365","144","-1.4","14.7","-8.6","1.7","17484"
"Yoan Moncada","CHW","104","433","12","41","51","2","7.4%","26.3%",".141",".265",".212",".273",".353",".275",".289","76","1.3","-10.2","5.3","0.9","17232"
"Jake Burger","CHW","51","183","8","20","26","0","5.5%","30.6%",".208",".324",".250",".302",".458",".327",".318","113","-1.0","1.6","-5.0","0.3","22275"
"Gavin Sheets","CHW","124","410","15","34","53","0","6.6%","21.0%",".170",".272",".241",".295",".411",".308",".283","100","-2.6","-2.7","-9.2","0.1","19901"
"Romy Gonzalez","CHW","32","109","2","15","11","0","1.8%","35.8%",".114",".354",".238",".257",".352",".264",".265","69","-0.6","-4.4","1.1","0.0","21562"
"Lance Lynn","CHW","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","2520"
"Liam Hendriks","CHW","58","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3548"
"Jake Diekman","CHW","70","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","5003"
"Joe Kelly","CHW","43","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9761"
"Mike Clevinger","CHW","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12808"
"Jose Ruiz","CHW","63","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14552"
"Lucas Giolito","CHW","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15474"
"Kendall Graveman","CHW","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15514"
"Aaron Bummer","CHW","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16258"
"Reynaldo Lopez","CHW","61","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16400"
"Tanner Banks","CHW","35","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16990"
"Michael Kopech","CHW","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17282"
"Dylan Cease","CHW","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18525"
"Jimmy Lambert","CHW","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19541"
"Matt Foster","CHW","48","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19647"
"Davis Martin","CHW","14","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21448"
"Gregory Santos","CHW","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21894"
"A.J. Alexy","CHW","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22343"
"Frank German","CHW","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","24750"
"Carlos Perez","CHW","7","18","0","0","2","0","0.0%","11.1%",".111",".250",".222",".222",".333",".238",".230","51","-0.2","-1.2","-1.0","-0.2","20805"
"Lenyn Sosa","CHW","11","36","1","3","1","0","2.8%","33.3%",".114",".136",".114",".139",".229",".161",".243","-4","-0.1","-4.3","-0.1","-0.3","22896"
"Yasmani Grandal","CHW","99","376","5","15","27","1","12.0%","21.0%",".067",".249",".202",".301",".269",".263",".290","68","-6.2","-19.7","4.1","-0.4","11368"
"Andrew Vaughn","CHW","134","555","17","60","76","0","5.6%","17.3%",".159",".301",".271",".321",".429",".327",".319","113","-3.2","4.9","-26.7","-0.4","26197"
"Leury Garcia","CHW","97","315","3","38","20","2","2.2%","20.6%",".057",".255",".210",".233",".267",".221",".258","39","2.2","-19.5","-0.9","-1.1","5913"
