"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Tyler Stephenson","CIN","50","183","6","24","35","1","6.6%","25.7%",".163",".409",".319",".372",".482",".370",".318","134","0.6","7.7","0.8","1.5","17988"
"Kevin Newman","CIN","78","309","2","31","24","8","5.2%","15.5%",".097",".322",".274",".316",".372",".303",".285","94","3.0","0.7","1.3","1.3","17696"
"Wil Myers","CIN","77","286","7","29","41","2","7.3%","30.1%",".138",".357",".261",".315",".398",".311",".288","104","1.2","2.4","-2.2","1.0","10047"
"Jake Fraley","CIN","68","247","12","33","28","4","10.5%","21.9%",".208",".289",".259",".344",".468",".352",".333","121","1.6","7.6","-6.2","1.0","19260"
"Luke Maile","CIN","76","206","3","19","17","0","9.2%","26.2%",".105",".291",".221",".301",".326",".281",".263","81","-1.1","-5.4","5.9","0.7","13355"
"Stuart Fairchild","CIN","46","110","5","14","6","0","7.3%","30.9%",".216",".328",".247",".336",".464",".350","","122","-1.2","1.4","0.3","0.6","20321"
"T.J. Friedl","CIN","72","258","8","33","25","7","7.8%","15.5%",".196",".251",".240",".314",".436",".323",".283","101","0.9","1.3","-4.8","0.5","19522"
"Curt Casali","CIN","57","176","5","20","17","0","13.6%","28.4%",".128",".263",".203",".318",".331",".295","","92","0.1","-1.5","-0.3","0.4","12510"
"Jonathan India","CIN","103","431","10","48","41","3","7.2%","21.8%",".130",".305",".249",".327",".378",".314",".301","95","-1.0","-3.5","-7.2","0.4","21523"
"Nick Solak","CIN","35","95","3","14","4","3","7.4%","20.0%",".122",".233",".207",".309",".329",".291",".335","89","0.6","-0.6","-1.7","0.1","19294"
"Fernando Cruz","CIN","14","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7048"
"Luis Cessa","CIN","46","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13345"
"Lucas Sims","CIN","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13470"
"Buck Farmer","CIN","44","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14814"
"Ian Gibaut","CIN","34","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17871"
"Connor Overton","CIN","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18376"
"Justin Dunn","CIN","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19268"
"Tony Santillan","CIN","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19926"
"Joel Kuhnel","CIN","53","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19995"
"Alexis Diaz","CIN","59","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21132"
"Bennett Sousa","CIN","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21345"
"Hunter Greene","CIN","24","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22182"
"Nick Lodolo","CIN","19","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26378"
"Graham Ashcraft","CIN","19","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","27552"
"Luke Weaver","CIN","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","-0.1","0.0","16918"
"Reiver Sanmartin","CIN","45","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".050","-100","0.0","-0.5","0.3","0.0","19754"
"Spencer Steer","CIN","28","108","2","12","8","0","10.2%","24.1%",".116",".269",".211",".306",".326",".287",".278","76","0.0","-3.0","-1.5","-0.1","26323"
"Mike Siani","CIN","9","24","0","1","0","0","0.0%","29.2%",".000",".235",".167",".167",".167",".147",".160","-19","-0.2","-3.5","-0.5","-0.3","22557"
"Will Benson","CIN","28","61","0","8","3","0","4.9%","31.1%",".018",".278",".182",".250",".200",".212",".224","32","0.1","-4.5","-2.1","-0.5","21853"
"Nick Senzel","CIN","110","420","5","45","25","8","7.1%","18.1%",".075",".276",".231",".296",".306",".272",".299","66","-0.9","-17.5","-2.6","-0.6","19293"
"Joey Votto","CIN","91","376","11","31","41","0","11.7%","25.8%",".165",".257",".205",".319",".370",".310",".322","92","-4.1","-7.6","-13.3","-0.9","4314"
"Jose Barrero","CIN","48","174","2","13","10","4","5.2%","43.7%",".055",".264",".152",".195",".206",".183",".180","5","0.9","-18.3","0.9","-1.2","23378"
