"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Ramirez","CLE","157","685","29","90","126","20","10.1%","12.0%",".235",".279",".280",".355",".514",".363",".320","139","6.0","36.0","1.0","6.2","13510"
"Andres Gimenez","CLE","146","557","17","66","69","20","6.1%","20.1%",".169",".353",".297",".371",".466",".364",".326","140","3.4","28.3","12.0","6.1","19950"
"Steven Kwan","CLE","147","638","6","89","52","19","9.7%","9.4%",".101",".323",".298",".373",".400",".341",".312","124","4.9","22.0","-0.7","4.4","24610"
"Amed Rosario","CLE","153","670","11","86","71","18","3.7%","16.6%",".121",".326",".283",".312",".403",".311",".310","103","1.5","3.4","-2.2","2.4","15518"
"Myles Straw","CLE","152","596","0","72","32","21","9.1%","14.6%",".052",".261",".221",".291",".273",".257",".275","64","7.6","-16.4","16.3","2.0","17620"
"Josh Bell","CLE","156","647","17","78","71","0","12.5%","15.8%",".156",".296",".266",".362",".422",".344","","123","-5.6","11.3","-14.4","2.0","13145"
"Josh Naylor","CLE","122","498","20","47","79","6","7.6%","16.1%",".196",".268",".256",".319",".452",".331",".327","117","-3.6","5.8","-5.8","1.7","18839"
"Oscar Gonzalez","CLE","91","382","11","39","43","1","3.9%","19.6%",".166",".345",".296",".327",".461",".339",".320","122","-1.3","8.3","-5.1","1.6","20970"
"Will Brennan","CLE","11","45","1","6","8","2","4.4%","8.9%",".143",".378",".357",".400",".500",".385",".320","155","0.4","3.2","-1.3","0.3","25660"
"Triston McKenzie","CLE","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18000"
"Enyel De Los Santos","CLE","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18403"
"Sam Hentges","CLE","57","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18548"
"Cal Quantrill","CLE","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19312"
"Shane Bieber","CLE","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19427"
"Aaron Civale","CLE","20","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19479"
"Trevor Stephan","CLE","66","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19932"
"Zach Plesac","CLE","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19979"
"James Karinchak","CLE","38","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20151"
"Eli Morgan","CLE","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20203"
"Nick Sandlin","CLE","46","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20517"
"Emmanuel Clase","CLE","77","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21032"
"Konnor Pilkington","CLE","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21453"
"Cody Morris","CLE","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25388"
"Xzavion Curry","CLE","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25595"
"Hunter Gaddis","CLE","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25636"
"Mike Zunino","CLE","36","123","5","7","16","0","4.9%","37.4%",".157",".185",".148",".195",".304",".219",".252","43","0.0","-7.9","3.7","0.0","13265"
"Tyler Freeman","CLE","24","86","0","9","3","1","4.7%","12.8%",".039",".284",".247",".314",".286",".274",".270","76","0.0","-2.3","-1.0","-0.1","22532"
"Bryan Lavastida","CLE","6","15","0","0","0","0","20.0%","26.7%",".000",".125",".083",".267",".083",".197",".221","22","-0.1","-1.4","0.1","-0.1","24765"
"Gabriel Arias","CLE","16","57","1","9","5","1","14.0%","28.1%",".128",".267",".191",".321",".319",".294",".290","90","0.0","-0.6","-3.1","-0.2","22563"
"Richie Palacios","CLE","54","123","0","7","10","2","7.3%","16.3%",".054",".280",".232",".293",".286",".258",".277","65","0.3","-4.6","-2.8","-0.4","24589"
