"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ryan McMahon","COL","153","597","20","67","67","7","10.1%","26.5%",".168",".311",".246",".327",".414",".326",".330","95","2.1","-1.3","10.4","3.1","15112"
"Brendan Rodgers","COL","137","581","13","72","63","0","7.9%","17.4%",".142",".304",".266",".325",".408",".321",".326","92","-1.7","-7.2","3.5","1.7","17907"
"C.J. Cron","COL","150","632","29","79","102","0","6.8%","25.9%",".210",".307",".257",".315",".468",".335",".321","101","0.5","1.5","-10.7","1.3","12546"
"Sean Bouchard","COL","27","97","3","9","11","0","21.6%","25.8%",".203",".404",".297",".454",".500",".417",".360","158","0.2","6.6","-2.3","0.8","21270"
"Yonathan Daza","COL","113","408","2","56","34","0","6.4%","14.2%",".083",".347",".301",".349",".384",".323",".308","93","-0.1","-3.2","-4.0","0.7","15794"
"Kris Bryant","COL","42","181","5","28","14","0","9.4%","14.9%",".169",".338",".306",".376",".475",".370",".344","125","-0.6","4.7","-5.3","0.6","15429"
"Brian Serven","COL","62","205","6","19","16","0","6.3%","21.5%",".128",".232",".203",".261",".332",".263",".254","52","-0.9","-12.3","9.9","0.5","19422"
"Elehuris Montero","COL","53","185","6","21","20","0","4.3%","32.4%",".199",".318",".233",".270",".432",".303",".260","79","0.3","-4.2","-0.2","0.2","20543"
"Nolan Jones","COL","28","94","2","10","13","0","8.5%","33.0%",".128",".358",".244",".309",".372",".297",".325","93","-0.8","-1.6","0.1","0.2","20529"
"Charlie Blackmon","COL","135","577","16","60","78","4","5.5%","18.9%",".155",".304",".264",".314",".419",".317",".301","89","1.4","-5.9","-12.3","0.1","7859"
"Daniel Bard","COL","57","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7115"
"Brad Hand","COL","55","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9111"
"Jose Urena","COL","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11589"
"Pierce Johnson","COL","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13435"
"Brent Suter","COL","54","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13942"
"German Marquez","COL","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15038"
"Antonio Senzatela","COL","19","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15488"
"Kyle Freeland","COL","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16256"
"Austin Gomber","COL","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16561"
"Dinelson Lamet","COL","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17186"
"Justin Lawrence","COL","38","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17639"
"Connor Seabold","COL","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19695"
"Jake Bird","COL","38","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21267"
"Lucas Gilbreath","COL","47","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21290"
"Ryan Feltner","COL","20","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21446"
"Nick Mears","COL","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25376"
"Gavin Hollowell","COL","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25427"
"Noah Davis","COL","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25862"
"Ezequiel Tovar","COL","9","35","1","2","2","0","5.7%","25.7%",".121",".261",".212",".257",".333",".261",".300","51","0.2","-1.8","-0.6","-0.1","24064"
"Randal Grichuk","COL","141","538","19","60","73","4","4.5%","23.6%",".166",".309",".259",".299",".425",".315",".281","88","-1.2","-9.0","-11.1","-0.2","10243"
"Michael Toglia","COL","31","120","2","10","12","1","7.5%","36.7%",".162",".338",".216",".275",".378",".285",".261","68","0.5","-4.0","-2.1","-0.2","25845"
"Elias Diaz","COL","105","381","9","29","51","0","6.6%","21.5%",".140",".270",".228",".281",".368",".284",".274","67","-3.9","-18.6","-7.8","-1.4","11680"
