"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Javier Baez","DET","144","590","17","64","67","9","4.4%","24.9%",".155",".292",".238",".278",".393",".291",".285","90","2.5","-4.3","4.4","2.0","12979"
"Jonathan Schoop","DET","131","510","11","48","38","5","3.7%","21.0%",".121",".234",".202",".239",".322",".245",".268","57","-0.2","-24.6","22.3","1.5","11265"
"Eric Haase","DET","110","351","14","41","44","0","6.8%","27.6%",".189",".316",".254",".305",".443",".322",".302","112","-1.5","3.1","-1.8","1.3","14111"
"Riley Greene","DET","93","418","5","46","42","1","8.6%","28.7%",".109",".354",".253",".321",".362",".303",".316","98","-0.1","-1.1","-3.6","0.9","25976"
"Nick Maton","DET","35","85","5","13","17","0","11.8%","34.1%",".264",".325",".250",".341",".514",".364",".306","135","0.9","4.3","0.0","0.8","21635"
"Kerry Carpenter","DET","31","113","6","16","10","0","5.3%","28.3%",".233",".303",".252",".310",".485",".342",".292","126","-0.1","3.1","-1.6","0.5","25961"
"Ryan Kreidler","DET","26","84","1","8","6","0","7.1%","26.2%",".055",".231",".178",".244",".233",".218",".273","38","0.7","-5.1","4.5","0.2","25867"
"Jose Cisnero","DET","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6399"
"Eduardo Rodriguez","DET","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13164"
"Michael Lorenzen","DET","18","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14843"
"Matthew Boyd","DET","10","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15440"
"Tyler Alexander","DET","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17735"
"Jason Foley","DET","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19531"
"Will Vest","DET","59","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19769"
"Alex Faedo","DET","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19874"
"Alex Lange","DET","71","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19883"
"Joey Wentz","DET","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19962"
"Matt Manning","DET","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20369"
"Rony Garcia","DET","16","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20430"
"Edwin Uceta","DET","10","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20539"
"Tarik Skubal","DET","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22267"
"Garrett Hill","DET","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25097"
"Beau Brieske","DET","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26079"
"Tyler Holton","DET","10","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26231"
"Matt Vierling","DET","117","357","6","41","32","7","6.4%","19.6%",".105",".290",".246",".297",".351",".285",".327","81","0.5","-7.5","-4.9","0.0","21558"
"Zack Short","DET","6","13","0","2","2","1","15.4%","38.5%",".000",".000",".000",".154",".000",".106",".232","-41","0.8","-1.3","0.1","-0.1","19562"
"Donny Sands","DET","3","4","0","0","0","0","25.0%","25.0%",".000",".000",".000",".250",".000",".172",".275","4","-0.4","-0.9","-0.1","-0.1","18603"
"Akil Baddoo","DET","73","225","2","30","9","9","10.7%","28.4%",".065",".289",".204",".289",".269",".256",".253","65","2.2","-6.6","-2.5","-0.2","22168"
"Austin Meadows","DET","36","147","0","9","11","0","10.9%","11.6%",".078",".288",".250",".347",".328",".307",".380","101","-1.2","-1.0","-5.8","-0.2","15672"
"Tyler Nevin","DET","58","184","2","17","16","0","10.9%","25.0%",".064",".259",".197",".299",".261",".261",".293","67","-1.2","-8.0","-3.6","-0.6","17893"
"Spencer Torkelson","DET","110","404","8","38","28","0","9.2%","24.5%",".117",".255",".203",".285",".319",".272",".305","76","-3.2","-14.0","-8.2","-1.0","27465"
"Miguel Cabrera","DET","112","433","5","25","43","1","6.5%","23.3%",".063",".324",".254",".305",".317",".275",".275","79","-5.4","-15.8","-11.8","-1.5","1744"
