"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Yordan Alvarez","HOU","135","561","37","95","97","1","13.9%","18.9%",".306",".320",".306",".406",".613",".427",".462","185","-0.6","52.8","-7.5","6.6","19556"
"Jose Altuve","HOU","141","604","28","103","57","18","10.9%","14.4%",".233",".315",".300",".387",".533",".397",".354","164","-1.5","41.8","1.6","6.6","5417"
"Alex Bregman","HOU","155","656","23","93","93","1","13.3%","11.7%",".195",".260",".259",".366",".454",".358",".350","136","-3.0","23.6","7.7","5.5","17678"
"Kyle Tucker","HOU","150","609","30","71","107","25","9.7%","15.6%",".221",".261",".257",".330",".478",".348",".353","129","4.0","23.9","1.6","4.7","18345"
"Jose Abreu","HOU","157","679","15","85","75","0","9.1%","16.2%",".141",".350",".304",".378",".446",".361",".373","137","-1.7","26.9","-11.7","3.9","15676"
"Jeremy Pena","HOU","136","558","22","72","63","11","3.9%","24.2%",".173",".298",".253",".289",".426",".309",".300","102","3.7","4.8","10.0","3.4","21636"
"Chas McCormick","HOU","119","407","14","47","44","4","11.3%","26.0%",".162",".308",".245",".332",".407",".326",".325","114","-1.1","5.2","0.9","2.0","19599"
"Michael Brantley","HOU","64","277","5","28","26","1","11.2%","10.8%",".128",".311",".288",".370",".416",".345",".374","127","-0.7","7.7","-4.9","1.2","4106"
"Martin Maldonado","HOU","113","379","15","40","45","0","5.8%","30.6%",".166",".228",".186",".248",".352",".264",".253","70","-3.9","-16.6","9.4","0.5","6887"
"Jake Meyers","HOU","52","160","1","13","15","2","4.4%","33.8%",".087",".344",".227",".269",".313",".258",".251","65","0.6","-5.7","3.8","0.3","20308"
"Mauricio Dubon","HOU","104","265","5","31","24","2","4.9%","11.3%",".099",".221",".214",".252",".313",".248","","58","-0.8","-13.2","6.6","0.2","16530"
"David Hensley","HOU","16","34","1","7","5","0","14.7%","17.6%",".241",".409",".345",".441",".586",".440",".353","194","-1.1","2.4","-1.8","0.2","25111"
"Ryan Pressly","HOU","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7005"
"Hector Neris","HOU","70","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11804"
"Rafael Montero","HOU","71","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12760"
"Lance McCullers Jr.","HOU","8","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14120"
"Ryne Stanek","HOU","59","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15947"
"Blake Taylor","HOU","19","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16418"
"Bryan Abreu","HOU","55","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16609"
"Framber Valdez","HOU","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17295"
"Matt Gage","HOU","11","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17381"
"Cristian Javier","HOU","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17606"
"Phil Maton","HOU","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18064"
"Jose Urquidy","HOU","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18413"
"Ronel Blanco","HOU","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19407"
"Brandon Bielak","HOU","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19866"
"Enoli Paredes","HOU","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20447"
"Seth Martinez","HOU","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21045"
"Parker Mushinski","HOU","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21324"
"Luis Garcia","HOU","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23735"
"Hunter Brown","HOU","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25880"
"Joe Perez","HOU","1","1","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.2","0.1","0.0","22254"
"Yainer Diaz","HOU","6","9","0","0","1","0","11.1%","22.2%",".125",".167",".125",".222",".250",".217",".295","37","0.0","-0.6","-0.3","-0.1","23003"
"J.J. Matijevic","HOU","32","71","2","7","5","1","2.8%","35.2%",".119",".300",".209",".254",".328",".258",".259","66","0.3","-2.4","-1.4","-0.2","20165"
"Rylan Bannon","HOU","5","15","0","0","0","0","0.0%","33.3%",".000",".222",".143",".200",".143",".166","","0","0.1","-1.6","-0.8","-0.2","19768"
"Korey Lee","HOU","12","26","0","1","4","0","3.8%","34.6%",".080",".250",".160",".192",".240",".192",".120","19","-0.1","-2.5","-1.5","-0.3","25543"
"Bligh Madris","HOU","39","123","1","10","7","2","8.1%","25.2%",".088",".235",".177",".244",".265",".231",".262","45","0.5","-7.4","-1.0","-0.4","20054"
