"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bobby Witt Jr.","KCR","150","632","20","82","80","30","4.7%","21.4%",".174",".295",".254",".294",".428",".311",".313","99","6.8","6.3","-4.3","2.3","25764"
"Vinnie Pasquantino","KCR","72","298","10","25","26","1","11.7%","11.4%",".155",".306",".295",".383",".450",".365",".374","137","-2.1","10.4","-5.8","1.5","27676"
"Nicky Lopez","KCR","142","480","0","51","20","13","6.0%","13.1%",".046",".265",".227",".281",".273",".251",".273","57","5.2","-18.2","14.7","1.2","19339"
"Nate Eaton","KCR","44","122","1","16","12","11","8.2%","24.6%",".123",".346",".264",".331",".387",".313",".297","101","3.1","3.2","1.2","0.9","25055"
"Kyle Isbel","KCR","106","278","5","32","28","9","5.8%","27.0%",".129",".275",".211",".264",".340",".265",".266","67","-0.8","-11.1","9.1","0.7","21614"
"Michael Massey","KCR","52","194","4","16","17","3","4.6%","23.7%",".133",".304",".243",".307",".376",".302",".332","93","1.4","-0.2","-0.6","0.6","27684"
"Salvador Perez","KCR","114","473","23","48","76","0","3.8%","23.0%",".211",".285",".254",".292",".465",".324",".326","108","-3.2","1.4","-11.6","0.5","7304"
"Drew Waters","KCR","32","109","5","14","18","0","11.0%","36.7%",".240",".353",".240",".324",".479",".347",".293","125","-0.2","2.9","-2.9","0.4","20505"
"Edward Olivares","KCR","53","174","4","24","15","2","5.7%","20.7%",".124",".344",".286",".333",".410",".326",".339","110","0.5","2.5","-4.7","0.4","19698"
"Maikel Garcia","KCR","9","23","0","1","2","0","4.3%","21.7%",".045",".412",".318",".348",".364",".315",".242","102","-0.2","-0.2","0.0","0.1","22715"
"Zack Greinke","KCR","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","1943"
"Jordan Lyles","KCR","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7593"
"Aroldis Chapman","KCR","43","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10233"
"Amir Garrett","KCR","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14375"
"Scott Barlow","KCR","69","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14993"
"Brad Keller","KCR","35","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15734"
"Ryan Yarbrough","KCR","20","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16502"
"Taylor Clarke","KCR","47","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17611"
"Jose Cuas","KCR","47","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17701"
"Josh Staumont","KCR","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18335"
"Kris Bubic","KCR","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21455"
"Daniel Lynch","KCR","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21537"
"Jackson Kowar","KCR","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21549"
"Max Castillo","KCR","14","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21956"
"Jon Heasley","KCR","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22224"
"Dylan Coleman","KCR","68","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22276"
"Carlos Hernandez","KCR","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22713"
"Angel Zerpa","KCR","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22717"
"Collin Snider","KCR","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23307"
"Brady Singer","KCR","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25377"
"Freddy Fermin","KCR","3","7","0","1","0","0","0.0%","42.9%",".000",".000",".000",".000",".000",".000",".026","-100","-0.2","-1.9","0.1","-0.2","21840"
"MJ Melendez","KCR","129","534","18","57","62","2","12.4%","24.5%",".176",".258",".217",".313",".393",".310",".332","99","-0.3","-1.1","-17.5","-0.2","22197"
"Nick Pratto","KCR","49","182","7","18","20","0","10.4%","36.3%",".203",".250",".184",".271",".386",".287",".267","82","-1.5","-5.2","-3.9","-0.3","22117"
"Hunter Dozier","KCR","129","500","12","51","41","4","6.8%","25.0%",".152",".298",".236",".292",".387",".298",".301","90","-8.4","-14.1","-11.0","-1.0","15117"
