"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","LAA","119","499","40","85","80","1","10.8%","27.9%",".347",".323",".283",".369",".630",".418",".395","176","-0.3","42.4","-0.7","6.0","10155"
"Taylor Ward","LAA","135","564","23","73","65","5","10.6%","21.3%",".192",".325",".281",".360",".473",".362",".361","137","0.7","23.9","-5.2","3.8","17548"
"Shohei Ohtani","LAA","157","666","34","90","95","11","10.8%","24.2%",".246",".320",".273",".356",".519",".370",".385","142","0.3","31.8","-16.4","3.8","19755"
"Brandon Drury","LAA","138","568","28","87","87","2","6.7%","22.2%",".230",".293",".263",".320",".492",".350","","123","-3.6","11.4","-2.4","3.0","11615"
"Hunter Renfroe","LAA","125","522","29","62","72","1","7.5%","23.2%",".236",".281",".255",".315",".492",".347",".323","124","-1.6","12.9","-6.2","2.5","15464"
"Gio Urshela","LAA","144","551","13","61","64","1","7.4%","17.4%",".144",".326",".285",".338",".429",".332",".323","119","-6.2","5.6","-0.7","2.4","10681"
"Luis Rengifo","LAA","127","511","17","45","52","6","3.3%","15.5%",".166",".285",".264",".294",".429",".314",".296","103","1.4","2.8","-3.6","1.6","19858"
"Anthony Rendon","LAA","47","193","5","15","24","2","11.9%","18.1%",".151",".258",".229",".326",".380",".314",".331","103","-0.2","0.4","1.3","0.8","12861"
"Livan Soto","LAA","18","59","1","9","9","1","3.4%","22.0%",".182",".500",".400",".414",".582",".424",".283","181","0.6","6.0","-1.0","0.7","22471"
"David Fletcher","LAA","61","228","2","20","17","1","3.1%","7.0%",".079",".268",".255",".288",".333",".275",".295","75","-1.5","-7.9","7.0","0.7","17992"
"Andrew Velazquez","LAA","125","349","9","37","28","17","4.3%","34.1%",".109",".274",".196",".236",".304",".239",".246","50","4.6","-15.1","6.9","0.3","14196"
"Brett Phillips","LAA","83","225","5","22","15","7","7.1%","41.8%",".104",".233",".144",".217",".249",".213","","38","3.8","-11.9","6.0","0.1","14735"
"Max Stassi","LAA","102","375","9","32","30","0","10.1%","29.9%",".123",".239",".180",".267",".303",".258",".266","63","-2.7","-18.2","6.5","0.0","10059"
"Matt Moore","LAA","63","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","1890"
"Ryan Tepera","LAA","59","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10291"
"Aaron Loup","LAA","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10343"
"Carlos Estevez","LAA","62","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14542"
"Zack Weiss","LAA","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15444"
"Jimmy Herget","LAA","49","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17556"
"Jaime Barria","LAA","35","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18356"
"Jose Quijada","LAA","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19200"
"Patrick Sandoval","LAA","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19447"
"Tucker Davidson","LAA","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19871"
"Jose Suarez","LAA","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19911"
"Jose Marte","LAA","11","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21761"
"Andrew Wantz","LAA","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","24933"
