"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Freddie Freeman","LAD","159","708","21","117","100","13","11.9%","14.4%",".186",".359",".325",".407",".511",".393",".403","157","5.4","52.6","-8.8","7.1","5361"
"Mookie Betts","LAD","142","639","35","117","82","12","8.6%","16.3%",".264",".272",".269",".340",".533",".373",".344","144","4.3","37.2","4.1","6.6","13611"
"Will Smith","LAD","137","578","24","68","87","1","9.7%","16.6%",".205",".276",".260",".343",".465",".349",".352","127","-3.6","14.8","3.0","3.9","19197"
"Gavin Lux","LAD","129","471","6","66","42","7","10.0%","20.2%",".124",".341",".276",".346",".399",".328",".314","113","3.2","10.5","1.9","3.0","19955"
"Trayce Thompson","LAD","80","255","13","36","41","4","12.5%","36.5%",".251",".374",".256",".353",".507",".370","","142","3.2","15.8","-0.2","2.5","9952"
"Max Muncy","LAD","136","565","21","69","69","2","15.9%","25.0%",".188",".227",".196",".329",".384",".318",".339","106","2.1","6.3","-2.7","2.4","13301"
"Chris Taylor","LAD","118","454","10","45","43","10","9.7%","35.2%",".152",".336",".221",".304",".373",".298",".277","93","3.4","-0.4","3.6","1.9","13757"
"David Peralta","LAD","134","490","12","39","59","1","8.4%","23.3%",".164",".307",".251",".316",".415",".315","","104","0.1","2.4","-2.6","1.7","2136"
"Austin Barnes","LAD","62","212","8","31","26","2","12.7%","17.5%",".168",".222",".212",".324",".380",".315",".298","104","-2.1","-1.1","7.0","1.4","12158"
"Miguel Rojas","LAD","140","507","6","34","36","9","5.1%","12.0%",".087",".258",".236",".283",".323",".268",".293","73","-4.0","-19.9","14.3","1.2","7802"
"J.D. Martinez","LAD","139","596","16","76","62","0","8.7%","24.3%",".174",".345",".274",".341",".448",".343",".349","119","-7.3","5.8","-15.0","1.0","6184"
"James Outman","LAD","4","16","1","6","3","0","12.5%","43.8%",".385","1.000",".462",".563",".846",".584",".319","288","0.6","4.1","0.1","0.5","24770"
"Evan Phillips","LAD","64","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".689",".689","360","0.0","0.3","0.1","0.0","17734"
"Clayton Kershaw","LAD","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","2036"
"Daniel Hudson","LAD","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7146"
"Shelby Miller","LAD","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10197"
"Noah Syndergaard","LAD","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11762"
"Julio Urias","LAD","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14765"
"Yency Almonte","LAD","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15068"
"Phil Bickford","LAD","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18519"
"Caleb Ferguson","LAD","37","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19349"
"Tony Gonsolin","LAD","24","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19388"
"Dustin May","LAD","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19716"
"Brusdar Graterol","LAD","46","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20367"
"Andre Jackson","LAD","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21298"
"Michael Grove","LAD","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23221"
"Justin Bruihl","LAD","24","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23779"
"Alex Vesia","LAD","63","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25007"
"Ryan Pepiot","LAD","9","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26221"
"Yonny Hernandez","LAD","12","28","0","2","0","2","7.1%","14.3%",".000",".100",".083",".154",".083",".121",".202","-32","0.8","-3.5","-0.2","-0.3","19432"
"Miguel Vargas","LAD","18","50","1","4","8","1","4.0%","26.0%",".085",".206",".170",".200",".255",".200",".257","26","0.5","-3.8","-2.9","-0.5","20178"
