"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Luis Arraez","MIA","144","603","8","88","49","4","8.3%","7.1%",".104",".331",".316",".375",".420",".350",".333","131","-0.2","20.9","-10.1","3.2","18568"
"Jazz Chisholm Jr.","MIA","60","241","14","39","45","12","8.7%","27.4%",".282",".294",".254",".325",".535",".365",".345","139","3.1","14.1","2.4","2.6","20454"
"Jon Berti","MIA","102","404","4","47","28","41","10.4%","22.0%",".098",".308",".240",".324",".338",".298",".306","93","8.0","4.9","3.7","2.3","12037"
"Jean Segura","MIA","98","387","10","45","33","13","6.5%","15.0%",".110",".307",".277",".336",".387",".320",".303","105","-1.6","0.4","3.0","1.7","5933"
"Garrett Cooper","MIA","119","469","9","37","50","0","8.5%","25.4%",".155",".340",".261",".337",".415",".330",".341","115","-2.2","6.2","-8.6","1.4","15279"
"Nick Fortes","MIA","72","240","9","41","24","5","7.5%","18.8%",".161",".252",".230",".304",".392",".308",".319","100","0.0","0.0","5.1","1.4","21538"
"Joey Wendle","MIA","101","371","3","27","32","12","4.0%","13.5%",".101",".293",".259",".297",".360",".289",".276","87","0.0","-5.6","5.0","1.2","13853"
"Jesus Sanchez","MIA","98","343","13","38","36","1","7.6%","26.8%",".188",".258",".214",".280",".403",".298",".298","93","-1.5","-4.1","1.1","0.9","19913"
"Bryan De La Cruz","MIA","115","355","13","38","43","4","5.4%","25.4%",".179",".304",".252",".294",".432",".313",".355","104","-1.2","0.4","-7.0","0.6","19600"
"Jorge Soler","MIA","72","306","13","32","34","0","10.1%","29.4%",".193",".256",".207",".295",".400",".305",".322","98","-0.8","-1.4","-3.6","0.5","14221"
"Huascar Brazoban","MIA","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6107"
"Johnny Cueto","MIA","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6893"
"Matt Barnes","MIA","44","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12863"
"Dylan Floro","MIA","56","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13394"
"Steven Okert","MIA","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13580"
"JT Chargois","MIA","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13767"
"Tanner Scott","MIA","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17586"
"Sandy Alcantara","MIA","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18684"
"Tommy Nance","MIA","35","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19178"
"A.J. Puk","MIA","62","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19343"
"Anthony Bender","MIA","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19742"
"Jesus Luzardo","MIA","18","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19959"
"Edward Cabrera","MIA","14","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21690"
"Braxton Garrett","MIA","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21844"
"Trevor Rogers","MIA","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22286"
"Andrew Nardi","MIA","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25942"
"Max Meyer","MIA","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","27474"
"Jordan Groshans","MIA","17","65","1","9","2","0","6.2%","20.0%",".049",".319",".262",".308",".311",".278",".263","80","-0.3","-1.8","-0.7","0.0","23794"
"Jerar Encarnacion","MIA","23","81","3","7","14","2","3.7%","39.5%",".156",".256",".182",".210",".338",".236",".231","51","0.4","-4.2","0.2","-0.1","21871"
"Peyton Burdick","MIA","32","102","4","8","11","1","7.8%","34.3%",".174",".283",".207",".284",".380",".294",".296","91","0.0","-1.1","-4.3","-0.2","25459"
"Avisail Garcia","MIA","98","380","8","31","35","4","4.5%","28.7%",".092",".298",".224",".266",".317",".258",".281","66","-1.2","-16.1","-2.1","-0.6","5760"
"Jacob Stallings","MIA","114","384","4","25","34","0","7.6%","21.6%",".069",".280",".223",".292",".292",".265",".274","71","-5.3","-18.2","-0.6","-0.6","13723"
