"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Willy Adames","MIL","139","617","31","83","98","8","7.9%","26.9%",".220",".278",".238",".298",".458",".325",".323","109","2.4","8.8","14.8","4.7","15986"
"William Contreras","MIL","97","376","20","51","45","2","10.4%","27.7%",".228",".344",".278",".354",".506",".370",".347","138","-2.6","14.0","-3.4","2.4","20503"
"Luis Urias","MIL","119","472","16","54","47","1","10.6%","21.0%",".165",".274",".239",".335",".404",".327",".326","110","0.2","5.8","0.0","2.3","16622"
"Christian Yelich","MIL","154","671","14","99","57","19","13.1%","24.1%",".130",".327",".252",".355",".383",".328",".339","111","3.4","11.9","-12.9","2.3","11477"
"Tyrone Taylor","MIL","120","405","17","49","51","3","5.4%","25.2%",".209",".272",".233",".286",".442",".314",".307","102","1.2","2.1","4.0","2.1","13675"
"Victor Caratini","MIL","96","314","9","26","34","0","9.9%","21.3%",".143",".228",".199",".300",".342",".289",".309","84","-3.2","-8.9","9.5","1.2","14968"
"Garrett Mitchell","MIL","28","68","2","9","9","8","8.8%","41.2%",".148",".548",".311",".373",".459",".365",".266","136","2.2","5.1","2.3","1.0","27555"
"Rowdy Tellez","MIL","153","599","35","67","89","2","10.4%","20.2%",".242",".215",".219",".306",".461",".327",".349","110","-6.6","0.7","-12.9","0.8","15679"
"Keston Hiura","MIL","80","266","14","34","32","5","8.6%","41.7%",".222",".355",".226",".316",".449",".334",".317","115","0.7","5.3","-6.4","0.8","20003"
"Owen Miller","MIL","130","472","6","53","51","2","6.8%","19.7%",".108",".290",".243",".301",".351",".287",".291","85","1.0","-6.9","-2.4","0.6","24655"
"Mike Brosseau","MIL","70","160","6","15","23","2","8.8%","30.0%",".163",".345",".255",".344",".418",".338",".300","118","0.8","4.2","-3.9","0.6","19683"
"Brian Anderson","MIL","98","383","8","43","28","1","9.7%","26.4%",".124",".291",".222",".311",".346",".293",".309","90","-0.1","-4.5","-4.1","0.5","18289"
"Jesse Winker","MIL","136","547","14","51","53","0","15.4%","18.8%",".125",".251",".219",".344",".344",".313",".345","108","-4.3","1.0","-14.7","0.4","13590"
"Matt Bush","MIL","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","1246"
"Justin Wilson","MIL","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4301"
"Wade Miley","MIL","9","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8779"
"Adrian Houser","MIL","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12718"
"Hoby Milner","MIL","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13346"
"Joel Payamps","MIL","41","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14332"
"Devin Williams","MIL","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15816"
"Brandon Woodruff","MIL","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16162"
"Javy Guerra","MIL","18","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17292"
"Freddy Peralta","MIL","18","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18679"
"Eric Lauer","MIL","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19316"
"Corbin Burnes","MIL","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19361"
"Tyson Miller","MIL","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19976"
"Bryse Wilson","MIL","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19990"
"Peter Strzelecki","MIL","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21367"
"Jake Cousins","MIL","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21620"
"Elvis Peguero","MIL","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21652"
"Janson Junk","MIL","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23301"
"Aaron Ashby","MIL","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23550"
"Ethan Small","MIL","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26364"
"Payton Henry","MIL","15","35","0","2","4","0","14.3%","22.9%",".000",".200",".143",".314",".143",".241",".279","54","0.1","-1.8","-0.2","-0.1","22164"
"Abraham Toro","MIL","109","352","10","36","35","2","6.3%","18.5%",".139",".198",".185",".239",".324",".246",".284","62","-1.1","-16.4","-1.7","-0.7","19844"
