"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Carlos Correa","MIN","136","590","22","70","64","0","10.3%","20.5%",".176",".339",".291",".366",".467",".362",".363","140","-6.0","20.7","2.0","4.4","14162"
"Byron Buxton","MIN","92","382","28","61","51","6","8.9%","30.4%",".303",".244",".224",".306",".526",".356",".358","136","4.3","19.6","6.2","4.0","14161"
"Max Kepler","MIN","115","446","9","54","43","3","11.0%","14.8%",".121",".249",".227",".318",".348",".298",".338","95","0.8","-1.8","6.7","2.0","12144"
"Jorge Polanco","MIN","104","445","16","54","56","3","14.4%","21.3%",".171",".269",".235",".346",".405",".333",".358","119","0.9","10.5","-7.2","1.8","13152"
"Christian Vazquez","MIN","119","426","9","41","52","1","5.2%","16.2%",".126",".310",".274",".315",".399",".312","","99","-9.9","-10.2","12.1","1.6","9774"
"Michael A. Taylor","MIN","124","456","9","49","43","4","7.7%","23.9%",".104",".321",".254",".313",".357",".297",".289","90","0.6","-4.8","5.0","1.5","11489"
"Nick Gordon","MIN","138","443","9","45","50","6","4.3%","23.7%",".156",".340",".272",".316",".427",".321",".333","111","-0.6","4.9","-4.5","1.5","16337"
"Kyle Farmer","MIN","145","583","14","58","78","4","5.7%","17.0%",".131",".286",".255",".315",".386",".309",".311","92","-4.6","-10.3","4.2","1.4","14813"
"Jose Miranda","MIN","125","483","15","45","66","1","5.8%","18.8%",".158",".307",".268",".325",".426",".329",".317","117","-4.5","4.6","-9.3","1.1","20538"
"Trevor Larnach","MIN","51","180","5","22","18","0","10.0%","31.7%",".175",".320",".231",".306",".406",".309",".322","102","0.6","1.0","3.7","1.1","21501"
"Ryan Jeffers","MIN","67","236","7","25","27","0","9.7%","26.3%",".156",".259",".208",".285",".363",".287",".315","87","-1.3","-4.7","5.8","0.9","24618"
"Joey Gallo","MIN","126","410","19","48","47","3","13.7%","39.8%",".197",".219",".160",".280",".357",".286","","85","0.5","-6.3","-1.3","0.6","14128"
"Donovan Solano","MIN","80","304","4","22","24","0","6.3%","20.1%",".101",".349",".284",".339",".385",".319",".315","98","-2.0","-2.6","-3.0","0.5","8623"
"Matt Wallner","MIN","18","65","2","4","10","1","9.2%","38.5%",".158",".367",".228",".323",".386",".311",".245","104","0.4","0.7","-2.1","0.1","26466"
"Caleb Thielbar","MIN","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10078"
"Sonny Gray","MIN","24","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12768"
"Jorge Lopez","MIN","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14527"
"Emilio Pagan","MIN","59","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14771"
"Tyler Mahle","MIN","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16358"
"Pablo Lopez","MIN","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17085"
"Trevor Megill","MIN","40","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17722"
"Dennis Santana","MIN","63","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17878"
"Jorge Alcala","MIN","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19459"
"Griffin Jax","MIN","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20253"
"Jovani Moran","MIN","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20422"
"Jhoan Duran","MIN","57","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21029"
"Bailey Ober","MIN","11","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21224"
"Joe Ryan","MIN","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21390"
"Cole Sands","MIN","11","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21461"
"Ronny Henriquez","MIN","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","24094"
"Simeon Woods Richardson","MIN","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","24494"
"Josh Winder","MIN","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","24606"
"Louie Varland","MIN","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","27691"
"Gilberto Celestino","MIN","122","347","2","30","24","4","9.2%","22.2%",".064",".310",".238",".313",".302",".280",".270","82","-4.6","-11.7","0.2","0.0","20233"
"Alex Kirilloff","MIN","45","156","3","14","21","0","3.2%","23.1%",".111",".308",".250",".290",".361",".286",".282","86","-2.0","-4.4","-6.2","-0.6","20325"
