"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Francisco Lindor","NYM","161","706","26","98","107","16","8.4%","18.8%",".179",".301",".270",".339",".449",".342",".331","127","3.3","25.4","15.9","6.8","12916"
"Jeff McNeil","NYM","148","589","9","73","62","4","6.8%","10.4%",".128",".353",".326",".382",".454",".365",".323","143","2.0","31.3","4.6","5.9","15362"
"Brandon Nimmo","NYM","151","673","16","102","64","3","10.5%","17.2%",".159",".317",".274",".367",".433",".353",".342","134","-0.3","26.6","1.9","5.4","12927"
"Pete Alonso","NYM","160","685","40","95","131","5","9.8%","18.7%",".246",".279",".271",".352",".518",".366",".354","143","-2.5","32.0","-17.4","4.0","19251"
"Starling Marte","NYM","118","505","16","76","63","18","5.1%","19.2%",".176",".340",".292",".347",".468",".355",".336","136","-0.2","20.8","-9.6","3.0","9241"
"Mark Canha","NYM","140","542","13","71","61","3","8.9%","17.9%",".136",".309",".266",".367",".403",".343",".323","128","-1.0","16.7","-8.3","2.8","11445"
"Eduardo Escobar","NYM","136","542","20","58","69","0","7.4%","23.8%",".190",".281",".240",".295",".430",".311",".314","106","3.1","6.9","-3.0","2.3","6153"
"Daniel Vogelbach","NYM","130","461","18","47","59","0","15.8%","24.7%",".194",".290",".238",".360",".433",".349","","128","-3.3","11.7","-13.1","1.5","14130"
"Luis Guillorme","NYM","102","335","2","33","17","1","10.1%","13.7%",".067",".317",".273",".351",".340",".311",".302","106","-6.1","-3.7","5.2","1.3","16451"
"Omar Narvaez","NYM","84","296","4","21","23","0","9.8%","19.3%",".099",".248",".206",".292",".305",".269",".268","71","-0.3","-10.3","11.3","1.1","13338"
"Tomas Nido","NYM","98","313","3","31","28","0","4.5%","24.3%",".085",".314",".239",".276",".324",".265",".287","74","-7.0","-16.3","14.8","0.9","13755"
"Danny Mendick","NYM","31","106","3","22","15","1","6.6%","21.7%",".155",".352",".289",".343",".443",".344",".273","125","1.0","4.0","0.6","0.8","18889"
"Tommy Pham","NYM","144","622","17","89","63","8","9.0%","26.8%",".137",".304",".236",".312",".374",".304","","89","1.9","-5.7","-8.9","0.6","2967"
"Francisco Alvarez","NYM","5","14","1","3","1","0","14.3%","28.6%",".333",".143",".167",".286",".500",".336",".420","123","-0.2","0.2","-0.3","0.0","26121"
"Adam Ottavino","NYM","66","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","1247"
"Max Scherzer","NYM","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","3137"
"Carlos Carrasco","NYM","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6632"
"Justin Verlander","NYM","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8700"
"Brooks Raley","NYM","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10061"
"Jose Quintana","NYM","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11423"
"Edwin Diaz","NYM","61","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14710"
"Jeff Brigham","NYM","16","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16631"
"Elieser Hernandez","NYM","20","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16933"
"Sam Coonrod","NYM","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17264"
"Drew Smith","NYM","44","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17755"
"Stephen Nogosek","NYM","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19545"
"David Peterson","NYM","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20302"
"Tylor Megill","NYM","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21318"
"Bryce Montes de Oca","NYM","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21319"
"Jose Butto","NYM","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23313"
"David Robertson","NYM","58","1","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000","","-100","0.0","-0.2","0.1","0.0","8241"
"Brett Baty","NYM","11","42","2","4","5","0","4.8%","19.0%",".158",".179",".184",".244",".342",".260",".332","71","-0.8","-2.2","-0.2","-0.1","26123"
"Mark Vientos","NYM","16","41","1","3","3","0","12.2%","29.3%",".111",".217",".167",".268",".278",".252",".280","65","-0.1","-1.8","-1.7","-0.2","22184"
"Darin Ruf","NYM","119","388","11","52","45","2","11.6%","27.1%",".135",".258",".204",".307",".338",".291","","89","0.2","-4.8","-15.2","-0.7","9929"
