"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Aaron Judge","NYY","157","696","62","133","131","16","15.9%","25.1%",".375",".340",".311",".425",".686",".458",".463","207","2.1","86.1","0.5","11.4","15640"
"Jose Trevino","NYY","115","353","11","39","43","2","4.2%","17.6%",".140",".274",".248",".283",".388",".293",".281","91","-1.2","-4.9","29.0","3.7","16725"
"DJ LeMahieu","NYY","125","541","12","74","46","4","12.4%","13.1%",".116",".285",".261",".357",".377",".329",".344","116","-4.0","6.0","4.9","3.0","9874"
"Gleyber Torres","NYY","140","572","24","73","76","10","6.8%","22.6%",".194",".295",".257",".310",".451",".328",".319","115","-0.2","9.8","-2.0","2.7","16997"
"Anthony Rizzo","NYY","130","548","32","77","75","6","10.6%","18.4%",".256",".216",".224",".338",".480",".352",".349","132","-3.6","16.4","-10.9","2.4","3473"
"Kyle Higashioka","NYY","83","248","10","27","31","0","4.8%","21.0%",".162",".246",".227",".264",".389",".282",".317","83","-0.1","-4.8","12.6","1.7","5517"
"Josh Donaldson","NYY","132","546","15","59","62","2","9.9%","27.1%",".153",".283",".222",".308",".374",".302",".299","97","-4.5","-6.6","4.5","1.6","5038"
"Oswaldo Cabrera","NYY","44","171","6","21","19","3","8.8%","25.7%",".182",".305",".247",".312",".429",".322",".287","111","0.4","2.6","6.6","1.5","21707"
"Harrison Bader","NYY","86","313","5","38","30","17","4.8%","19.8%",".106",".300",".250",".294",".356",".286","","86","4.2","-0.7","4.3","1.5","18030"
"Aaron Hicks","NYY","130","453","8","54","40","10","13.7%","24.1%",".096",".279",".216",".330",".313",".292",".303","90","2.5","-2.6","2.1","1.5","5297"
"Isiah Kiner-Falefa","NYY","142","531","4","66","48","22","6.6%","13.6%",".066",".296",".261",".314",".327",".285",".290","85","1.1","-7.8","3.6","1.3","16512"
"Giancarlo Stanton","NYY","110","452","31","53","78","0","11.1%","30.3%",".251",".227",".211",".297",".462",".327",".351","115","-2.6","4.8","-8.2","1.2","4949"
"Oswald Peraza","NYY","18","57","1","8","2","2","10.5%","15.8%",".122",".359",".306",".404",".429",".371",".343","146","-0.7","2.3","-0.1","0.4","22823"
"Tommy Kahnle","NYY","13","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11384"
"Gerrit Cole","NYY","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13125"
"Clay Holmes","NYY","62","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13649"
"Wandy Peralta","NYY","56","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14295"
"Frankie Montas","NYY","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14309"
"Lou Trivino","NYY","64","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15043"
"Luis Severino","NYY","19","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15890"
"Carlos Rodon","NYY","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16137"
"Domingo German","NYY","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17149"
"Albert Abreu","NYY","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17485"
"Nestor Cortes","NYY","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17874"
"Scott Effross","NYY","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18384"
"Jonathan Loaisiga","NYY","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19753"
"Michael King","NYY","34","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19853"
"Clarke Schmidt","NYY","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19899"
"Greg Weissert","NYY","12","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20375"
"Luis Gil","NYY","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21052"
"Ron Marinaccio","NYY","40","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23488"
"Estevan Florial","NYY","17","35","0","4","1","2","8.6%","37.1%",".000",".167",".097",".200",".097",".155",".235","-7","0.9","-3.3","-1.4","-0.4","19151"
