"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jace Peterson","OAK","113","328","8","44","34","12","10.1%","25.9%",".146",".303",".236",".316",".382",".306",".303","96","5.2","3.7","6.4","2.2","12325"
"Seth Brown","OAK","150","555","25","55","73","11","9.2%","26.3%",".214",".273",".230",".305",".444",".323",".338","117","2.4","12.7","-13.2","1.8","18171"
"Tony Kemp","OAK","147","558","7","61","46","11","8.1%","12.4%",".099",".259",".235",".307",".334",".287",".267","91","4.1","-1.4","-2.3","1.5","14894"
"Ramon Laureano","OAK","94","383","13","49","34","11","6.5%","27.2%",".165",".262",".211",".287",".376",".294",".307","96","3.0","1.2","-4.8","0.9","17128"
"Conner Capel","OAK","22","59","3","7","11","1","8.5%","16.9%",".212",".317",".308",".356",".519",".371","","149","-0.3","3.0","1.6","0.7","19983"
"Aledmys Diaz","OAK","92","327","12","35","38","1","5.5%","16.2%",".161",".256",".243",".287",".403",".301",".308","96","-3.8","-5.3","0.3","0.6","15937"
"Nick Allen","OAK","100","326","4","31","19","3","5.8%","19.6%",".084",".250",".207",".256",".291",".245",".238","61","0.5","-13.8","8.5","0.5","22277"
"Dermis Garcia","OAK","39","125","5","13","20","0","6.4%","44.0%",".181",".339",".207",".264",".388",".285",".244","90","-0.2","-1.7","-0.6","0.2","20926"
"Shea Langeliers","OAK","40","153","6","14","22","0","5.9%","34.6%",".211",".294",".218",".261",".430",".296",".261","97","-0.3","-0.8","-2.8","0.1","25816"
"Trevor May","OAK","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6398"
"Paul Blackburn","OAK","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14739"
"Sam Moll","OAK","53","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14874"
"Domingo Acevedo","OAK","70","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17092"
"James Kaprielian","OAK","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18331"
"Kirby Snead","OAK","46","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19179"
"Zach Jackson","OAK","54","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19493"
"Adam Oller","OAK","19","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20132"
"Kyle Muller","OAK","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20167"
"Chad Smith","OAK","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20190"
"Dany Jimenez","OAK","34","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21170"
"Freddy Tarnok","OAK","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23324"
"JP Sears","OAK","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23429"
"Ken Waldichuk","OAK","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","27681"
"Manny Pina","OAK","5","17","0","1","2","0","5.9%","5.9%",".000",".143",".143",".235",".143",".187",".298","13","0.0","-1.7","0.1","-0.1","2829"
"Kevin Smith","OAK","47","151","2","9","13","4","4.6%","27.8%",".122",".237",".180",".216",".302",".226",".239","48","-0.6","-9.5","3.5","-0.1","20242"
"Jonah Bride","OAK","58","187","1","17","6","1","10.2%","17.1%",".043",".246",".204",".301",".247",".257",".282","70","-1.5","-7.9","0.6","-0.1","24703"
"Jordan Diaz","OAK","15","51","0","3","1","0","3.9%","13.7%",".061",".310",".265",".294",".327",".275",".229","82","0.2","-0.9","-3.2","-0.3","22650"
"J.J. Bleday","OAK","65","238","5","21","16","4","12.6%","28.2%",".142",".216",".167",".277",".309",".266",".280","72","0.8","-7.1","-3.8","-0.3","26368"
"Esteury Ruiz","OAK","17","36","0","3","2","1","2.8%","19.4%",".086",".214",".171",".194",".257",".197","","25","-0.5","-3.7","-0.6","-0.3","21780"
"Brent Rooker","OAK","16","36","0","1","2","0","8.3%","30.6%",".031",".190",".125",".222",".156",".186","","15","-0.3","-3.9","-0.7","-0.4","19627"
"Jesus Aguilar","OAK","129","507","16","39","51","1","5.5%","23.5%",".144",".278",".235",".281",".379",".288","","86","-2.8","-10.7","-9.8","-0.4","11342"
"Cristian Pache","OAK","91","260","3","18","18","2","5.8%","26.9%",".075",".220",".166",".218",".241",".207",".259","35","-1.7","-20.8","3.1","-1.0","19948"
