"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ke'Bryan Hayes","PIT","136","560","7","55","41","20","8.6%","21.8%",".101",".307",".244",".314",".345",".294",".303","88","0.9","-6.8","16.7","3.0","18577"
"Bryan Reynolds","PIT","145","614","27","74","62","7","9.1%","23.0%",".199",".306",".262",".345",".461",".349",".329","125","-2.1","16.0","-9.3","2.9","19326"
"Jack Suwinski","PIT","106","372","19","45","38","4","11.0%","30.6%",".209",".242",".202",".298",".411",".311",".307","100","0.6","0.4","3.9","1.8","22244"
"Ji-Man Choi","PIT","113","419","11","36","52","0","13.8%","29.4%",".154",".320",".233",".341",".388",".322",".337","116","-2.7","4.6","-5.7","1.3","5452"
"Oneil Cruz","PIT","87","361","17","45","54","10","7.8%","34.9%",".218",".317",".233",".294",".450",".320",".304","106","2.0","4.5","-5.1","1.2","21711"
"Carlos Santana","PIT","131","506","19","52","60","0","14.0%","17.4%",".174",".209",".202",".316",".376",".308","","102","1.0","2.0","-8.3","1.0","2396"
"Rodolfo Castro","PIT","71","278","11","25","27","5","7.9%","26.6%",".194",".284",".233",".299",".427",".315",".280","103","0.3","1.1","-1.7","0.9","21987"
"Mark Mathias","PIT","30","91","6","13","20","3","9.9%","33.0%",".259",".304",".247",".319",".506",".353","","132","1.1","4.4","-0.9","0.7","18032"
"Andrew McCutchen","PIT","134","580","17","66","69","8","9.8%","21.4%",".148",".278",".237",".316",".384",".309",".325","98","-4.1","-5.3","-11.3","0.3","9847"
"Ji Hwan Bae","PIT","10","37","0","5","6","3","5.4%","16.2%",".091",".407",".333",".405",".424",".370",".273","139","1.0","2.6","-1.6","0.2","23818"
"Liover Peguero","PIT","1","4","0","0","0","0","25.0%","50.0%",".000","1.000",".333",".500",".333",".393",".297","156","0.0","0.3","0.2","0.1","24273"
"Rich Hill","PIT","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","4806"
"Vince Velasquez","PIT","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11189"
"Robert Stephenson","PIT","58","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13594"
"Duane Underwood Jr.","PIT","51","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14677"
"Chase De Jong","PIT","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15036"
"JT Brubaker","PIT","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17578"
"Mitch Keller","PIT","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17594"
"Jarlin Garcia","PIT","58","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18282"
"Yohan Ramirez","PIT","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19444"
"David Bednar","PIT","45","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19569"
"Wil Crowe","PIT","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19800"
"Dauri Moreta","PIT","35","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21101"
"Yerry De Los Santos","PIT","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21420"
"Colin Holderman","PIT","24","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22361"
"Johan Oviedo","PIT","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22487"
"Roansy Contreras","PIT","21","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22810"
"Luis Ortiz","PIT","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","27646"
"Connor Joe","PIT","111","467","7","56","28","6","11.8%","20.8%",".121",".296",".238",".338",".359",".314",".311","87","-0.3","-7.4","-8.5","0.0","16572"
"Canaan Smith-Njigba","PIT","3","7","0","1","0","0","14.3%","0.0%",".200",".200",".200",".429",".400",".381",".401","148","-0.2","0.2","-0.9","-0.1","23264"
"Tucupita Marcano","PIT","49","177","2","18","13","2","5.6%","24.9%",".100",".270",".206",".256",".306",".249",".213","57","1.0","-7.8","0.8","-0.1","22871"
"Travis Swaggerty","PIT","5","9","0","0","0","0","0.0%","44.4%",".000",".200",".111",".111",".111",".098",".056","-46","0.0","-1.5","-0.7","-0.2","24491"
"Austin Hedges","PIT","105","338","7","26","30","2","7.4%","23.1%",".085",".193",".163",".241",".248",".225",".240","42","-3.6","-25.8","9.6","-0.6","12976"
"Calvin Mitchell","PIT","69","232","5","21","17","3","7.8%","22.4%",".123",".276",".226",".286",".349",".281",".292","79","1.1","-4.6","-8.9","-0.6","22169"
