"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Manny Machado","SDP","150","644","32","100","102","9","9.8%","20.7%",".234",".337",".298",".366",".531",".382",".338","152","3.0","41.9","6.9","7.4","11493"
"Xander Bogaerts","SDP","150","631","15","84","73","8","9.0%","18.7%",".149",".362",".307",".377",".456",".363",".323","134","4.7","28.6","9.0","6.1","12161"
"Jake Cronenworth","SDP","158","684","17","88","88","3","10.2%","19.2%",".152",".275",".239",".332",".390",".318",".303","109","6.8","13.7","2.3","4.1","18036"
"Juan Soto","SDP","153","664","27","93","62","6","20.3%","14.5%",".210",".249",".242",".401",".452",".376","","145","-2.4","32.0","-17.7","3.8","20123"
"Ha-seong Kim","SDP","150","582","11","58","59","12","8.8%","17.2%",".132",".290",".251",".325",".383",".313",".309","105","1.9","5.4","10.0","3.7","27506"
"Matt Carpenter","SDP","47","154","15","28","37","0","12.3%","22.7%",".422",".304",".305",".412",".727",".472",".362","217","-0.9","19.4","-2.5","2.3","8090"
"Trent Grisham","SDP","152","524","17","58","53","7","10.9%","28.6%",".157",".231",".184",".284",".341",".280",".295","83","5.8","-4.7","7.4","2.1","18564"
"Jose Azocar","SDP","98","216","0","24","10","5","5.6%","20.4%",".074",".327",".257",".298",".332",".278",".272","81","-1.6","-6.3","4.3","0.5","18821"
"Austin Nola","SDP","110","397","4","40","40","2","8.6%","15.1%",".078",".284",".251",".321",".329",".290",".305","89","-0.8","-5.9","-5.8","0.2","15941"
"Luis Garcia","SDP","64","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6984"
"Seth Lugo","SDP","62","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12447"
"Nick Martinez","SDP","47","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12730"
"Joe Musgrove","SDP","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12970"
"Yu Darvish","SDP","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13074"
"Blake Snell","SDP","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13543"
"Michael Wacha","SDP","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14078"
"Josh Hader","SDP","56","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14212"
"Tim Hill","SDP","55","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16814"
"Jose Castillo","SDP","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17169"
"Nabil Crismatt","SDP","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17732"
"Adrian Morejon","SDP","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20039"
"Steven Wilson","SDP","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20353"
"Reiss Knehr","SDP","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21541"
"Ryan Weathers","SDP","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23796"
"Ray Kerr","SDP","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23809"
"Matthew Batten","SDP","15","22","0","0","1","0","9.1%","27.3%",".053",".154",".105",".227",".158",".193",".262","23","0.0","-2.0","1.2","0.0","20157"
"Robert Suarez","SDP","45","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","-0.1","0.0","30115"
"Brandon Dixon","SDP","5","14","0","1","1","0","0.0%","35.7%",".071",".333",".214",".214",".286",".216",".234","39","-0.6","-1.6","0.1","-0.1","15214"
"Adam Engel","SDP","119","260","2","32","17","12","4.2%","29.2%",".086",".317",".224",".269",".310",".256",".246","63","2.1","-8.6","-1.1","-0.1","15082"
"Luis Campusano","SDP","16","50","1","4","5","0","2.0%","22.0%",".083",".297",".250",".260",".333",".257",".258","67","-0.3","-2.3","-1.5","-0.2","22217"
"Nelson Cruz","SDP","124","507","10","50","64","4","9.7%","23.5%",".103",".295",".234",".313",".337",".292",".320","85","-3.1","-11.9","-13.3","-0.8","2434"
