"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Julio Rodriguez","SEA","132","560","28","84","75","25","7.1%","25.9%",".225",".345",".284",".345",".509",".366",".337","146","4.3","33.4","-0.5","5.3","23697"
"Cal Raleigh","SEA","119","415","27","46","63","1","9.2%","29.4%",".278",".226",".211",".284",".489",".330",".324","121","-1.0","8.6","18.0","4.2","21534"
"Eugenio Suarez","SEA","150","629","31","76","87","0","11.6%","31.2%",".223",".302",".236",".332",".459",".344",".339","131","-2.5","19.2","-0.3","4.1","12552"
"Kolten Wong","SEA","134","497","15","65","47","17","9.3%","17.7%",".179",".280",".251",".339",".430",".336",".305","117","3.4","12.9","-6.0","2.5","12532"
"Teoscar Hernandez","SEA","131","535","25","71","77","6","6.4%","28.4%",".224",".335",".267",".316",".491",".348",".351","129","-2.5","15.0","-8.9","2.4","13066"
"Ty France","SEA","140","613","20","65","83","0","5.7%","15.3%",".162",".296",".274",".338",".436",".337",".321","126","-2.8","14.9","-11.6","2.4","17982"
"Dylan Moore","SEA","104","255","6","41","24","21","13.3%","29.4%",".161",".320",".224",".368",".385",".338",".322","126","2.5","10.0","2.1","2.1","18042"
"J.P. Crawford","SEA","145","603","6","57","42","3","11.3%","13.3%",".093",".275",".243",".339",".336",".306",".315","104","-1.0","1.4","-1.5","2.0","15491"
"Sam Haggerty","SEA","83","201","5","29","23","13","9.0%","26.4%",".148",".333",".256",".335",".403",".320",".285","114","2.2","5.3","2.7","1.5","18054"
"A.J. Pollock","SEA","138","527","14","61","56","3","6.1%","18.6%",".143",".278",".245",".292",".389",".297",".317","92","-1.5","-6.0","-5.6","0.5","9256"
"Tom Murphy","SEA","14","42","1","9","1","0","19.0%","31.0%",".152",".474",".303",".439",".455",".397",".420","168","-0.5","2.8","0.7","0.5","13499"
"Taylor Trammell","SEA","43","117","4","15","10","2","11.1%","28.2%",".206",".242",".196",".284",".402",".300",".292","99","-0.5","-0.6","0.4","0.4","19960"
"Robbie Ray","SEA","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11486"
"Paul Sewald","SEA","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13892"
"Chris Flexen","SEA","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13896"
"Trevor Gott","SEA","45","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15046"
"Justin Topa","SEA","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15145"
"Marco Gonzales","SEA","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15467"
"Luis Castillo","SEA","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15689"
"Brennan Bernardino","SEA","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16835"
"Gabe Speier","SEA","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17170"
"Diego Castillo","SEA","59","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17496"
"Tayler Saucedo","SEA","4","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17888"
"Matthew Festa","SEA","53","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19330"
"Andres Munoz","SEA","64","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20373"
"Easton McGee","SEA","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22176"
"Logan Gilbert","SEA","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22250"
"Penn Murfee","SEA","64","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25174"
"George Kirby","SEA","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25436"
"Matt Brash","SEA","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25756"
"Jarred Kelenic","SEA","54","181","7","20","17","5","8.8%","33.7%",".172",".167",".141",".221",".313",".238",".269","55","-0.5","-9.6","2.7","-0.1","22558"
"Cooper Hummel","SEA","66","201","3","20","17","4","11.4%","31.8%",".131",".255",".176",".274",".307",".262",".292","65","0.1","-8.1","-6.1","-0.8","19458"
"Tommy La Stella","SEA","60","195","2","17","14","0","5.6%","15.4%",".111",".272",".239",".282",".350",".277",".267","78","-1.2","-6.1","-8.1","-0.8","12371"
