"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Thairo Estrada","SFG","140","541","14","71","62","21","6.1%","16.5%",".139",".290",".260",".322",".400",".317",".299","106","2.4","6.2","1.5","2.7","16426"
"Mike Yastrzemski","SFG","148","558","17","73","57","5","10.9%","25.3%",".177",".261",".214",".305",".392",".307",".314","99","2.6","1.8","0.4","2.2","14854"
"Austin Slater","SFG","125","325","7","49","34","12","12.3%","27.4%",".144",".361",".264",".366",".408",".344",".351","124","3.5","12.7","-3.2","2.1","16153"
"Joc Pederson","SFG","134","433","23","57","70","3","9.7%","23.1%",".247",".310",".274",".353",".521",".373",".367","144","0.4","22.6","-17.6","2.1","11899"
"Brandon Crawford","SFG","118","458","9","50","52","1","8.5%","21.4%",".113",".280",".231",".308",".344",".289",".287","87","1.8","-5.3","9.2","2.0","5343"
"Wilmer Flores","SFG","151","602","19","72","71","0","9.8%","17.1%",".166",".246",".229",".316",".394",".312",".310","103","-1.4","0.5","-7.2","1.4","5827"
"J.D. Davis","SFG","115","365","12","46","35","1","10.7%","33.4%",".170",".360",".248",".340",".418",".333","","119","-3.1","5.1","-8.5","0.9","16219"
"David Villar","SFG","52","181","9","21","24","0","9.9%","32.0%",".224",".300",".231",".331",".455",".344",".285","124","-0.3","4.8","-2.0","0.9","24782"
"Mitch Haniger","SFG","57","247","11","31","34","0","8.1%","26.3%",".183",".293",".246",".308",".429",".319",".328","113","-0.9","2.7","-2.9","0.8","14274"
"Joey Bart","SFG","97","291","11","34","25","2","8.9%","38.5%",".149",".326",".215",".296",".364",".294",".296","90","-1.5","-4.8","1.0","0.6","21524"
"Luis Gonzalez","SFG","98","350","4","31","36","10","8.6%","21.4%",".106",".316",".254",".323",".360",".302",".268","95","0.6","-1.3","-7.9","0.3","20332"
"LaMonte Wade Jr.","SFG","77","251","8","29","26","1","10.4%","20.3%",".152",".233",".207",".305",".359",".298",".321","93","0.8","-1.4","-4.7","0.2","18126"
"Alex Cobb","SFG","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6562"
"Scott Alexander","SFG","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10591"
"John Brebbia","SFG","76","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12777"
"Anthony DeSclafani","SFG","5","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13050"
"Ross Stripling","SFG","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13273"
"Taylor Rogers","SFG","66","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13449"
"Jakob Junis","SFG","23","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13619"
"Alex Wood","SFG","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13781"
"Tyler Rogers","SFG","68","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15541"
"Sean Manaea","SFG","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15873"
"Logan Webb","SFG","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17995"
"Thomas Szapucki","SFG","11","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21065"
"Sean Hjelle","SFG","8","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21481"
"Camilo Doval","SFG","68","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21992"
"Sammy Long","SFG","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25379"
"Cole Waites","SFG","7","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25665"
