"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Nolan Arenado","STL","148","620","30","73","103","5","8.4%","11.6%",".241",".290",".293",".358",".533",".381",".339","151","-1.6","35.3","13.5","7.3","9777"
"Paul Goldschmidt","STL","151","651","35","106","115","7","12.1%","21.7%",".260",".368",".317",".404",".578",".419",".367","177","3.0","61.6","-15.8","7.1","9218"
"Tommy Edman","STL","153","630","13","95","57","32","7.3%","17.6%",".135",".308",".265",".324",".400",".318",".308","108","8.4","14.2","18.4","5.6","19470"
"Willson Contreras","STL","113","487","22","65","55","4","9.2%","21.1%",".224",".270",".243",".349",".466",".357",".364","132","-2.8","15.1","-0.4","3.3","11609"
"Brendan Donovan","STL","126","468","5","64","45","2","12.8%","15.0%",".097",".330",".281",".394",".379",".349",".339","129","-1.9","14.0","-3.8","2.7","24679"
"Lars Nootbaar","STL","108","347","14","53","40","4","14.7%","20.5%",".221",".248",".228",".340",".448",".342",".346","125","1.4","11.3","2.4","2.7","21454"
"Dylan Carlson","STL","128","488","8","56","42","5","9.2%","19.3%",".144",".281",".236",".316",".380",".306",".301","100","3.8","4.0","2.6","2.4","20126"
"Tyler O'Neill","STL","96","383","14","56","58","14","9.9%","26.9%",".165",".277",".228",".308",".392",".307",".331","101","1.4","1.9","-2.5","1.3","15711"
"Nolan Gorman","STL","89","313","14","44","35","1","8.9%","32.9%",".194",".301",".226",".300",".420",".316",".341","107","-0.1","2.4","-8.0","0.5","22263"
"Paul DeJong","STL","77","237","6","19","25","3","8.9%","33.3%",".129",".213",".157",".245",".286",".241",".267","55","-0.7","-13.0","5.9","0.1","18015"
"Juan Yepez","STL","76","274","12","27","30","0","5.8%","22.3%",".194",".283",".253",".296",".447",".319",".286","109","-1.7","1.2","-9.8","0.1","18400"
"Adam Wainwright","STL","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","2233"
"Miles Mikolas","STL","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9803"
"Steven Matz","STL","15","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13361"
"Drew VerHagen","STL","19","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13424"
"Chris Stratton","STL","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13761"
"Giovanny Gallegos","STL","57","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14986"
"Jordan Montgomery","STL","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16511"
"Jack Flaherty","STL","9","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17479"
"Genesis Cabrera","STL","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17490"
"Ryan Helsley","STL","54","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18138"
"Anthony Misiewicz","STL","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18152"
"Jake Woodford","STL","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18674"
"Dakota Hudson","STL","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19206"
"JoJo Romero","STL","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19574"
"Jordan Hicks","STL","35","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19618"
"Jake Walsh","STL","3","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20227"
"Matthew Liberatore","STL","9","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22294"
"Packy Naughton","STL","26","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23292"
"Zack Thompson","STL","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25918"
"Andre Pallante","STL","47","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26108"
"Ivan Herrera","STL","11","22","0","0","1","0","9.1%","36.4%",".000",".182",".111",".190",".111",".150",".164","-7","0.0","-2.7","0.6","-0.1","20599"
"Alec Burleson","STL","16","53","1","4","3","1","9.4%","17.0%",".083",".211",".188",".264",".271",".245",".322","58","0.1","-2.5","-1.8","-0.3","27615"
"Andrew Knizner","STL","97","293","4","28","25","0","8.9%","21.2%",".085",".268",".215",".301",".300",".275",".280","79","-1.8","-9.1","-4.0","-0.3","19514"
