"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Yandy Diaz","TBR","137","558","9","71","57","3","14.0%","10.8%",".127",".323",".296",".401",".423",".366",".365","146","-5.3","23.8","-5.7","3.8","16578"
"Randy Arozarena","TBR","153","645","20","72","89","32","7.1%","24.2%",".183",".325",".263",".327",".445",".336",".301","125","-4.3","13.8","-8.3","2.7","19290"
"Isaac Paredes","TBR","111","381","20","48","45","0","11.5%","17.6%",".230",".195",".205",".304",".435",".323",".297","116","-0.7","6.2","4.6","2.4","20036"
"Wander Franco","TBR","83","344","6","46","33","8","7.6%","9.6%",".140",".290",".277",".328",".417",".323",".331","116","4.0","10.3","0.9","2.3","23667"
"Jose Siri","TBR","104","325","7","53","24","14","6.2%","33.2%",".126",".305",".213",".268",".339",".268","","75","5.6","-3.4","11.4","1.9","17452"
"Christian Bethancourt","TBR","101","333","11","39","34","5","3.6%","24.0%",".157",".304",".252",".283",".409",".301","","101","-1.0","-0.8","7.9","1.9","10028"
"Manuel Margot","TBR","89","363","4","36","47","7","6.6%","18.7%",".101",".332",".274",".325",".375",".308",".299","106","2.3","4.6","-2.0","1.5","14712"
"Harold Ramirez","TBR","120","435","6","46","58","3","4.4%","16.6%",".104",".350",".300",".343",".404",".327",".314","119","-2.3","7.0","-9.5","1.2","14387"
"Brandon Lowe","TBR","65","266","8","31","25","1","10.2%","22.9%",".162",".263",".221",".308",".383",".306",".320","104","2.0","3.3","-3.2","0.9","18882"
"Josh Lowe","TBR","52","198","2","24","13","3","7.6%","33.3%",".122",".336",".221",".284",".343",".276",".272","83","2.1","-1.7","-1.9","0.3","19953"
"Francisco Mejia","TBR","93","299","6","32","31","0","2.3%","21.7%",".138",".292",".242",".264",".381",".279",".262","85","-2.4","-7.4","-0.3","0.2","16403"
"Rene Pinto","TBR","25","83","2","5","10","0","2.4%","42.2%",".113",".349",".213",".241",".325",".249",".219","63","-0.7","-4.1","1.7","0.0","19859"
"Jason Adam","TBR","67","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","11861"
"Andrew Kittredge","TBR","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12828"
"Shawn Armstrong","TBR","50","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12857"
"Zach Eflin","TBR","20","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13774"
"Tyler Glasnow","TBR","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14374"
"Yonny Chirinos","TBR","2","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16401"
"Ryan Thompson","TBR","47","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16647"
"Jalen Beeks","TBR","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17192"
"Jeffrey Springs","TBR","33","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17677"
"Garrett Cleavinger","TBR","17","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17897"
"Pete Fairbanks","TBR","24","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17998"
"Colin Poche","TBR","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19403"
"Calvin Faucher","TBR","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20116"
"Josh Fleming","TBR","10","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20418"
"Shane McClanahan","TBR","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21483"
"Shane Baz","TBR","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22264"
"Luis Patino","TBR","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22815"
"Drew Rasmussen","TBR","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","25385"
"Luke Raley","TBR","22","72","1","7","4","0","9.7%","33.3%",".082",".297",".197",".306",".279",".271",".286","80","0.1","-1.5","-1.0","0.0","19354"
"Jonathan Aranda","TBR","32","87","2","10","6","0","9.2%","26.4%",".128",".245",".192",".276",".321",".264",".279","74","0.7","-1.8","-2.8","-0.2","21837"
"Vidal Brujan","TBR","52","162","3","13","16","5","7.4%","22.8%",".095",".193",".163",".228",".259",".220",".236","43","-0.8","-11.1","1.7","-0.5","20536"
"Taylor Walls","TBR","142","466","8","53","33","10","11.2%","25.8%",".113",".221",".172",".268",".285",".252",".270","66","3.2","-14.5","-5.0","-0.5","22458"
