"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Corey Seager","TEX","151","663","33","91","83","3","8.7%","15.5%",".211",".242",".245",".317",".455",".331",".372","117","2.6","15.1","6.7","4.5","13624"
"Marcus Semien","TEX","161","724","26","101","83","25","7.3%","16.6%",".181",".263",".248",".304",".429",".317",".306","107","7.0","12.5","4.1","4.2","12533"
"Adolis Garcia","TEX","156","657","27","88","101","25","6.1%","27.9%",".207",".309",".250",".300",".456",".324",".322","112","6.0","14.8","0.5","3.8","19287"
"Nathaniel Lowe","TEX","157","645","27","74","76","2","7.4%","22.8%",".191",".363",".302",".358",".492",".368",".344","143","-3.9","27.2","-19.1","3.0","19566"
"Jonah Heim","TEX","127","450","16","51","48","2","9.1%","19.3%",".172",".249",".227",".298",".399",".306",".291","99","-1.8","-2.5","15.1","2.8","16930"
"Leody Taveras","TEX","99","341","5","39","34","11","6.2%","25.8%",".105",".344",".261",".309",".366",".297",".270","93","2.2","-0.6","1.6","1.2","18900"
"Sam Huff","TEX","44","132","4","9","10","1","8.3%","31.8%",".132",".333",".240",".303",".372",".296",".294","92","0.4","-0.8","1.4","0.5","22209"
"Bubba Thompson","TEX","55","181","1","18","9","18","3.9%","30.9%",".047",".389",".265",".302",".312",".274",".203","77","3.6","-1.2","-1.1","0.4","22261"
"Mitch Garver","TEX","54","215","10","23","24","1","10.7%","24.7%",".197",".228",".207",".298",".404",".308",".319","101","0.4","0.5","-4.4","0.3","15161"
"Ezequiel Duran","TEX","58","220","5","25","25","4","5.5%","24.5%",".130",".295",".236",".277",".365",".282",".256","82","-0.2","-4.7","-1.6","0.1","23733"
"Josh Smith","TEX","73","253","2","23","16","4","11.1%","19.8%",".052",".244",".197",".307",".249",".262",".296","68","0.3","-8.9","1.2","0.0","26396"
"Jake Odorizzi","TEX","22","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6397"
"Martin Perez","TEX","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","6902"
"Will Smith","TEX","65","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8048"
"Nathan Eovaldi","TEX","20","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9132"
"Jacob deGrom","TEX","11","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10954"
"Jose Leclerc","TEX","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14524"
"Jon Gray","TEX","24","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14916"
"Andrew Heaney","TEX","16","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15423"
"Jonathan Hernandez","TEX","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17464"
"Brock Burke","TEX","52","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17968"
"Josh Sborz","TEX","19","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18323"
"Taylor Hearn","TEX","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","18325"
"Dane Dunning","TEX","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19409"
"Glenn Otto","TEX","27","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21366"
"Cole Ragans","TEX","9","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21846"
"Yerry Rodriguez","TEX","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21955"
"John King","TEX","39","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22051"
"Joe Barlow","TEX","35","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22296"
"Spencer Howard","TEX","10","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","23252"
"Josh Jung","TEX","26","102","5","9","14","2","3.9%","38.2%",".214",".278",".204",".235",".418",".280",".287","81","-1.8","-4.0","-0.4","-0.1","26299"
"Robbie Grossman","TEX","129","477","7","40","45","6","11.7%","27.0%",".102",".283",".209",".310",".311",".283","","82","-0.2","-9.8","-8.6","-0.3","5254"
"Brad Miller","TEX","81","241","7","20","32","4","7.5%","29.0%",".108",".274",".212",".270",".320",".263",".269","69","-1.1","-9.6","-8.9","-1.1","12775"
