"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Daulton Varsho","TOR","151","592","27","79","74","16","7.8%","24.5%",".207",".269",".235",".302",".443",".323",".298","106","3.4","7.7","16.4","4.6","19918"
"Bo Bichette","TOR","159","697","24","91","93","13","5.9%","22.2%",".179",".347",".290",".333",".469",".347",".334","129","-2.7","20.0","0.2","4.5","19612"
"George Springer","TOR","133","583","25","89","76","14","9.3%","17.2%",".205",".285",".267",".342",".472",".352",".342","132","4.6","25.7","-4.1","4.2","12856"
"Matt Chapman","TOR","155","621","27","83","76","2","11.0%","27.4%",".204",".277",".229",".324",".433",".331",".341","117","3.1","15.0","4.6","4.1","16505"
"Alejandro Kirk","TOR","139","541","14","59","63","0","11.6%","10.7%",".130",".299",".285",".372",".415",".347",".351","129","-7.1","10.4","8.8","3.8","22581"
"Vladimir Guerrero Jr.","TOR","160","706","32","90","97","8","8.2%","16.4%",".205",".289",".274",".339",".480",".351",".348","132","-6.0","19.2","-15.1","2.8","19611"
"Danny Jansen","TOR","72","248","15","34","44","1","10.1%","17.7%",".256",".255",".260",".339",".516",".364",".368","140","0.8","12.0","4.8","2.6","16535"
"Santiago Espinal","TOR","135","491","7","51","51","6","7.3%","13.8%",".102",".300",".267",".322",".370",".305",".298","99","-1.5","-1.9","8.2","2.3","19997"
"Whit Merrifield","TOR","139","550","11","70","58","16","6.9%","15.5%",".125",".276",".250",".298",".375",".294","","88","2.6","-4.6","1.4","1.5","11281"
"Cavan Biggio","TOR","97","303","6","43","24","2","12.5%","28.1%",".148",".275",".202",".318",".350",".302",".288","97","2.2","1.0","2.1","1.3","19252"
"Kevin Kiermaier","TOR","63","221","7","28","22","6","6.3%","27.6%",".141",".290",".228",".281",".369",".286",".305","90","3.2","0.7","2.6","1.1","11038"
"Otto Lopez","TOR","8","10","0","0","3","0","10.0%","10.0%",".000",".750",".667",".700",".667",".599",".302","307","-0.2","2.1","-1.1","0.1","19608"
"Brandon Belt","TOR","78","298","8","25","23","1","12.4%","27.2%",".138",".277",".213",".326",".350",".303",".326","96","-1.0","-2.3","-7.5","0.0","10264"
"Anthony Bass","TOR","74","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","7982"
"Yimi Garcia","TOR","61","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12095"
"Chris Bassitt","TOR","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","12304"
"Kevin Gausman","TOR","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14107"
"Jose Berrios","TOR","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14168"
"Hyun-Jin Ryu","TOR","6","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","14444"
"Tim Mayza","TOR","63","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15042"
"Adam Cimber","TOR","77","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15288"
"Chad Green","TOR","14","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15552"
"Zach Thompson","TOR","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16094"
"Jordan Romano","TOR","63","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16122"
"Erik Swanson","TOR","57","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16587"
"Trent Thornton","TOR","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17948"
"Mitch White","TOR","25","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19225"
"Thomas Hatch","TOR","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19264"
"Trevor Richards","TOR","62","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","19309"
"Zach Pop","TOR","36","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20185"
"Yusei Kikuchi","TOR","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20633"
"Alek Manoah","TOR","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","26410"
