"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Keibert Ruiz","WSN","112","433","7","33","36","6","6.9%","11.5%",".109",".271",".251",".313",".360",".299",".328","90","-0.2","-5.2","7.0","1.7","19610"
"Joey Meneses","WSN","56","240","13","33","34","1","6.3%","21.7%",".239",".371",".324",".367",".563",".395",".332","156","-2.8","12.8","-6.6","1.5","14366"
"Ildemaro Vargas","WSN","63","222","4","19","23","3","3.6%","10.4%",".129",".279",".263",".299",".392",".302","","92","0.5","-1.5","7.1","1.4","13324"
"Lane Thomas","WSN","146","548","17","62","52","8","7.5%","24.1%",".163",".291",".241",".301",".404",".308",".286","96","-0.6","-3.0","-4.9","1.1","16939"
"Alex Call","WSN","47","131","5","18","13","3","11.5%","22.9%",".175",".278",".237",".336",".412",".332","","113","0.3","2.2","-0.5","0.6","19296"
"Stone Garrett","WSN","27","84","4","13","10","3","3.6%","32.1%",".263",".370",".276",".309",".539",".360",".268","131","-0.1","3.0","-1.1","0.5","19273"
"Corey Dickerson","WSN","97","297","6","28","36","0","4.0%","16.2%",".132",".301",".267",".300",".399",".303",".292","98","-0.4","-1.2","-4.6","0.4","10762"
"Victor Robles","WSN","132","407","6","42","33","15","4.2%","25.6%",".087",".292",".224",".273",".311",".260",".244","64","2.8","-14.3","3.9","0.3","18363"
"Luis Garcia","WSN","93","377","7","29","45","3","2.9%","22.3%",".133",".337",".275",".295",".408",".303",".305","93","-2.5","-5.6","-6.7","0.0","20391"
"Paolo Espino","WSN","42","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","8246"
"Patrick Corbin","WSN","31","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","9323"
"Stephen Strasburg","WSN","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10131"
"Erasmo Ramirez","WSN","60","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","10314"
"Jordan Weems","WSN","32","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13190"
"Carl Edwards Jr.","WSN","57","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","13607"
"Kyle Finnegan","WSN","66","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15009"
"Hunter Harvey","WSN","38","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15507"
"Victor Arano","WSN","43","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","15915"
"Trevor Williams","WSN","30","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","16977"
"Tanner Rainey","WSN","29","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","17610"
"Cory Abbott","WSN","16","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","20277"
"Mason Thompson","WSN","24","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","21850"
"MacKenzie Gore","WSN","16","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","22201"
"Josiah Gray","WSN","28","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","24580"
"Cade Cavalli","WSN","1","0","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","","0.0","0.0","0.0","0.0","27473"
"Jeimer Candelario","WSN","124","467","13","49","50","0","6.0%","23.3%",".145",".257",".217",".272",".361",".277",".292","80","-2.7","-13.3","-2.3","-0.1","13621"
"Dominic Smith","WSN","58","152","0","11","17","0","7.9%","24.3%",".090",".263",".194",".276",".284",".254",".293","67","1.7","-4.2","-1.9","-0.1","15653"
"Israel Pineda","WSN","4","14","0","1","0","0","7.1%","50.0%",".000",".167",".077",".143",".077",".112",".131","-37","0.0","-2.2","0.2","-0.2","22906"
"CJ Abrams","WSN","90","302","2","33","21","7","1.7%","16.6%",".077",".291",".246",".280",".324",".267","","71","1.7","-8.5","-4.5","-0.3","25768"
"Jeter Downs","WSN","14","41","1","4","4","0","2.4%","51.2%",".103",".278",".154",".171",".256",".184",".153","7","0.5","-3.8","-0.5","-0.3","22202"
"Riley Adams","WSN","48","155","5","14","10","0","7.7%","29.7%",".134",".220",".176",".245",".310",".249",".276","56","-1.1","-9.1","-7.9","-1.2","19864"
