Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,ATL,,CIN,L,3,6,,0-1,4,1.0,Mahle,Fried,Santillan,3:01,N,40545,.96,-,
2,Friday Apr 8,boxscore,ATL,,CIN,W,7,6,,1-1,3,1.0,Morton,Sanmartin,,3:07,N,40234,.92,+,
3,Saturday Apr 9,boxscore,ATL,,CIN,W,2,1,,2-1,3,1.0,Wright,Gutiérrez,Smith,2:50,N,40310,.94,++,
4,Sunday Apr 10,boxscore,ATL,,CIN,L,3,6,,2-2,3,1.0,Greene,Anderson,Warren,3:14,D,38233,.94,-,
5,Monday Apr 11,boxscore,ATL,,WSN,L,2,11,,2-3,3,1.5,Rogers,Ynoa,,3:33,N,42263,.96,--,
6,Tuesday Apr 12,boxscore,ATL,,WSN,W,16,4,,3-3,3,1.0,Elder,Corbin,Stephens,3:37,N,31462,.93,+,
7,Wednesday Apr 13,boxscore,ATL,,WSN,L,1,3,,3-4,3,2.0,Gray,Fried,Rainey,2:57,D,31959,.97,-,
8,Thursday Apr 14,boxscore,ATL,@,SDP,L,1,12,,3-5,3,2.5,Musgrove,Morton,,3:07,N,44844,.89,--,
9,Friday Apr 15,boxscore,ATL,@,SDP,W,5,2,,4-5,2,2.5,O'Day,Johnson,Jansen,3:22,N,41993,.86,+,
10,Saturday Apr 16,boxscore,ATL,@,SDP,W,5,2,,5-5,2,1.5,Anderson,Martinez,Jansen,2:57,D,36924,.91,++,
11,Sunday Apr 17,boxscore,ATL,@,SDP,L,1,2,,5-6,2,2.5,Darvish,Elder,Rogers,2:54,D,37694,.95,-,
12,Monday Apr 18,boxscore,ATL,@,LAD,L,4,7,,5-7,3,3.0,Kershaw,Ynoa,Kimbrel,3:14,N,52052,.88,--,
13,Tuesday Apr 19,boxscore,ATL,@,LAD,W,3,1,,6-7,2,3.5,Fried,Buehler,Jansen,2:49,N,51889,.85,+,
14,Wednesday Apr 20,boxscore,ATL,@,LAD,L,1,5,,6-8,2,3.5,Gonsolin,Morton,,2:43,D,38888,.88,-,
15,Friday Apr 22,boxscore,ATL,,MIA,W,3,0,,7-8,2,4.0,Wright,Rogers,Jansen,3:04,N,40402,.86,+,
16,Saturday Apr 23,boxscore,ATL,,MIA,L,7,9,,7-9,2,4.0,Okert,Strider,Scott,3:44,N,41931,.92,-,
17,Sunday Apr 24,boxscore,ATL,,MIA,L,4,5,,7-10,3,5.0,Luzardo,Elder,Head,3:42,D,38440,.86,--,
18,Tuesday Apr 26,boxscore,ATL,,CHC,W,3,1,,8-10,3,5.5,Fried,Stroman,Jansen,2:31,N,31990,.78,+,
19,Wednesday Apr 27,boxscore,ATL,,CHC,L,3,6,10,8-11,4,5.5,Robertson,Matzek,Wick,4:04,N,30362,.81,-,
20,Thursday Apr 28,boxscore,ATL,,CHC,W,5,1,,9-11,4,5.0,Wright,Smyly,,2:49,N,34183,.76,+,
21,Friday Apr 29,boxscore,ATL,@,TEX,W,6,3,,10-11,3,5.0,Anderson,Richards,Jansen,3:23,N,25829,.79,++,
22,Saturday Apr 30,boxscore,ATL,@,TEX,L,1,3,,10-12,4,5.0,Dunning,Elder,Barlow,2:16,N,36097,.81,-,
23,Sunday May 1,boxscore,ATL,@,TEX,L,3,7,,10-13,4,6.0,Hearn,Muller,,3:00,D,38316,.76,--,
24,Monday May 2,boxscore,ATL,@,NYM,W,5,2,,11-13,4,5.0,Fried,Bassitt,Jansen,3:18,N,23413,.81,+,
25,Tuesday May 3 (1),boxscore,ATL,@,NYM,L,4,5,,11-14,4,7.0,Peterson,Morton,Díaz,2:49,D,,.88,-,
26,Tuesday May 3 (2),boxscore,ATL,@,NYM,L,0,3,,11-15,4,7.0,Carrasco,Wright,Lugo,2:18,D,27206,.85,--,
27,Wednesday May 4,boxscore,ATL,@,NYM,W,9,2,,12-15,3,6.0,Anderson,Megill,,3:28,D,23973,.76,+,
28,Friday May 6,boxscore,ATL,,MIL,L,3,6,,12-16,3,7.0,Lauer,McHugh,Hader,3:15,N,36307,.82,-,
29,Saturday May 7,boxscore,ATL,,MIL,W,3,2,,13-16,3,6.5,Fried,Burnes,Jansen,2:57,N,37857,.72,+,
30,Sunday May 8,boxscore,ATL,,MIL,W,9,2,,14-16,2,6.0,Morton,Ashby,,2:52,D,36551,.78,++,
31,Tuesday May 10,boxscore,ATL,,BOS,L,4,9,,14-17,2,7.0,Danish,Wright,Schreiber,3:47,N,38378,.77,-,
32,Wednesday May 11,boxscore,ATL,,BOS,W-wo,5,3,,15-17,2,6.0,Jansen,Brasier,,3:11,N,37200,.73,+,
33,Friday May 13,boxscore,ATL,,SDP,L,6,11,,15-18,3,6.5,García,Smith,Rogers,3:42,N,40635,.82,-,
34,Saturday May 14,boxscore,ATL,,SDP,W,6,5,,16-18,3,6.5,Jansen,Wilson,,2:55,D,40490,.76,+,
35,Sunday May 15,boxscore,ATL,,SDP,L,3,7,11,16-19,3,6.5,Crismatt,Stephens,,3:33,D,40114,.83,-,
36,Monday May 16,boxscore,ATL,@,MIL,L,0,1,,16-20,4,7.0,Peralta,Anderson,Hader,2:31,N,25880,.78,--,
37,Tuesday May 17,boxscore,ATL,@,MIL,W,3,0,,17-20,4,6.5,Davidson,Houser,Jansen,3:14,N,28910,.71,+,
38,Wednesday May 18,boxscore,ATL,@,MIL,L-wo,6,7,11,17-21,4,7.5,Kelley,Chavez,,4:03,D,27014,.79,-,
39,Friday May 20,boxscore,ATL,@,MIA,W,5,3,,18-21,2,7.5,Morton,Rogers,Smith,3:32,N,9776,.75,+,
40,Saturday May 21,boxscore,ATL,@,MIA,W,4,3,,19-21,2,7.0,Wright,Hernandez,Jansen,3:28,N,13264,.78,++,
41,Sunday May 22,boxscore,ATL,@,MIA,L,3,4,,19-22,2,8.0,Alcantara,Anderson,,2:42,D,17908,.83,-,
42,Monday May 23,boxscore,ATL,,PHI,L,3,7,,19-23,3,9.0,Wheeler,Davidson,,3:37,N,41762,.77,--,
43,Tuesday May 24,boxscore,ATL,,PHI,W-wo,6,5,,20-23,2,8.0,Jansen,Nelson,,3:58,N,32274,.70,+,
