Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,CHW,@,DET,L-wo,4,5,,0-1,3,1.0,Soto,Hendriks,,3:30,D,43480,1.01,-,
2,Saturday Apr 9,boxscore,CHW,@,DET,W,5,2,,1-1,2,1.0,Cease,Mize,Bummer,3:11,D,17469,.95,+,
3,Sunday Apr 10,boxscore,CHW,@,DET,W,10,1,,2-1,1,Tied,Crick,Skubal,,2:56,D,15712,.99,++,
4,Tuesday Apr 12,boxscore,CHW,,SEA,W,3,2,,3-1,1,up 0.5,López,Brash,Hendriks,3:22,D,36948,1.01,+++,
5,Wednesday Apr 13,boxscore,CHW,,SEA,W,6,4,,4-1,1,up 0.5,Keuchel,Ray,Hendriks,2:54,N,12291,1.06,++++,
6,Thursday Apr 14,boxscore,CHW,,SEA,L,1,5,,4-2,1,Tied,Gilbert,Lambert,,3:01,D,13391,1.08,-,
7,Friday Apr 15,boxscore,CHW,,TBR,W,3,2,,5-2,1,up 1.0,Cease,Rasmussen,Hendriks,2:51,N,19009,1.02,+,
8,Saturday Apr 16,boxscore,CHW,,TBR,W,3,2,,6-2,1,up 2.0,López,Thompson,Hendriks,2:50,D,27113,1.10,++,
9,Sunday Apr 17,boxscore,CHW,,TBR,L,3,9,,6-3,1,up 2.0,Mazza,Velasquez,,3:35,D,17798,1.11,-,
10,Wednesday Apr 20 (1),boxscore,CHW,@,CLE,L,1,11,,6-4,1,Tied,Bieber,Keuchel,,2:41,D,,1.14,--,
11,Wednesday Apr 20 (2),boxscore,CHW,@,CLE,L,1,2,,6-5,1,Tied,Gose,Lambert,Clase,3:01,D,9196,1.11,---,
12,Thursday Apr 21,boxscore,CHW,@,CLE,L,3,6,,6-6,2,1.0,Plesac,Cease,Clase,3:07,D,8345,1.12,----,
13,Friday Apr 22,boxscore,CHW,@,MIN,L,1,2,,6-7,2,1.0,Duffey,Graveman,Pagán,3:04,N,14257,1.00,-----,
14,Saturday Apr 23,boxscore,CHW,@,MIN,L,2,9,,6-8,3,1.0,Bundy,Velasquez,,3:32,D,16686,1.00,------,
15,Sunday Apr 24,boxscore,CHW,@,MIN,L-wo,4,6,10,6-9,3,1.5,Smith,Hendriks,,3:50,D,16197,.97,-------,
16,Tuesday Apr 26,boxscore,CHW,,KCR,L,0,6,,6-10,4,2.5,Lynch,Keuchel,,3:20,N,12031,.91,--------,
17,Wednesday Apr 27,boxscore,CHW,,KCR,W,7,3,,7-10,2,2.5,Sousa,Snider,Graveman,2:42,D,12363,.82,+,
18,Thursday Apr 28,boxscore,CHW,,KCR,L,2,5,10,7-11,3,3.5,Barlow,Bummer,Clarke,3:20,D,11242,.87,-,
19,Friday Apr 29,boxscore,CHW,,LAA,L,1,5,,7-12,4,3.5,Warren,Giolito,Iglesias,3:19,N,23709,.80,--,
20,Saturday Apr 30,boxscore,CHW,,LAA,W,4,0,,8-12,3,3.5,Velasquez,Suarez,,2:55,D,33762,.75,+,
21,Sunday May 1,boxscore,CHW,,LAA,L,5,6,,8-13,3,4.5,Lorenzen,Keuchel,Tepera,3:15,D,27664,.86,-,
22,Monday May 2,boxscore,CHW,,LAA,W,3,0,,9-13,3,4.5,Cease,Sandoval,Hendriks,2:39,D,13112,.72,+,
23,Tuesday May 3,boxscore,CHW,@,CHC,W,3,1,,10-13,3,4.5,López,Effross,Hendriks,3:01,N,34206,.73,++,
24,Wednesday May 4,boxscore,CHW,@,CHC,W,4,3,,11-13,2,3.5,Giolito,Hendricks,Hendriks,3:05,N,36755,.80,+++,
25,Friday May 6,boxscore,CHW,@,BOS,W,4,2,,12-13,2,3.0,Velasquez,Eovaldi,Hendriks,3:29,N,30944,.88,++++,
26,Saturday May 7,boxscore,CHW,@,BOS,W,3,1,10,13-13,2,3.0,López,Barnes,Hendriks,3:42,D,33026,.92,+++++,
27,Sunday May 8,boxscore,CHW,@,BOS,W,3,2,,14-13,2,3.0,Keuchel,Houck,Sousa,3:21,D,28602,.95,++++++,
28,Monday May 9,boxscore,CHW,,CLE,L,9,12,11,14-14,3,3.5,Clase,Burr,Stephan,4:13,N,17168,1.09,-,
29,Tuesday May 10,boxscore,CHW,,CLE,W,4,1,,15-14,2,2.5,Giolito,Quantrill,Graveman,2:43,N,16025,.99,+,
30,Thursday May 12,boxscore,CHW,,NYY,L,7,15,,15-15,2,2.0,Loáisiga,Kelly,,3:56,N,20050,1.06,-,
31,Friday May 13,boxscore,CHW,,NYY,L,4,10,,15-16,2,3.0,Cole,Velasquez,,3:21,N,28877,.96,--,
32,Saturday May 14,boxscore,CHW,,NYY,W-wo,3,2,,16-16,2,2.0,Hendriks,Chapman,,3:27,N,32830,.89,+,
33,Sunday May 15,boxscore,CHW,,NYY,L,1,5,,16-17,2,3.0,Cortes,Kopech,,2:32,D,29500,.98,-,
34,Monday May 16,boxscore,CHW,@,KCR,W,5,3,10,17-17,2,3.0,Burr,Barlow,Hendriks,3:05,N,12441,.91,+,
35,Tuesday May 17 (1),boxscore,CHW,@,KCR,W,3,0,,18-17,2,2.5,Cease,Heasley,Hendriks,3:10,D,9168,.90,++,
36,Tuesday May 17 (2),boxscore,CHW,@,KCR,L,1,2,,18-18,2,2.5,Singer,Martin,Staumont,2:35,N,11684,.96,-,
