Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,CIN,@,ATL,W,6,3,,1-0,1,Tied,Mahle,Fried,Santillan,3:01,N,40545,.93,+,
2,Friday Apr 8,boxscore,CIN,@,ATL,L,6,7,,1-1,3,0.5,Morton,Sanmartin,,3:07,N,40234,.97,-,
3,Saturday Apr 9,boxscore,CIN,@,ATL,L,1,2,,1-2,3,1.5,Wright,Gutiérrez,Smith,2:50,N,40310,.93,--,
4,Sunday Apr 10,boxscore,CIN,@,ATL,W,6,3,,2-2,3,0.5,Greene,Anderson,Warren,3:14,D,38233,.90,+,
5,Tuesday Apr 12,boxscore,CIN,,CLE,L,5,10,,2-3,3,1.5,Stephan,Strickland,,3:30,D,43036,.92,-,
6,Wednesday Apr 13,boxscore,CIN,,CLE,L,3,7,,2-4,5,2.0,Morgan,Lodolo,,3:07,D,10976,.85,--,
7,Thursday Apr 14,boxscore,CIN,@,LAD,L,3,9,,2-5,5,2.5,Treinen,Wilson,,3:10,N,52995,.87,---,
8,Friday Apr 15,boxscore,CIN,@,LAD,L,1,3,,2-6,5,3.0,Anderson,Gutiérrez,Kimbrel,3:15,N,51891,.83,----,
9,Saturday Apr 16,boxscore,CIN,@,LAD,L,2,5,,2-7,5,4.0,Phillips,Greene,Hudson,2:53,N,51059,.76,-----,
10,Sunday Apr 17,boxscore,CIN,@,LAD,L,1,9,,2-8,5,4.0,Heaney,Mahle,,3:02,D,41167,.71,------,
11,Monday Apr 18,boxscore,CIN,@,SDP,L,1,4,,2-9,5,4.5,Manaea,Lodolo,Rogers,2:50,N,31121,.67,-------,
12,Tuesday Apr 19,boxscore,CIN,@,SDP,L,2,6,,2-10,5,5.5,Musgrove,Sanmartin,,2:41,N,31313,.61,--------,
13,Wednesday Apr 20,boxscore,CIN,@,SDP,L,0,6,,2-11,5,6.5,Gore,Gutiérrez,,2:56,D,25359,.56,---------,
14,Friday Apr 22,boxscore,CIN,,STL,L,2,4,,2-12,5,7.0,Matz,Greene,Gallegos,3:19,N,20470,.55,----------,
15,Saturday Apr 23,boxscore,CIN,,STL,L,0,5,,2-13,5,8.0,Hudson,Mahle,,3:13,D,28598,.49,-----------,
16,Sunday Apr 24,boxscore,CIN,,STL,W,4,1,,3-13,5,7.0,Lodolo,Wainwright,Sims,2:47,D,23124,.43,+,
17,Tuesday Apr 26,boxscore,CIN,,SDP,L,6,9,,3-14,5,7.5,Musgrove,Sanmartin,,3:11,N,10056,.50,-,
18,Wednesday Apr 27,boxscore,CIN,,SDP,L,5,8,,3-15,5,8.5,Gore,Gutiérrez,Rogers,3:28,N,9192,.42,--,
19,Thursday Apr 28,boxscore,CIN,,SDP,L,5,7,,3-16,5,9.5,Martinez,Mahle,Rogers,3:35,D,10449,.36,---,
20,Friday Apr 29,boxscore,CIN,@,COL,L,4,10,,3-17,5,10.5,Senzatela,Greene,,3:25,N,30206,.31,----,
21,Saturday Apr 30,boxscore,CIN,@,COL,L,3,4,,3-18,5,11.5,Kuhl,Warren,Bard,2:31,N,32179,.28,-----,
