Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,HOU,@,LAA,W,3,1,,1-0,1,up 0.5,Valdez,Ohtani,Pressly,3:15,N,44723,.96,+,
2,Friday Apr 8,boxscore,HOU,@,LAA,W,13,6,,2-0,1,up 0.5,Montero,Ortega,,3:44,N,42719,1.06,++,
3,Saturday Apr 9,boxscore,HOU,@,LAA,L,0,2,,2-1,2,0.5,Syndergaard,Verlander,Iglesias,3:02,N,36139,1.09,-,
4,Sunday Apr 10,boxscore,HOU,@,LAA,W,4,1,,3-1,1,up 0.5,Urquidy,Suarez,Pressly,3:15,D,41253,1.05,+,
5,Tuesday Apr 12,boxscore,HOU,@,ARI,W,2,1,,4-1,1,up 1.5,Neris,Melancon,Pressly,3:20,N,17674,1.00,++,
6,Wednesday Apr 13,boxscore,HOU,@,ARI,L-wo,2,3,10,4-2,1,up 1.0,Pérez,Pressly,,3:50,D,12660,1.01,-,
7,Friday Apr 15,boxscore,HOU,@,SEA,L,1,11,,4-3,1,up 0.5,Gonzales,Odorizzi,,3:04,N,45023,1.11,--,
8,Saturday Apr 16,boxscore,HOU,@,SEA,W,4,0,,5-3,1,up 0.5,Verlander,Flexen,,2:36,N,38504,1.10,+,
9,Sunday Apr 17,boxscore,HOU,@,SEA,L,2,7,,5-4,2,0.5,Brash,Urquidy,,2:56,D,26583,1.08,-,
10,Monday Apr 18,boxscore,HOU,,LAA,W,8,3,,6-4,1,up 0.5,Garcia,Lorenzen,,3:22,N,42646,1.09,+,
11,Tuesday Apr 19,boxscore,HOU,,LAA,L,2,7,,6-5,3,0.5,Ortega,Valdez,,3:36,N,30212,1.15,-,
12,Wednesday Apr 20,boxscore,HOU,,LAA,L,0,6,,6-6,4,1.5,Ohtani,Odorizzi,,3:08,N,29049,1.05,--,
13,Friday Apr 22,boxscore,HOU,,TOR,L,3,4,,6-7,4,1.5,Mayza,Neris,Romano,2:53,N,36757,1.01,---,
14,Saturday Apr 23,boxscore,HOU,,TOR,L,2,3,,6-8,4,2.5,Manoah,Taylor,Cimber,2:54,D,36075,.96,----,
15,Sunday Apr 24,boxscore,HOU,,TOR,W-wo,8,7,10,7-8,4,2.5,Taylor,Romano,,3:45,D,39534,.93,+,
16,Monday Apr 25,boxscore,HOU,@,TEX,L,2,6,,7-9,4,3.0,Moore,Maton,,3:14,N,17420,.96,-,
17,Tuesday Apr 26,boxscore,HOU,@,TEX,W,5,1,,8-9,4,3.0,Odorizzi,Hearn,,3:02,N,16469,.92,+,
18,Wednesday Apr 27,boxscore,HOU,@,TEX,W,4,3,,9-9,4,2.5,Javier,Martin,Stanek,3:17,N,20399,.93,++,
19,Thursday Apr 28,boxscore,HOU,@,TEX,W,3,2,,10-9,3,2.5,Verlander,Bush,Montero,2:37,D,19484,1.00,+++,
20,Friday Apr 29,boxscore,HOU,@,TOR,W,11,7,,11-9,2,2.5,Urquidy,Thornton,,3:42,N,35066,1.04,++++,
21,Saturday Apr 30,boxscore,HOU,@,TOR,L,1,2,,11-10,2,2.5,Berríos,Garcia,Romano,2:43,D,40732,1.11,-,
22,Sunday May 1,boxscore,HOU,@,TOR,L,2,3,,11-11,3,3.5,Gausman,Valdez,Romano,2:52,D,31802,1.07,--,
23,Monday May 2,boxscore,HOU,,SEA,W,3,0,,12-11,2,2.5,Odorizzi,Gonzales,Montero,2:48,N,27321,1.09,+,
24,Tuesday May 3,boxscore,HOU,,SEA,W,4,0,,13-11,2,1.5,Javier,Flexen,,3:12,N,23796,1.14,++,
25,Wednesday May 4,boxscore,HOU,,SEA,W,7,2,,14-11,2,1.5,Verlander,Brash,,3:01,D,24110,1.19,+++,
26,Thursday May 5,boxscore,HOU,,DET,W-wo,3,2,,15-11,2,1.5,Pressly,Soto,,2:55,N,24116,1.11,++++,
27,Friday May 6,boxscore,HOU,,DET,W,3,2,,16-11,2,1.5,Garcia,Brieske,Montero,3:06,N,38020,1.12,+++++,
28,Saturday May 7,boxscore,HOU,,DET,W,3,2,,17-11,2,0.5,Abreu,Fulmer,Pressly,3:01,D,34109,1.13,++++++,
29,Sunday May 8,boxscore,HOU,,DET,W,5,0,,18-11,2,0.5,Odorizzi,Hutchison,,2:44,D,36934,1.15,+++++++,
30,Tuesday May 10,boxscore,HOU,@,MIN,W,5,0,,19-11,2,1.0,Verlander,Ryan,,3:10,N,16156,1.25,++++++++,
31,Wednesday May 11,boxscore,HOU,@,MIN,W,11,3,,20-11,1,Tied,Abreu,Archer,,3:33,D,,1.28,+++++++++,
32,Thursday May 12,boxscore,HOU,@,MIN,W,5,0,,21-11,1,up 0.5,Garcia,Winder,,3:20,D,16918,1.29,++++++++++,
33,Friday May 13,boxscore,HOU,@,WSN,W,6,1,,22-11,1,up 0.5,Valdez,Gray,,2:45,N,18433,1.14,+++++++++++,
34,Saturday May 14,boxscore,HOU,@,WSN,L,6,13,,22-12,1,Tied,Rogers,Javier,,3:27,N,22949,1.17,-,
35,Sunday May 15,boxscore,HOU,@,WSN,W,8,0,,23-12,1,Tied,Verlander,Corbin,,3:07,D,25915,1.17,+,
36,Monday May 16,boxscore,HOU,@,BOS,L,3,6,,23-13,1,Tied,Strahm,Neris,Robles,3:07,N,29706,1.20,-,
37,Tuesday May 17,boxscore,HOU,@,BOS,W,13,4,,24-13,1,up 1.0,Urquidy,Eovaldi,,3:12,N,27328,1.21,+,
38,Wednesday May 18,boxscore,HOU,@,BOS,L,1,5,,24-14,1,up 1.0,Pivetta,Garcia,,2:38,N,31717,1.23,-,
39,Thursday May 19,boxscore,HOU,,TEX,W,5,1,,25-14,1,up 1.5,Valdez,Otto,,3:10,N,34593,1.34,+,
40,Friday May 20,boxscore,HOU,,TEX,L,0,3,,25-15,1,up 1.5,Pérez,Javier,,2:57,N,35294,1.27,-,
