Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,MIA,@,SFG,L-wo,5,6,10,0-1,4,1.5,Alvarez,Bass,,3:26,D,40853,.96,-,
2,Saturday Apr 9,boxscore,MIA,@,SFG,W,2,1,,1-1,4,1.5,Okert,McGee,Bender,2:57,D,38885,.91,+,
3,Sunday Apr 10,boxscore,MIA,@,SFG,L,2,3,,1-2,4,1.5,García,Rogers,Leone,2:43,D,37332,.94,-,
4,Monday Apr 11,boxscore,MIA,@,LAA,L,2,6,,1-3,5,2.0,Lorenzen,Hernandez,,2:42,N,20480,.85,--,
5,Tuesday Apr 12,boxscore,MIA,@,LAA,L-wo,3,4,,1-4,5,2.5,Iglesias,Bender,,2:59,D,16132,.81,---,
6,Thursday Apr 14,boxscore,MIA,,PHI,W,4,3,,2-4,3,2.5,Alcantara,Gibson,Bender,3:23,N,31184,.87,+,
7,Friday Apr 15,boxscore,MIA,,PHI,W,7,1,,3-4,2,2.5,López,Eflin,,3:15,N,11990,.93,++,
8,Saturday Apr 16,boxscore,MIA,,PHI,L,3,10,,3-5,4,2.5,Suárez,Rogers,,3:23,N,13412,.96,-,
9,Sunday Apr 17,boxscore,MIA,,PHI,W,11,3,,4-5,2,2.5,Hernandez,Wheeler,,3:32,D,11476,.93,+,
10,Tuesday Apr 19,boxscore,MIA,,STL,L,1,5,,4-6,4,4.0,Wainwright,Luzardo,,3:04,N,8475,.88,-,
11,Wednesday Apr 20,boxscore,MIA,,STL,L,0,2,,4-7,4,4.0,Cabrera,Bender,Gallegos,3:03,N,8655,.83,--,
12,Thursday Apr 21,boxscore,MIA,,STL,W,5,0,,5-7,2,4.0,López,Hicks,,2:43,N,9670,.80,+,
13,Friday Apr 22,boxscore,MIA,@,ATL,L,0,3,,5-8,4,5.0,Wright,Rogers,Jansen,3:04,N,40402,.86,-,
14,Saturday Apr 23,boxscore,MIA,@,ATL,W,9,7,,6-8,2,4.0,Okert,Strider,Scott,3:44,N,41931,.79,+,
15,Sunday Apr 24,boxscore,MIA,@,ATL,W,5,4,,7-8,2,4.0,Luzardo,Elder,Head,3:42,D,38440,.87,++,
16,Tuesday Apr 26,boxscore,MIA,@,WSN,W,5,2,,8-8,2,4.5,Alcantara,Gray,Bender,3:13,N,12613,.93,+++,
17,Wednesday Apr 27,boxscore,MIA,@,WSN,W,2,1,,9-8,2,3.5,López,Fedde,Bender,3:20,N,13356,.94,++++,
18,Thursday Apr 28,boxscore,MIA,@,WSN,W,3,2,,10-8,2,3.0,Rogers,Corbin,Sulser,2:46,D,12454,.99,+++++,
19,Friday Apr 29,boxscore,MIA,,SEA,W,8,6,,11-8,2,3.0,Hernandez,Brash,Bender,3:06,N,9963,.98,++++++,
20,Saturday Apr 30,boxscore,MIA,,SEA,W,3,1,,12-8,2,2.0,Luzardo,Ray,Bender,2:46,N,29010,1.01,+++++++,
21,Sunday May 1,boxscore,MIA,,SEA,L,3,7,,12-9,2,3.0,Gilbert,Alcantara,,3:22,D,16741,1.07,-,
22,Monday May 2,boxscore,MIA,,ARI,L,4,5,,12-10,2,3.0,Gallen,López,Kennedy,3:27,N,6224,1.06,--,
23,Tuesday May 3,boxscore,MIA,,ARI,L,4,5,,12-11,2,4.5,Castellanos,Rogers,Mantiply,3:24,N,6263,1.01,---,
24,Wednesday May 4,boxscore,MIA,,ARI,L,7,8,,12-12,2,4.5,Middleton,Bender,Kennedy,3:25,D,7356,.99,----,
25,Thursday May 5,boxscore,MIA,@,SDP,L,1,2,,12-13,2,5.5,Martinez,Luzardo,Rogers,2:50,N,31034,.94,-----,
26,Friday May 6,boxscore,MIA,@,SDP,L,2,3,,12-14,2,6.0,Darvish,Alcantara,Wilson,3:19,N,37585,.90,------,
27,Saturday May 7,boxscore,MIA,@,SDP,W,8,0,,13-14,2,5.5,López,Manaea,,2:54,N,34709,.84,+,
28,Sunday May 8,boxscore,MIA,@,SDP,L-wo,2,3,,13-15,2,6.0,Suarez,Sulser,,3:07,D,37937,.87,-,
29,Monday May 9,boxscore,MIA,@,ARI,L,3,4,,13-16,3,6.5,Nelson,Hernandez,Melancon,2:50,N,11571,.86,--,
30,Tuesday May 10,boxscore,MIA,@,ARI,L,3,9,,13-17,3,7.5,Bumgarner,Luzardo,,3:17,N,8855,.80,---,
31,Wednesday May 11,boxscore,MIA,@,ARI,W,11,3,,14-17,3,6.5,Bass,Melancon,,2:58,D,9058,.75,+,
32,Friday May 13,boxscore,MIA,,MIL,L,1,2,,14-18,4,7.0,Williams,Scott,Hader,2:53,N,9110,.80,-,
33,Saturday May 14,boxscore,MIA,,MIL,W,9,3,,15-18,4,7.0,Rogers,Lauer,,3:30,N,12941,.76,+,
34,Sunday May 15,boxscore,MIA,,MIL,L,3,7,,15-19,4,7.0,Woodruff,Hernandez,Ashby,3:33,D,11729,.83,-,
35,Monday May 16,boxscore,MIA,,WSN,W,8,2,,16-19,3,6.5,Alcantara,Sanchez,,3:01,N,6601,.72,+,
36,Tuesday May 17,boxscore,MIA,,WSN,W,5,1,,17-19,2,6.0,Bender,Adon,,3:28,N,8097,.77,++,
37,Wednesday May 18,boxscore,MIA,,WSN,L,4,5,10,17-20,3,7.0,Rainey,Castano,Arano,3:56,N,7566,.82,-,
38,Friday May 20,boxscore,MIA,,ATL,L,3,5,,17-21,4,8.0,Morton,Rogers,Smith,3:32,N,9776,.79,--,
39,Saturday May 21,boxscore,MIA,,ATL,L,3,4,,17-22,4,8.5,Wright,Hernandez,Jansen,3:28,N,13264,.70,---,
40,Sunday May 22,boxscore,MIA,,ATL,W,4,3,,18-22,4,8.5,Alcantara,Anderson,,2:42,D,17908,.65,+,
41,Tuesday May 24,boxscore,MIA,@,TBR,L,0,4,,18-23,4,9.0,McClanahan,López,,2:26,N,9006,.63,-,
42,Wednesday May 25,boxscore,MIA,@,TBR,L,4,5,,18-24,4,9.0,Rasmussen,Poteet,Poche,3:05,N,7520,.60,--,
43,Friday May 27,boxscore,MIA,@,ATL,L,4,6,,18-25,4,10.0,Stephens,Bass,Jansen,3:02,N,40064,.62,---,
44,Saturday May 28,boxscore,MIA,@,ATL,W,4,1,,19-25,4,10.0,Alcantara,Davidson,Sulser,2:48,D,40682,.55,+,
45,Sunday May 29,boxscore,MIA,@,ATL,L,3,6,,19-26,4,11.0,Fried,Hernandez,Jansen,3:09,D,39669,.62,-,
46,Monday May 30,boxscore,MIA,@,COL,L,1,7,,19-27,4,12.0,Feltner,Sulser,,2:56,D,40275,.53,--,
47,Wednesday Jun 1 (1),boxscore,MIA,@,COL,W,14,1,,20-27,4,13.0,Cabrera,Senzatela,,3:00,D,,.47,+,
48,Wednesday Jun 1 (2),boxscore,MIA,@,COL,L-wo,12,13,10,20-28,4,13.0,Bard,Sulser,,4:14,D,22719,.54,-,
49,Thursday Jun 2,boxscore,MIA,,SFG,W,3,0,,21-28,3,12.0,Alcantara,Wood,Scott,2:34,N,8202,.48,+,
50,Friday Jun 3,boxscore,MIA,,SFG,L,6,15,,21-29,4,12.0,Littell,Bleier,,3:10,N,6512,.53,-,
51,Saturday Jun 4,boxscore,MIA,,SFG,W-wo,5,4,,22-29,4,12.0,Scott,Rogers,,2:54,D,7515,.47,+,
52,Sunday Jun 5,boxscore,MIA,,SFG,L,1,5,,22-30,4,13.0,Junis,Garrett,,3:10,D,9641,.49,-,
53,Tuesday Jun 7,boxscore,MIA,,WSN,W,12,2,,23-30,4,12.5,Cabrera,Adon,,2:57,N,7112,.38,+,
54,Wednesday Jun 8,boxscore,MIA,,WSN,W-wo,2,1,10,24-30,4,11.5,Scott,Rainey,,3:29,N,7193,.42,++,
55,Thursday Jun 9,boxscore,MIA,,WSN,W,7,4,,25-30,4,11.0,Rogers,Strasburg,Scott,3:09,N,9108,.50,+++,
56,Friday Jun 10,boxscore,MIA,@,HOU,W,7,4,,26-30,4,11.0,Sulser,Garcia,Scott,3:49,N,34163,.54,++++,
57,Saturday Jun 11,boxscore,MIA,@,HOU,W,5,1,,27-30,4,10.0,Garrett,Valdez,,3:12,D,31379,.58,+++++,
58,Sunday Jun 12,boxscore,MIA,@,HOU,L,4,9,,27-31,4,11.0,Verlander,Cabrera,,3:21,D,29341,.64,-,
59,Monday Jun 13,boxscore,MIA,@,PHI,L-wo,2,3,,27-32,4,11.5,Domínguez,Bass,,2:59,N,22701,.62,--,
60,Tuesday Jun 14,boxscore,MIA,@,PHI,W,11,9,,28-32,4,11.5,Okert,Knebel,Scott,3:54,N,28073,.56,+,
61,Wednesday Jun 15,boxscore,MIA,@,PHI,L-wo,1,3,,28-33,4,11.5,Brogdon,Scott,,3:12,D,24726,.60,-,
62,Friday Jun 17,boxscore,MIA,@,NYM,L,4,10,,28-34,4,13.0,Carrasco,López,,3:23,N,36111,.54,--,
