Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,SDP,@,ARI,L-wo,2,4,,0-1,5,1.0,Mantiply,Suarez,,3:18,N,35508,.98,-,
2,Friday Apr 8,boxscore,SDP,@,ARI,W,3,0,,1-1,3,0.5,Manaea,Pérez,Rogers,2:44,N,17297,.93,+,
3,Saturday Apr 9,boxscore,SDP,@,ARI,W,5,2,,2-1,1,up 0.5,Wilson,Kennedy,Rogers,2:52,N,19504,1.01,++,
4,Sunday Apr 10,boxscore,SDP,@,ARI,W,10,5,,3-1,1,up 0.5,Adams,Smith,,3:15,D,19089,1.09,+++,
5,Monday Apr 11,boxscore,SDP,@,SFG,W,4,2,,4-1,1,up 0.5,Wilson,Rogers,Rogers,3:30,N,23279,1.15,++++,
6,Tuesday Apr 12,boxscore,SDP,@,SFG,L,2,13,,4-2,2,0.5,Cobb,Darvish,,3:13,N,25560,1.13,-,
7,Wednesday Apr 13,boxscore,SDP,@,SFG,L,1,2,,4-3,3,1.0,Webb,Manaea,Doval,2:11,D,27197,1.12,--,
8,Thursday Apr 14,boxscore,SDP,,ATL,W,12,1,,5-3,1,Tied,Musgrove,Morton,,3:07,N,44844,.99,+,
9,Friday Apr 15,boxscore,SDP,,ATL,L,2,5,,5-4,4,1.0,O'Day,Johnson,Jansen,3:22,N,41993,.98,-,
10,Saturday Apr 16,boxscore,SDP,,ATL,L,2,5,,5-5,4,2.0,Anderson,Martinez,Jansen,2:57,D,36924,.98,--,
11,Sunday Apr 17,boxscore,SDP,,ATL,W,2,1,,6-5,4,2.0,Darvish,Elder,Rogers,2:54,D,37694,.94,+,
12,Monday Apr 18,boxscore,SDP,,CIN,W,4,1,,7-5,4,2.0,Manaea,Lodolo,Rogers,2:50,N,31121,.94,++,
13,Tuesday Apr 19,boxscore,SDP,,CIN,W,6,2,,8-5,3,1.0,Musgrove,Sanmartin,,2:41,N,31313,.96,+++,
14,Wednesday Apr 20,boxscore,SDP,,CIN,W,6,0,,9-5,2,1.0,Gore,Gutiérrez,,2:56,D,25359,1.01,++++,
15,Friday Apr 22,boxscore,SDP,,LAD,L,1,6,,9-6,4,2.0,Urías,Martinez,,3:25,N,44482,1.14,-,
16,Saturday Apr 23,boxscore,SDP,,LAD,W-wo,3,2,10,10-6,3,1.0,Suarez,Bruihl,,3:27,N,44444,1.13,+,
17,Sunday Apr 24,boxscore,SDP,,LAD,L,2,10,,10-7,4,2.0,Kershaw,Manaea,,3:02,D,44930,1.16,-,
18,Tuesday Apr 26,boxscore,SDP,@,CIN,W,9,6,,11-7,3,2.0,Musgrove,Sanmartin,,3:11,N,10056,.97,+,
19,Wednesday Apr 27,boxscore,SDP,@,CIN,W,8,5,,12-7,3,1.0,Gore,Gutiérrez,Rogers,3:28,N,9192,1.04,++,
20,Thursday Apr 28,boxscore,SDP,@,CIN,W,7,5,,13-7,2,0.5,Martinez,Mahle,Rogers,3:35,D,10449,1.07,+++,
21,Friday Apr 29,boxscore,SDP,@,PIT,W,7,3,,14-7,1,Tied,Darvish,Thompson,Rogers,3:19,N,9755,1.11,++++,
22,Saturday Apr 30,boxscore,SDP,@,PIT,L-wo,6,7,10,14-8,2,0.5,Stratton,García,,3:07,N,20483,1.10,-,
23,Sunday May 1,boxscore,SDP,@,PIT,W,5,2,,15-8,1,Tied,Musgrove,Keller,Rogers,3:02,D,8350,1.13,+,
24,Wednesday May 4 (1),boxscore,SDP,@,CLE,W,5,4,,16-8,2,1.0,Crismatt,Plesac,Rogers,3:15,D,,1.09,++,
25,Wednesday May 4 (2),boxscore,SDP,@,CLE,L-wo,5,6,10,16-9,2,1.0,Sandlin,Lamet,,3:46,D,10244,1.10,-,
26,Thursday May 5,boxscore,SDP,,MIA,W,2,1,,17-9,2,0.5,Martinez,Luzardo,Rogers,2:50,N,31034,1.14,+,
27,Friday May 6,boxscore,SDP,,MIA,W,3,2,,18-9,1,Tied,Darvish,Alcantara,Wilson,3:19,N,37585,1.15,++,
28,Saturday May 7,boxscore,SDP,,MIA,L,0,8,,18-10,2,1.5,López,Manaea,,2:54,N,34709,1.16,-,
29,Sunday May 8,boxscore,SDP,,MIA,W-wo,3,2,,19-10,2,1.5,Suarez,Sulser,,3:07,D,37937,1.13,+,
30,Monday May 9,boxscore,SDP,,CHC,L,0,6,,19-11,2,1.5,Hendricks,Gore,,2:59,N,41595,1.17,-,
31,Tuesday May 10,boxscore,SDP,,CHC,W,5,4,,20-11,2,1.5,Wilson,Gsellman,Rogers,3:08,N,31047,1.12,+,
32,Wednesday May 11,boxscore,SDP,,CHC,L,5,7,,20-12,2,1.5,Givens,García,Wick,3:26,D,29344,1.12,-,
33,Friday May 13,boxscore,SDP,@,ATL,W,11,6,,21-12,1,Tied,García,Smith,Rogers,3:42,N,40635,1.12,+,
34,Saturday May 14,boxscore,SDP,@,ATL,L,5,6,,21-13,1,Tied,Jansen,Wilson,,2:55,D,40490,1.16,-,
35,Sunday May 15,boxscore,SDP,@,ATL,W,7,3,11,22-13,1,Tied,Crismatt,Stephens,,3:33,D,40114,1.18,+,
36,Tuesday May 17,boxscore,SDP,@,PHI,W,3,0,,23-13,2,1.0,Clevinger,Eflin,Rogers,2:53,N,29200,1.20,++,
37,Wednesday May 18,boxscore,SDP,@,PHI,L,0,3,,23-14,2,2.0,Wheeler,Snell,Knebel,2:44,N,27655,1.16,-,
38,Thursday May 19,boxscore,SDP,@,PHI,W,2,0,,24-14,2,1.5,Darvish,Gibson,Rogers,3:31,D,30146,1.18,+,
39,Friday May 20,boxscore,SDP,@,SFG,W,8,7,10,25-14,2,1.5,García,Doval,Suarez,3:23,N,31359,1.29,++,
40,Saturday May 21,boxscore,SDP,@,SFG,W,2,1,,26-14,2,1.5,Musgrove,Rodón,Rogers,3:05,D,38916,1.26,+++,
