Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,STL,,PIT,W,9,0,,1-0,1,Tied,Wainwright,Brubaker,,3:08,D,46256,.96,+,
2,Saturday Apr 9,boxscore,STL,,PIT,W,6,2,,2-0,1,Tied,Whitley,Keller,,3:32,D,45025,1.04,++,
3,Sunday Apr 10,boxscore,STL,,PIT,L,4,9,,2-1,1,Tied,Yajure,Matz,,3:08,D,40027,1.07,-,
4,Tuesday Apr 12,boxscore,STL,,KCR,W,6,5,,3-1,1,Tied,Hicks,Lynch,Gallegos,2:36,N,40398,.93,+,
5,Thursday Apr 14,boxscore,STL,@,MIL,L,1,5,,3-2,2,0.5,Woodruff,Wainwright,,3:04,D,42794,1.10,-,
6,Friday Apr 15,boxscore,STL,@,MIL,W,10,1,,4-2,1,up 0.5,Mikolas,Peralta,,3:10,N,26874,1.01,+,
7,Saturday Apr 16,boxscore,STL,@,MIL,W,2,1,,5-2,1,up 1.5,Matz,Houser,Gallegos,2:55,N,26356,1.08,++,
8,Sunday Apr 17,boxscore,STL,@,MIL,L,5,6,,5-3,1,up 0.5,Cousins,Hudson,Hader,3:51,D,23001,1.09,-,
9,Tuesday Apr 19,boxscore,STL,@,MIA,W,5,1,,6-3,1,up 0.5,Wainwright,Luzardo,,3:04,N,8475,1.06,+,
10,Wednesday Apr 20,boxscore,STL,@,MIA,W,2,0,,7-3,1,up 0.5,Cabrera,Bender,Gallegos,3:03,N,8655,1.09,++,
11,Thursday Apr 21,boxscore,STL,@,MIA,L,0,5,,7-4,1,Tied,López,Hicks,,2:43,N,9670,1.07,-,
12,Friday Apr 22,boxscore,STL,@,CIN,W,4,2,,8-4,1,up 1.0,Matz,Greene,Gallegos,3:19,N,20470,1.12,+,
13,Saturday Apr 23,boxscore,STL,@,CIN,W,5,0,,9-4,1,up 1.0,Hudson,Mahle,,3:13,D,28598,1.11,++,
14,Sunday Apr 24,boxscore,STL,@,CIN,L,1,4,,9-5,1,Tied,Lodolo,Wainwright,Sims,2:47,D,23124,1.15,-,
15,Monday Apr 25,boxscore,STL,,NYM,L,2,5,,9-6,1,Tied,May,Gallegos,Díaz,3:00,N,35455,1.15,--,
16,Tuesday Apr 26,boxscore,STL,,NYM,L,0,3,,9-7,2,1.0,Bassitt,Hicks,Díaz,3:32,N,32215,1.10,---,
17,Wednesday Apr 27,boxscore,STL,,NYM,W,10,5,,10-7,2,1.0,Woodford,Carrasco,,3:29,D,34822,1.07,+,
18,Thursday Apr 28,boxscore,STL,,ARI,W,8,3,,11-7,2,1.0,Hudson,Castellanos,,3:01,N,33464,1.05,++,
19,Friday Apr 29,boxscore,STL,,ARI,L,2,6,,11-8,2,2.0,Bumgarner,Wainwright,,3:24,N,40753,1.10,-,
20,Saturday Apr 30,boxscore,STL,,ARI,L,0,2,,11-9,2,3.0,Kelly,Mikolas,Kennedy,2:38,D,40144,1.08,--,
21,Sunday May 1,boxscore,STL,,ARI,W,7,5,,12-9,2,2.0,Whitley,Middleton,Helsley,3:14,D,45123,1.01,+,
22,Monday May 2,boxscore,STL,,KCR,W,1,0,,13-9,2,1.5,Matz,Greinke,Gallegos,2:40,D,33963,1.01,++,
23,Tuesday May 3,boxscore,STL,@,KCR,L,1,7,,13-10,2,2.5,Keller,Hudson,,2:47,N,18788,1.05,-,
24,Wednesday May 4,boxscore,STL,@,KCR,W,10,0,,14-10,2,2.5,Wainwright,Bubic,,3:02,D,12774,1.01,+,
25,Thursday May 5,boxscore,STL,@,SFG,W,7,1,,15-10,2,2.5,Mikolas,Littell,,3:01,N,22562,1.10,++,
26,Friday May 6,boxscore,STL,@,SFG,W,3,2,,16-10,2,2.5,Helsley,Doval,Gallegos,2:52,N,28898,1.12,+++,
27,Saturday May 7,boxscore,STL,@,SFG,L,7,13,,16-11,2,2.5,Webb,Matz,,3:22,D,40113,1.15,-,
28,Sunday May 8,boxscore,STL,@,SFG,L,3,4,,16-12,2,2.5,Leone,Cabrera,Doval,3:08,D,38193,1.14,--,
29,Tuesday May 10,boxscore,STL,,BAL,L,3,5,,16-13,2,3.0,Bradish,Naughton,Bautista,2:53,N,33649,1.06,---,
30,Wednesday May 11,boxscore,STL,,BAL,W,10,1,,17-13,2,2.0,Mikolas,Watkins,,2:58,N,34533,1.02,+,
31,Thursday May 12,boxscore,STL,,BAL,L,2,3,,17-14,2,2.5,Akin,Matz,Bautista,3:05,D,35198,1.07,-,
32,Friday May 13,boxscore,STL,,SFG,L,2,8,,17-15,2,3.5,Webb,Hicks,,3:06,N,39612,1.08,--,
33,Saturday May 14,boxscore,STL,,SFG,W,4,0,,18-15,2,2.5,Hudson,Junis,,3:05,D,44537,1.07,+,
34,Sunday May 15,boxscore,STL,,SFG,W,15,6,,19-15,2,2.5,Wainwright,Rodón,,3:05,N,39703,1.10,++,
35,Tuesday May 17 (1),boxscore,STL,@,NYM,L,1,3,,19-16,2,2.5,Reed,Mikolas,Díaz,2:54,D,,1.18,-,
36,Tuesday May 17 (2),boxscore,STL,@,NYM,W,4,3,,20-16,2,2.5,Helsley,Rodríguez,Gallegos,3:42,D,27457,1.18,+,
37,Wednesday May 18,boxscore,STL,@,NYM,L,4,11,,20-17,2,3.5,Scherzer,Walsh,,3:29,N,32798,1.17,-,
38,Thursday May 19,boxscore,STL,@,NYM,L-wo,6,7,10,20-18,2,4.0,Holderman,Gallegos,,3:41,D,28801,1.15,--,
39,Friday May 20,boxscore,STL,@,PIT,W,5,3,,21-18,2,4.0,Wainwright,Thompson,Gallegos,3:38,N,14034,1.08,+,
40,Saturday May 21,boxscore,STL,@,PIT,W,5,4,,22-18,2,4.0,VerHagen,Quintana,Helsley,3:19,N,24644,1.14,++,
41,Sunday May 22,boxscore,STL,@,PIT,W,18,4,,23-18,2,3.0,Rondón,Wilson,,3:19,D,13510,1.14,+++,
42,Monday May 23,boxscore,STL,,TOR,W-wo,7,3,10,24-18,2,2.0,Cabrera,Phelps,,3:21,N,36033,1.12,++++,
43,Tuesday May 24,boxscore,STL,,TOR,L,1,8,,24-19,2,3.0,Gausman,Hicks,,3:30,N,33797,1.14,-,
44,Thursday May 26,boxscore,STL,,MIL,L,3,4,,24-20,2,4.5,Lauer,Wainwright,Hader,3:21,N,35107,1.32,--,
45,Friday May 27,boxscore,STL,,MIL,W,4,2,,25-20,2,3.5,VerHagen,Woodruff,Helsley,2:54,N,39077,1.30,+,
46,Saturday May 28,boxscore,STL,,MIL,W,8,3,,26-20,2,2.5,Liberatore,Houser,,2:45,D,45594,1.32,++,
47,Sunday May 29,boxscore,STL,,MIL,L,0,8,,26-21,2,3.5,Burnes,Mikolas,,2:48,D,44169,1.34,-,
48,Monday May 30,boxscore,STL,,SDP,W,6,3,,27-21,2,4.0,Pallante,Martinez,,3:33,D,42140,1.11,+,
49,Tuesday May 31,boxscore,STL,,SDP,W-wo,3,2,10,28-21,2,3.0,VerHagen,Rogers,,3:37,N,33418,1.16,++,
50,Wednesday Jun 1,boxscore,STL,,SDP,W,5,2,,29-21,2,2.0,Hudson,Darvish,Wittgren,2:43,D,34268,1.21,+++,
51,Thursday Jun 2,boxscore,STL,@,CHC,L,5,7,,29-22,2,3.0,Thompson,Liberatore,,3:04,N,30466,1.17,-,
52,Friday Jun 3,boxscore,STL,@,CHC,W,14,5,,30-22,2,2.0,Mikolas,Stroman,Thompson,3:14,D,32482,1.21,+,
53,Saturday Jun 4 (1),boxscore,STL,@,CHC,L,1,6,,30-23,2,1.5,Swarmer,Oviedo,,3:05,D,32792,1.20,-,
54,Saturday Jun 4 (2),boxscore,STL,@,CHC,W,7,4,10,31-23,2,1.5,Gallegos,Rucker,,4:11,N,31673,1.16,+,
55,Sunday Jun 5,boxscore,STL,@,CHC,W,5,3,11,32-23,2,0.5,Cabrera,Norris,,3:44,N,31424,1.19,++,
56,Tuesday Jun 7,boxscore,STL,@,TBR,L-wo,2,4,10,32-24,2,0.5,Poche,VerHagen,,3:13,N,10905,1.18,-,
57,Wednesday Jun 8,boxscore,STL,@,TBR,L,3,11,,32-25,2,0.5,Kluber,Naughton,,3:11,N,12906,1.19,--,
