away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Michael Lorenzen,N,,Top,,Hohokam Stadium,2022-03-18T20:05:00Z,108,2022-03-18,2507,9,Final,Los Angeles Angels,Brent Honeywell Jr.,Chester Pimentel,2022-03-18 - Los Angeles Angels (8) @ Oakland Athletics (10) (Final),S,8,Oakland Athletics,706882,Oakland Athletics,10,1,Aaron Brown,133,Los Angeles Angels,OAK wins Spring,Ryan Smith,['MLB.tv Free Game']
,Dan Straily,N,,Top,,Tempe Diablo Stadium,2022-03-19T20:10:00Z,109,2022-03-19,2500,9,Final,Arizona Diamondbacks,Daniel Ponce de Leon,Daniel Ponce de Leon,2022-03-19 - Arizona Diamondbacks (5) @ Los Angeles Angels (12) (Final),S,5,Los Angeles Angels,706942,Los Angeles Angels,12,1,,108,Arizona Diamondbacks,LAA wins Spring,Dan Straily,"['MLBN', 'MLB.tv Free Game']"
,Reid Detmers,N,,Bottom,,Peoria Stadium,2022-03-20T20:10:00Z,108,2022-03-20,2530,9,Final,Los Angeles Angels,Chris Flexen,Jaime Barria,2022-03-20 - Los Angeles Angels (7) @ Seattle Mariners (3) (Final),S,7,Seattle Mariners,706835,Los Angeles Angels,3,1,,136,Seattle Mariners,LAA wins Spring,Asher Wojciechowski,['MLB.tv Free Game']
,Brady Singer,N,,Bottom,,Tempe Diablo Stadium,2022-03-21T20:10:00Z,118,2022-03-21,2500,9,Final,Kansas City Royals,Shohei Ohtani,Colten Brewer,2022-03-21 - Kansas City Royals (8) @ Los Angeles Angels (5) (Final),S,8,Los Angeles Angels,706941,Kansas City Royals,5,1,Andres Sotillet,108,Los Angeles Angels,KC wins Spring,Brian Moran,['MLB.tv Free Game']
,Kyle Freeland,N,,Top,,Tempe Diablo Stadium,2022-03-22T20:10:00Z,115,2022-03-22,2500,9,Final,Colorado Rockies,Cesar Valdez,Raisel Iglesias,2022-03-22 - Colorado Rockies (4) @ Los Angeles Angels (7) (Final),S,4,Los Angeles Angels,706939,Los Angeles Angels,7,1,Zac Kristofak,108,Colorado Rockies,LAA wins Spring,Kyle Freeland,['MLB.tv Free Game']
,Jose Suarez,N,,Top,,Peoria Stadium,2022-03-23T20:10:00Z,108,2022-03-23,2530,9,Final,Los Angeles Angels,MacKenzie Gore,Craig Stammen,2022-03-23 - Los Angeles Angels (0) @ San Diego Padres (3) (Final),S,0,San Diego Padres,706848,San Diego Padres,3,1,Ray Kerr,135,Los Angeles Angels,SD wins Spring,AJ Ramos,['MLB.tv Free Game']
,Justin Steele,N,,Top,,Tempe Diablo Stadium,2022-03-24T20:10:00Z,112,2022-03-24,2500,9,Final,Chicago Cubs,Michael Lorenzen,Davis Daniel,2022-03-24 - Chicago Cubs (4) @ Los Angeles Angels (5) (Final),S,4,Los Angeles Angels,706940,Los Angeles Angels,5,1,Zack Weiss,108,Chicago Cubs,LAA wins Spring,Jonathan Holder,['MLB.tv Free Game']
,Janson Junk,N,,Top,Tie,Salt River Fields at Talking Stick,2022-03-25T20:10:00Z,108,2022-03-25,4249,9,Final,Los Angeles Angels,Luke Weaver,,2022-03-25 - Los Angeles Angels (5) @ Arizona Diamondbacks (5) (Final),S,5,Arizona Diamondbacks,707048,Tie,5,1,,109,,,,[]
,Cesar Valdez,N,,Bottom,,Camelback Ranch,2022-03-26T20:05:00Z,108,2022-03-26,3809,9,Final,Los Angeles Angels,Vince Velasquez,Cesar Valdez,2022-03-26 - Los Angeles Angels (12) @ Chicago White Sox (3) (Final),S,12,Chicago White Sox,707000,Los Angeles Angels,3,1,,145,Chicago White Sox,LAA wins Spring,Vince Velasquez,[]
,Alex Cobb,N,,Bottom,,Tempe Diablo Stadium,2022-03-27T20:10:00Z,137,2022-03-27,2500,9,Final,San Francisco Giants,Patrick Sandoval,Alex Cobb,2022-03-27 - San Francisco Giants (6) @ Los Angeles Angels (1) (Final),S,6,Los Angeles Angels,706938,San Francisco Giants,1,1,,108,Los Angeles Angels,SF wins Spring,Patrick Sandoval,[]
