away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Tommy Henry,N,,Top,,Salt River Fields at Talking Stick,2022-03-17T20:10:00Z,109,2022-03-17,4249,9,Final,Arizona Diamondbacks,Ty Blach,Brandon Gold,2022-03-17 - Arizona Diamondbacks (3) @ Colorado Rockies (5) (Final),S,3,Colorado Rockies,706975,Colorado Rockies,5,1,Heath Holder,115,Arizona Diamondbacks,COL leads 1-0,Tommy Henry,[]
,Zach Neal,N,,Bottom,,Salt River Fields at Talking Stick,2022-03-18T20:10:00Z,115,2022-03-18,4249,9,Final,Colorado Rockies,Kyle Nelson,Logan Cozart,2022-03-18 - Colorado Rockies (5) @ Arizona Diamondbacks (3) (Final),S,5,Arizona Diamondbacks,707051,Colorado Rockies,3,1,Nick Kennedy,109,Arizona Diamondbacks,COL wins 2-0,Jesus Liranzo,['MLB.tv Free Game']
,Dan Straily,N,,Top,,Tempe Diablo Stadium,2022-03-19T20:10:00Z,109,2022-03-19,2500,9,Final,Arizona Diamondbacks,Daniel Ponce de Leon,Daniel Ponce de Leon,2022-03-19 - Arizona Diamondbacks (5) @ Los Angeles Angels (12) (Final),S,5,Los Angeles Angels,706942,Los Angeles Angels,12,1,,108,Arizona Diamondbacks,LAA wins Spring,Dan Straily,"['MLBN', 'MLB.tv Free Game']"
,Brandon Pfaadt,N,,Bottom,,Surprise Stadium,2022-03-20T20:05:00Z,109,2022-03-20,2603,9,Final,Arizona Diamondbacks,Jackson Kowar,Jace Vines,2022-03-20 - Arizona Diamondbacks (10) @ Kansas City Royals (11) (Final),S,10,Kansas City Royals,706950,Kansas City Royals,11,1,,118,Arizona Diamondbacks,KC wins Spring,Blake Workman,['MLB.tv Free Game']
,George Kirby,N,,Top,,Salt River Fields at Talking Stick,2022-03-21T20:10:00Z,136,2022-03-21,4249,9,Final,Seattle Mariners,Humberto Castellanos,Humberto Castellanos,2022-03-21 - Seattle Mariners (1) @ Arizona Diamondbacks (9) (Final),S,1,Arizona Diamondbacks,707050,Arizona Diamondbacks,9,1,,109,Seattle Mariners,AZ wins Spring,George Kirby,[]
,Kolby Allard,N,,Bottom,,Salt River Fields at Talking Stick,2022-03-22T20:10:00Z,140,2022-03-22,4249,9,Final,Texas Rangers,Madison Bumgarner,Kolby Allard,2022-03-22 - Texas Rangers (4) @ Arizona Diamondbacks (1) (Final),S,4,Arizona Diamondbacks,707049,Texas Rangers,1,1,Ricky Vanasco,109,Arizona Diamondbacks,TEX wins Spring,Madison Bumgarner,[]
,Merrill Kelly,N,,Bottom,,Scottsdale Stadium,2022-03-23T20:05:00Z,109,2022-03-23,2532,9,Final,Arizona Diamondbacks,Logan Webb,Corbin Martin,2022-03-23 - Arizona Diamondbacks (5) @ San Francisco Giants (3) (Final),S,5,San Francisco Giants,706847,Arizona Diamondbacks,3,1,Joe Mantiply,137,San Francisco Giants,AZ wins Spring,Dominic Leone,[]
,Taylor Widener,N,,Bottom,,American Family Fields of Phoenix,2022-03-24T20:10:00Z,109,2022-03-24,2518,9,Final,Arizona Diamondbacks,Brandon Woodruff,Taylor Widener,2022-03-24 - Arizona Diamondbacks (10) @ Milwaukee Brewers (3) (Final),S,10,Milwaukee Brewers,706912,Arizona Diamondbacks,3,1,,158,Milwaukee Brewers,AZ wins Spring,Brandon Woodruff,['MLB.tv Free Game']
,Janson Junk,N,,Top,Tie,Salt River Fields at Talking Stick,2022-03-25T20:10:00Z,108,2022-03-25,4249,9,Final,Los Angeles Angels,Luke Weaver,,2022-03-25 - Los Angeles Angels (5) @ Arizona Diamondbacks (5) (Final),S,5,Arizona Diamondbacks,707048,Tie,5,1,,109,,,,[]
,Tyler Gilbert,N,,Top,,Surprise Stadium,2022-03-27T20:05:00Z,109,2022-03-27,2603,9,Final,Arizona Diamondbacks,A.J. Alexy,A.J. Alexy,2022-03-27 - Arizona Diamondbacks (0) @ Texas Rangers (13) (Final),S,0,Texas Rangers,706808,Texas Rangers,13,1,,140,Arizona Diamondbacks,TEX wins Spring,Tyler Gilbert,[]
,Ryan Rolison,N,,Top,,Salt River Fields at Talking Stick,2022-03-27T20:10:00Z,115,2022-03-27,4249,9,Final,Colorado Rockies,Madison Bumgarner,Mitchell Stumpo,2022-03-27 - Colorado Rockies (2) @ Arizona Diamondbacks (5) (Final),S,2,Arizona Diamondbacks,707117,Arizona Diamondbacks,5,1,Tommy Henry,109,Colorado Rockies,AZ wins Spring,Ryan Rolison,[]
,Clayton Kershaw,N,,Top,,Salt River Fields at Talking Stick,2022-03-28T20:10:00Z,119,2022-03-28,4249,9,Final,Los Angeles Dodgers,Corbin Martin,J.B. Wendelken,2022-03-28 - Los Angeles Dodgers (3) @ Arizona Diamondbacks (5) (Final),S,3,Arizona Diamondbacks,707045,Arizona Diamondbacks,5,1,Drey Jameson,109,Los Angeles Dodgers,AZ wins Spring,Guillermo Zuniga,[]
,Zach Davies,N,,Top,,Sloan Park,2022-03-29T20:05:00Z,109,2022-03-29,4629,9,Final,Arizona Diamondbacks,Justin Steele,Justin Steele,2022-03-29 - Arizona Diamondbacks (2) @ Chicago Cubs (3) (Final),S,2,Chicago Cubs,707005,Chicago Cubs,3,1,Cayne Ueckert,112,Arizona Diamondbacks,CHC wins Spring,Zach Davies,[]
,Zac Gallen,N,,Bottom,,Salt River Fields at Talking Stick,2022-03-30T20:10:00Z,109,2022-03-30,4249,9,Final,Arizona Diamondbacks,German Marquez,Caleb Smith,2022-03-30 - Arizona Diamondbacks (9) @ Colorado Rockies (2) (Final),S,9,Colorado Rockies,706968,Arizona Diamondbacks,2,1,,115,Colorado Rockies,AZ wins Spring,Jordan Sheffield,[]
,Blake Snell,N,,Top,,Salt River Fields at Talking Stick,2022-03-31T20:10:00Z,135,2022-03-31,4249,9,Final,San Diego Padres,Luke Weaver,Luke Weaver,2022-03-31 - San Diego Padres (2) @ Arizona Diamondbacks (8) (Final),S,2,Arizona Diamondbacks,707047,Arizona Diamondbacks,8,1,Humberto Castellanos,109,San Diego Padres,AZ wins Spring,Blake Snell,[]
,Kyle Hendricks,N,,Top,,Salt River Fields at Talking Stick,2022-04-01T20:10:00Z,112,2022-04-01,4249,9,Final,Chicago Cubs,Madison Bumgarner,Madison Bumgarner,2022-04-01 - Chicago Cubs (0) @ Arizona Diamondbacks (6) (Final),S,0,Arizona Diamondbacks,707046,Arizona Diamondbacks,6,1,,109,Chicago Cubs,AZ wins Spring,Kyle Hendricks,[]
,Tyler Gilbert,N,,Top,,Goodyear Ballpark,2022-04-02T01:05:00Z,109,2022-04-01,3834,9,Final,Arizona Diamondbacks,Zach Plesac,Zach Plesac,2022-04-01 - Arizona Diamondbacks (1) @ Cleveland Guardians (5) (Final),S,1,Cleveland Guardians,706982,Cleveland Guardians,5,1,,114,Arizona Diamondbacks,CLE wins Spring,Tyler Gilbert,[]
,Lance Lynn,N,,Top,,Salt River Fields at Talking Stick,2022-04-03T01:10:00Z,145,2022-04-02,4249,9,Final,Chicago White Sox,Merrill Kelly,Merrill Kelly,2022-04-02 - Chicago White Sox (4) @ Arizona Diamondbacks (8) (Final),S,4,Arizona Diamondbacks,707042,Arizona Diamondbacks,8,1,,109,Chicago White Sox,AZ wins Spring,Lance Lynn,[]
