away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Devin Smeltzer,N,,Top,CoolToday Park,2022-03-18T17:05:00Z,142,2022-03-18,5380,9,Final,Minnesota Twins,Bryce Elder,Bryce Elder,2022-03-18 - Minnesota Twins (1) @ Atlanta Braves (3) (Final),S,1,Atlanta Braves,707037,Atlanta Braves,3,1,Jasseel De La Cruz,144,Minnesota Twins,ATL wins Spring,Jovani Moran,[]
,Jackson Stephens,N,,Bottom,Charlotte Sports Park,2022-03-19T17:05:00Z,144,2022-03-19,2534,9,Final: Tied,Atlanta Braves,Phoenix Sanders,,2022-03-19 - Atlanta Braves @ Tampa Bay Rays (Final: Tied),S,4,Tampa Bay Rays,706820,,4,1,,139,,,,['MLB.tv Free Game']
,Kyle Gibson,N,,Top,CoolToday Park,2022-03-20T17:05:00Z,143,2022-03-20,5380,9,Final,Philadelphia Phillies,Kyle Muller,Allan Winans,2022-03-20 - Philadelphia Phillies (1) @ Atlanta Braves (5) (Final),S,1,Atlanta Braves,707040,Atlanta Braves,5,1,,144,Philadelphia Phillies,ATL wins Spring,James Marvel,[]
,Touki Toussaint,N,,Top,JetBlue Park,2022-03-21T17:05:00Z,144,2022-03-21,4309,9,Final,Atlanta Braves,Michael Wacha,Michael Wacha,2022-03-21 - Atlanta Braves (0) @ Boston Red Sox (5) (Final),S,0,Boston Red Sox,707022,Boston Red Sox,5,1,,111,Atlanta Braves,BOS wins Spring,Touki Toussaint,[]
,Max Fried,N,,Bottom,Hammond Stadium,2022-03-22T17:05:00Z,144,2022-03-22,2862,9,Final,Atlanta Braves,Joe Ryan,Huascar Ynoa,2022-03-22 - Atlanta Braves (4) @ Minnesota Twins (0) (Final),S,4,Minnesota Twins,706906,Atlanta Braves,0,1,,142,Minnesota Twins,ATL wins Spring,Cole Sands,['MLB.tv Free Game']
,Shane McClanahan,N,,Bottom,CoolToday Park,2022-03-23T17:05:00Z,139,2022-03-23,5380,9,Final: Tied,Tampa Bay Rays,Kyle Wright,,2022-03-23 - Tampa Bay Rays @ Atlanta Braves (Final: Tied),S,7,Atlanta Braves,707039,,7,1,,144,,,,['MLB.tv Free Game']
,Dylan Lee,N,,,TD Ballpark,2022-03-24T17:07:00Z,144,2022-03-24,2536,,Postponed,Atlanta Braves,Kevin Gausman,,2022-03-24 - Atlanta Braves @ Toronto Blue Jays (Postponed),S,0,Toronto Blue Jays,706798,,0,1,,141,,,,[]
,Tanner Houck,N,,Top,CoolToday Park,2022-03-25T17:05:00Z,111,2022-03-25,5380,9,Final,Boston Red Sox,Ian Anderson,Ian Anderson,2022-03-25 - Boston Red Sox (3) @ Atlanta Braves (6) (Final),S,3,Atlanta Braves,707038,Atlanta Braves,6,1,Nolan Kingham,144,Boston Red Sox,ATL wins Spring,Tanner Houck,[]
,Chi Chi Gonzalez,N,,Top,CoolToday Park,2022-03-26T17:05:00Z,142,2022-03-26,5380,9,Final,Minnesota Twins,Tucker Davidson,Brad Brach,2022-03-26 - Minnesota Twins (6) @ Atlanta Braves (8) (Final),S,6,Atlanta Braves,707036,Atlanta Braves,8,1,Jake Higginbotham,144,Minnesota Twins,ATL wins Spring,Steven Cruz,[]
,Charlie Morton,N,,Top,Charlotte Sports Park,2022-03-27T17:05:00Z,144,2022-03-27,2534,9,Final,Atlanta Braves,Ryan Yarbrough,Jeffrey Springs,2022-03-27 - Atlanta Braves (1) @ Tampa Bay Rays (4) (Final),S,1,Tampa Bay Rays,706816,Tampa Bay Rays,4,1,Colin Poche,139,Atlanta Braves,TB wins Spring,Trey Riley,[]
,Shaun Anderson,N,,Top,CoolToday Park,2022-03-28T17:05:00Z,141,2022-03-28,5380,9,Final,Toronto Blue Jays,Spencer Strider,Spencer Strider,2022-03-28 - Toronto Blue Jays (4) @ Atlanta Braves (5) (Final),S,4,Atlanta Braves,707032,Atlanta Braves,5,1,Connor Johnstone,144,Toronto Blue Jays,ATL wins Spring,Shaun Anderson,[]
,Ian Anderson,N,,Top,JetBlue Park,2022-03-30T17:05:00Z,144,2022-03-30,4309,9,Final,Atlanta Braves,Tanner Houck,Tanner Houck,2022-03-30 - Atlanta Braves (7) @ Boston Red Sox (10) (Final),S,7,Boston Red Sox,707014,Boston Red Sox,10,1,Matt Strahm,111,Atlanta Braves,BOS wins Spring,Ian Anderson,[]
,Luis Patino,N,,Bottom,CoolToday Park,2022-03-31T17:05:00Z,139,2022-03-31,5380,9,Final,Tampa Bay Rays,Kyle Muller,Luis Patino,2022-03-31 - Tampa Bay Rays (5) @ Atlanta Braves (1) (Final),S,5,Atlanta Braves,707035,Tampa Bay Rays,1,1,,144,Atlanta Braves,TB wins Spring,Kyle Muller,[]
,Max Fried,N,,Top,Hammond Stadium,2022-04-01T17:05:00Z,144,2022-04-01,2862,9,Final,Atlanta Braves,Chris Archer,Joe Smith,2022-04-01 - Atlanta Braves (7) @ Minnesota Twins (8) (Final),S,7,Minnesota Twins,706901,Minnesota Twins,8,1,Osiris German,142,Atlanta Braves,MIN wins Spring,Max Fried,[]
,Spencer Strider,N,,Top,George M. Steinbrenner Field,2022-04-02T17:05:00Z,144,2022-04-02,2523,6,Completed Early: Rain,Atlanta Braves,Luis Severino,,2022-04-02 - Atlanta Braves @ New York Yankees (Completed Early: Rain),S,0,New York Yankees,706885,,10,1,,147,,NYY wins Spring,,[]
,Nick Pivetta,N,,Bottom,CoolToday Park,2022-04-03T17:05:00Z,111,2022-04-03,5380,9,Final,Boston Red Sox,Huascar Ynoa,Nick Pivetta,2022-04-03 - Boston Red Sox (6) @ Atlanta Braves (3) (Final),S,6,Atlanta Braves,707034,Boston Red Sox,3,1,Tyler Danish,144,Atlanta Braves,BOS wins Spring,Huascar Ynoa,[]
,Ian Anderson,N,,Bottom,Charlotte Sports Park,2022-04-04T17:05:00Z,144,2022-04-04,2534,9,Final,Atlanta Braves,Josh Fleming,Ian Anderson,2022-04-04 - Atlanta Braves (8) @ Tampa Bay Rays (2) (Final),S,8,Tampa Bay Rays,706812,Atlanta Braves,2,1,,139,Tampa Bay Rays,ATL leads 1-0,Josh Fleming,[]
,Corey Kluber,N,,Top,CoolToday Park,2022-04-05T17:05:00Z,139,2022-04-05,5380,9,Final,Tampa Bay Rays,Bryce Elder,Sean Newcomb,2022-04-05 - Tampa Bay Rays (0) @ Atlanta Braves (1) (Final),S,0,Atlanta Braves,707033,Atlanta Braves,1,1,Trey Riley,144,Tampa Bay Rays,ATL wins 2-0,Corey Kluber,[]
,Tyler Mahle,N,,Bottom,Truist Park,2022-04-08T00:08:00Z,113,2022-04-07,4705,9,Final,Cincinnati Reds,Max Fried,Tyler Mahle,2022-04-07 - Cincinnati Reds (6) @ Atlanta Braves (3) (Final),R,6,Atlanta Braves,661577,Cincinnati Reds,3,1,Tony Santillan,144,Atlanta Braves,CIN leads 1-0,Max Fried,['ESPN2']
,Reiver Sanmartin,N,,Top,Truist Park,2022-04-08T23:20:00Z,113,2022-04-08,4705,9,Final,Cincinnati Reds,Charlie Morton,Charlie Morton,2022-04-08 - Cincinnati Reds (6) @ Atlanta Braves (7) (Final),R,6,Atlanta Braves,661576,Atlanta Braves,7,1,,144,Cincinnati Reds,Series tied 1-1,Reiver Sanmartin,[]
,Vladimir Gutierrez,N,,Top,Truist Park,2022-04-09T23:20:00Z,113,2022-04-09,4705,9,Final,Cincinnati Reds,Kyle Wright,Kyle Wright,2022-04-09 - Cincinnati Reds (1) @ Atlanta Braves (2) (Final),R,1,Atlanta Braves,661575,Atlanta Braves,2,1,Will Smith,144,Cincinnati Reds,ATL leads 2-1,Vladimir Gutierrez,['MLBN (out-of-market only)']
,Hunter Greene,N,,Bottom,Truist Park,2022-04-10T17:35:00Z,113,2022-04-10,4705,9,Final,Cincinnati Reds,Ian Anderson,Hunter Greene,2022-04-10 - Cincinnati Reds (6) @ Atlanta Braves (3) (Final),R,6,Atlanta Braves,661573,Cincinnati Reds,3,1,Art Warren,144,Atlanta Braves,Series tied 2-2,Ian Anderson,[]
,Josh Rogers,N,,Bottom,Truist Park,2022-04-11T23:20:00Z,120,2022-04-11,4705,9,Final,Washington Nationals,Huascar Ynoa,Josh Rogers,2022-04-11 - Washington Nationals (11) @ Atlanta Braves (2) (Final),R,11,Atlanta Braves,661572,Washington Nationals,2,1,,144,Atlanta Braves,WSH leads 1-0,Huascar Ynoa,[]
,Patrick Corbin,N,,Top,Truist Park,2022-04-12T23:20:00Z,120,2022-04-12,4705,9,Final,Washington Nationals,Bryce Elder,Bryce Elder,2022-04-12 - Washington Nationals (4) @ Atlanta Braves (16) (Final),R,4,Atlanta Braves,661571,Atlanta Braves,16,1,Jackson Stephens,144,Washington Nationals,Series tied 1-1,Patrick Corbin,[]
,Josiah Gray,N,,Bottom,Truist Park,2022-04-13T16:20:00Z,120,2022-04-13,4705,9,Final,Washington Nationals,Max Fried,Josiah Gray,2022-04-13 - Washington Nationals (3) @ Atlanta Braves (1) (Final),R,3,Atlanta Braves,661570,Washington Nationals,1,1,Tanner Rainey,144,Atlanta Braves,WSH wins 2-1,Max Fried,['MLBN (out-of-market only)']
,Charlie Morton,N,,Top,Petco Park,2022-04-15T00:10:00Z,144,2022-04-14,2680,9,Final,Atlanta Braves,Joe Musgrove,Joe Musgrove,2022-04-14 - Atlanta Braves (1) @ San Diego Padres (12) (Final),R,1,San Diego Padres,662237,San Diego Padres,12,1,,135,Atlanta Braves,SD leads 1-0,Charlie Morton,[]
,Kyle Wright,N,,Bottom,Petco Park,2022-04-16T01:40:00Z,144,2022-04-15,2680,9,Final,Atlanta Braves,MacKenzie Gore,Darren O'Day,2022-04-15 - Atlanta Braves (5) @ San Diego Padres (2) (Final),R,5,San Diego Padres,662236,Atlanta Braves,2,1,Kenley Jansen,135,San Diego Padres,Series tied 1-1,Pierce Johnson,[]
,Ian Anderson,N,,Bottom,Petco Park,2022-04-16T20:05:00Z,144,2022-04-16,2680,9,Final,Atlanta Braves,Nick Martinez,Ian Anderson,2022-04-16 - Atlanta Braves (5) @ San Diego Padres (2) (Final),R,5,San Diego Padres,662235,Atlanta Braves,2,1,Kenley Jansen,135,San Diego Padres,ATL leads 2-1,Nick Martinez,['FS1']
,Bryce Elder,N,,Top,Petco Park,2022-04-17T23:08:00Z,144,2022-04-17,2680,9,Final,Atlanta Braves,Yu Darvish,Yu Darvish,2022-04-17 - Atlanta Braves (1) @ San Diego Padres (2) (Final),R,1,San Diego Padres,662234,San Diego Padres,2,1,Taylor Rogers,135,Atlanta Braves,Series tied 2-2,Bryce Elder,['ESPN']
,Huascar Ynoa,N,,Top,Dodger Stadium,2022-04-19T02:10:00Z,144,2022-04-18,22,9,Final,Atlanta Braves,Clayton Kershaw,Clayton Kershaw,2022-04-18 - Atlanta Braves (4) @ Los Angeles Dodgers (7) (Final),R,4,Los Angeles Dodgers,662617,Los Angeles Dodgers,7,1,Craig Kimbrel,119,Atlanta Braves,LAD leads 1-0,Huascar Ynoa,['MLBN (out-of-market only)']
,Max Fried,N,,Bottom,Dodger Stadium,2022-04-20T02:10:00Z,144,2022-04-19,22,9,Final,Atlanta Braves,Walker Buehler,Max Fried,2022-04-19 - Atlanta Braves (3) @ Los Angeles Dodgers (1) (Final),R,3,Los Angeles Dodgers,662717,Atlanta Braves,1,1,Kenley Jansen,119,Los Angeles Dodgers,Series tied 1-1,Walker Buehler,['TBS (out-of-market only)']
,Charlie Morton,N,,Top,Dodger Stadium,2022-04-20T19:10:00Z,144,2022-04-20,22,9,Final,Atlanta Braves,Tony Gonsolin,Tony Gonsolin,2022-04-20 - Atlanta Braves (1) @ Los Angeles Dodgers (5) (Final),R,1,Los Angeles Dodgers,662734,Los Angeles Dodgers,5,1,,119,Atlanta Braves,LAD wins 2-1,Charlie Morton,['MLBN (out-of-market only)']
,Trevor Rogers,N,,Top,Truist Park,2022-04-22T23:20:00Z,146,2022-04-22,4705,9,Final,Miami Marlins,Kyle Wright,Kyle Wright,2022-04-22 - Miami Marlins (0) @ Atlanta Braves (3) (Final),R,0,Atlanta Braves,661569,Atlanta Braves,3,1,Kenley Jansen,144,Miami Marlins,ATL leads 1-0,Trevor Rogers,[]
,Elieser Hernandez,N,,Bottom,Truist Park,2022-04-23T23:20:00Z,146,2022-04-23,4705,9,Final,Miami Marlins,Ian Anderson,Steven Okert,2022-04-23 - Miami Marlins (9) @ Atlanta Braves (7) (Final),R,9,Atlanta Braves,661568,Miami Marlins,7,1,Tanner Scott,144,Atlanta Braves,Series tied 1-1,Spencer Strider,[]
,Jesus Luzardo,N,,Bottom,Truist Park,2022-04-24T17:35:00Z,146,2022-04-24,4705,9,Final,Miami Marlins,Bryce Elder,Jesus Luzardo,2022-04-24 - Miami Marlins (5) @ Atlanta Braves (4) (Final),R,5,Atlanta Braves,661590,Miami Marlins,4,1,Louis Head,144,Atlanta Braves,MIA wins 2-1,Bryce Elder,[]
,Marcus Stroman,N,,Top,Truist Park,2022-04-26T23:20:00Z,112,2022-04-26,4705,9,Final,Chicago Cubs,Max Fried,Max Fried,2022-04-26 - Chicago Cubs (1) @ Atlanta Braves (3) (Final),R,1,Atlanta Braves,661589,Atlanta Braves,3,1,Kenley Jansen,144,Chicago Cubs,ATL leads 1-0,Marcus Stroman,[]
,Mark Leiter Jr.,N,,Bottom,Truist Park,2022-04-27T23:20:00Z,112,2022-04-27,4705,10,Final,Chicago Cubs,Charlie Morton,David Robertson,2022-04-27 - Chicago Cubs (6) @ Atlanta Braves (3) (Final),R,6,Atlanta Braves,661552,Chicago Cubs,3,1,Rowan Wick,144,Atlanta Braves,Series tied 1-1,Tyler Matzek,[]
,Drew Smyly,N,,Top,Truist Park,2022-04-28T23:20:00Z,112,2022-04-28,4705,9,Final,Chicago Cubs,Kyle Wright,Kyle Wright,2022-04-28 - Chicago Cubs (1) @ Atlanta Braves (5) (Final),R,1,Atlanta Braves,661551,Atlanta Braves,5,1,,144,Chicago Cubs,ATL wins 2-1,Drew Smyly,['MLBN (out-of-market only)']
,Ian Anderson,N,,Bottom,Globe Life Field,2022-04-30T00:05:00Z,144,2022-04-29,5325,9,Final,Atlanta Braves,Garrett Richards,Ian Anderson,2022-04-29 - Atlanta Braves (6) @ Texas Rangers (3) (Final),R,6,Texas Rangers,661911,Atlanta Braves,3,1,Kenley Jansen,140,Texas Rangers,ATL leads 1-0,Garrett Richards,[]
,Bryce Elder,N,,Top,Globe Life Field,2022-04-30T23:05:00Z,144,2022-04-30,5325,9,Final,Atlanta Braves,Dane Dunning,Dane Dunning,2022-04-30 - Atlanta Braves (1) @ Texas Rangers (3) (Final),R,1,Texas Rangers,661901,Texas Rangers,3,1,Joe Barlow,140,Atlanta Braves,Series tied 1-1,Bryce Elder,[]
,Kyle Muller,N,,Top,Globe Life Field,2022-05-01T18:35:00Z,144,2022-05-01,5325,9,Final,Atlanta Braves,Taylor Hearn,Taylor Hearn,2022-05-01 - Atlanta Braves (3) @ Texas Rangers (7) (Final),R,3,Texas Rangers,661935,Texas Rangers,7,1,,140,Atlanta Braves,TEX wins 2-1,Kyle Muller,[]
,Max Fried,N,,Bottom,Citi Field,2022-05-02T23:10:00Z,144,2022-05-02,3289,9,Final,Atlanta Braves,Chris Bassitt,Max Fried,2022-05-02 - Atlanta Braves (5) @ New York Mets (2) (Final),R,5,New York Mets,662578,Atlanta Braves,2,1,Kenley Jansen,121,New York Mets,ATL leads 1-0,Chris Bassitt,['MLBN (out-of-market only)']
,Charlie Morton,Y,,Top,Citi Field,2022-05-03T19:10:00Z,144,2022-05-03,3289,9,Final,Atlanta Braves,David Peterson,David Peterson,2022-05-03 - Atlanta Braves (4) @ New York Mets (5) (Final),R,4,New York Mets,662569,New York Mets,5,1,Edwin Diaz,121,Atlanta Braves,Series tied 1-1,Charlie Morton,['MLB.tv Free Game']
,Kyle Wright,Y,,Top,Citi Field,2022-05-03T19:15:00Z,144,2022-05-03,3289,9,Final,Atlanta Braves,Carlos Carrasco,Carlos Carrasco,2022-05-03 - Atlanta Braves (0) @ New York Mets (3) (Final),R,0,New York Mets,662459,New York Mets,3,2,Seth Lugo,121,Atlanta Braves,NYM leads 2-1,Kyle Wright,['FS1']
,Ian Anderson,N,,Bottom,Citi Field,2022-05-04T17:10:00Z,144,2022-05-04,3289,9,Final,Atlanta Braves,Tylor Megill,Ian Anderson,2022-05-04 - Atlanta Braves (9) @ New York Mets (2) (Final),R,9,New York Mets,662577,Atlanta Braves,2,1,,121,New York Mets,Series tied 2-2,Tylor Megill,['MLBN (out-of-market only)']
