away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Jose Berrios,N,,Bottom,Ed Smith Stadium,2022-03-18T17:05:00Z,141,2022-03-18,2508,9,Final,Toronto Blue Jays,Spenser Watkins,Graham Spraker,2022-03-18 - Toronto Blue Jays (9) @ Baltimore Orioles (5) (Final),S,9,Baltimore Orioles,707027,Toronto Blue Jays,5,1,Brandon Eisert,110,Baltimore Orioles,TOR wins Spring,Spenser Watkins,[]
,Ken Waldichuk,N,,Bottom,Ed Smith Stadium,2022-03-19T17:05:00Z,147,2022-03-19,2508,9,Final: Tied,New York Yankees,Ryan Hartman,,2022-03-19 - New York Yankees @ Baltimore Orioles (Final: Tied),S,3,Baltimore Orioles,707028,,3,1,,110,,,,[]
,Denyi Reyes,N,,Top,JetBlue Park,2022-03-20T17:05:00Z,110,2022-03-20,4309,9,Final,Baltimore Orioles,Tanner Houck,Geoff Hartlieb,2022-03-20 - Baltimore Orioles (2) @ Boston Red Sox (3) (Final),S,2,Boston Red Sox,707021,Boston Red Sox,3,1,Eduard Bazardo,111,Baltimore Orioles,BOS wins Spring,Denyi Reyes,['MLB.tv Free Game']
,Chi Chi Gonzalez,N,,Top,Ed Smith Stadium,2022-03-21T17:05:00Z,142,2022-03-21,2508,9,Final,Minnesota Twins,Tyler Wells,Diogenes Almengo,2022-03-21 - Minnesota Twins (8) @ Baltimore Orioles (10) (Final),S,8,Baltimore Orioles,707031,Baltimore Orioles,10,1,Bryan Baker,110,Minnesota Twins,BAL wins Spring,Drew Strotman,[]
,John Means,N,,Bottom,LECOM Park,2022-03-22T17:05:00Z,110,2022-03-22,2526,9,Final,Baltimore Orioles,Jose Quintana,Felix Bautista,2022-03-22 - Baltimore Orioles (10) @ Pittsburgh Pirates (9) (Final),S,10,Pittsburgh Pirates,706858,Baltimore Orioles,9,1,Logan Gillaspie,134,Pittsburgh Pirates,BAL wins Spring,Matt Eckelman,['MLB.tv Free Game']
,Kyle Bradish,N,,Top,George M. Steinbrenner Field,2022-03-23T22:35:00Z,110,2022-03-23,2523,9,Final,Baltimore Orioles,Deivi Garcia,Luis Gil,2022-03-23 - Baltimore Orioles (1) @ New York Yankees (7) (Final),S,1,New York Yankees,706890,New York Yankees,7,1,,147,Baltimore Orioles,NYY wins Spring,Alex Wells,['MLB.tv Free Game']
,Nick Pivetta,N,,Top,Ed Smith Stadium,2022-03-24T22:05:00Z,111,2022-03-24,2508,9,Final,Boston Red Sox,Bruce Zimmermann,Tanner Scott,2022-03-24 - Boston Red Sox (5) @ Baltimore Orioles (8) (Final),S,5,Baltimore Orioles,707030,Baltimore Orioles,8,1,Marcos Diplan,110,Boston Red Sox,BAL wins Spring,Jake Diekman,['MLB.tv Free Game']
,Chris Ellis,N,,Top,Charlotte Sports Park,2022-03-25T17:05:00Z,110,2022-03-25,2534,9,Final,Baltimore Orioles,Josh Fleming,Ryan Thompson,2022-03-25 - Baltimore Orioles (4) @ Tampa Bay Rays (9) (Final),S,4,Tampa Bay Rays,706818,Tampa Bay Rays,9,1,,139,Baltimore Orioles,TB wins Spring,Chris Ellis,[]
,Zach Thompson,N,,Top,Ed Smith Stadium,2022-03-26T22:05:00Z,134,2022-03-26,2508,9,Final,Pittsburgh Pirates,Tyler Wells,Marcos Diplan,2022-03-26 - Pittsburgh Pirates (5) @ Baltimore Orioles (14) (Final),S,5,Baltimore Orioles,707029,Baltimore Orioles,14,1,,110,Pittsburgh Pirates,BAL wins Spring,Sam Howard,[]
,Tyler Alexander,N,,Top,Ed Smith Stadium,2022-03-27T17:05:00Z,116,2022-03-27,2508,9,Final,Detroit Tigers,John Means,Cole Sulser,2022-03-27 - Detroit Tigers (4) @ Baltimore Orioles (5) (Final),S,4,Baltimore Orioles,707026,Baltimore Orioles,5,1,Bryan Baker,110,Detroit Tigers,BAL wins Spring,Bryan Garcia,[]
,Dean Kremer,N,,Top,BayCare Ballpark,2022-03-28T17:05:00Z,110,2022-03-28,2700,9,Final,Baltimore Orioles,Cristopher Sanchez,Cristopher Sanchez,2022-03-28 - Baltimore Orioles (1) @ Philadelphia Phillies (7) (Final),S,1,Philadelphia Phillies,706869,Philadelphia Phillies,7,1,,143,Baltimore Orioles,PHI wins Spring,Dean Kremer,[]
,Josh Fleming,N,,Bottom,Ed Smith Stadium,2022-03-30T17:05:00Z,139,2022-03-30,2508,9,Final,Tampa Bay Rays,Bruce Zimmermann,Joey Krehbiel,2022-03-30 - Tampa Bay Rays (6) @ Baltimore Orioles (7) (Final),S,6,Baltimore Orioles,707025,Baltimore Orioles,7,1,,110,Tampa Bay Rays,BAL wins Spring,Cristofer Ogando,[]
,Tyler Wells,N,,Bottom,LECOM Park,2022-03-31T17:05:00Z,110,2022-03-31,2526,9,Final: Tied,Baltimore Orioles,Zach Thompson,,2022-03-31 - Baltimore Orioles @ Pittsburgh Pirates (Final: Tied),S,4,Pittsburgh Pirates,706856,,4,1,,134,,,,[]
,Ranger Suarez,N,,Top,Ed Smith Stadium,2022-04-01T17:05:00Z,143,2022-04-01,2508,9,Final,Philadelphia Phillies,Jordan Lyles,Jordan Lyles,2022-04-01 - Philadelphia Phillies (2) @ Baltimore Orioles (3) (Final),S,2,Baltimore Orioles,707024,Baltimore Orioles,3,1,Travis Lakins Sr.,110,Philadelphia Phillies,BAL wins Spring,Ranger Suarez,[]
,John Means,N,,Top,Publix Field at Joker Marchant Stadium,2022-04-02T17:05:00Z,110,2022-04-02,2511,6,Completed Early: Rain,Baltimore Orioles,Eduardo Rodriguez,,2022-04-02 - Baltimore Orioles @ Detroit Tigers (Completed Early: Rain),S,2,Detroit Tigers,706962,,0,1,,116,,BAL wins Spring,,[]
,Dean Kremer,N,,Top,Hammond Stadium,2022-04-03T17:05:00Z,110,2022-04-03,2862,9,Final,Baltimore Orioles,Sonny Gray,Sonny Gray,2022-04-03 - Baltimore Orioles (2) @ Minnesota Twins (8) (Final),S,2,Minnesota Twins,706900,Minnesota Twins,8,1,,142,Baltimore Orioles,MIN wins Spring,Dean Kremer,[]
