away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Ben Holmes,S,,Top,Camelback Ranch,2022-03-17T20:05:00Z,112,2022-03-17,3809,7,Final,Chicago Cubs,Wes Benjamin,Wes Benjamin,2022-03-17 - Chicago Cubs (2) @ Chicago White Sox (5) (Final),S,2,Chicago White Sox,707077,Chicago White Sox,5,1,Gil Luna,145,Chicago Cubs,CWS leads 1-0,Ben Holmes,['MLB.tv Free Game']
,Kyle Kubat,S,,Bottom,Sloan Park,2022-03-17T20:05:00Z,145,2022-03-17,4629,7,Final,Chicago White Sox,Kyle Hendricks,Emilio Vargas,2022-03-17 - Chicago White Sox (4) @ Chicago Cubs (3) (Final),S,4,Chicago Cubs,707078,Chicago White Sox,3,2,Caleb Freeman,112,Chicago Cubs,CWS wins 2-0,Jordan Wicks,"['MLBN', 'MLB.tv Free Game']"
,Adam Scott,N,,Bottom,Camelback Ranch,2022-03-19T20:05:00Z,114,2022-03-19,3809,9,Final,Cleveland Guardians,Brandon Finnegan,Adam Scott,2022-03-19 - Cleveland Guardians (11) @ Chicago White Sox (2) (Final),S,11,Chicago White Sox,707003,Cleveland Guardians,2,1,,145,Chicago White Sox,CLE wins Spring,McKinley Moore,[]
,Vince Velasquez,N,,Bottom,Salt River Fields at Talking Stick,2022-03-20T20:10:00Z,145,2022-03-20,4249,9,Final,Chicago White Sox,Ryan Feltner,Vince Velasquez,2022-03-20 - Chicago White Sox (4) @ Colorado Rockies (2) (Final),S,4,Colorado Rockies,706976,Chicago White Sox,2,1,Will Carter,115,Colorado Rockies,CWS wins Spring,Ryan Feltner,[]
,Andre Jackson,N,,Top,Camelback Ranch,2022-03-21T20:05:00Z,119,2022-03-21,3809,9,Final,Los Angeles Dodgers,Tanner Banks,Wes Benjamin,2022-03-21 - Los Angeles Dodgers (6) @ Chicago White Sox (8) (Final),S,6,Chicago White Sox,707002,Chicago White Sox,8,1,Caleb Freeman,145,Los Angeles Dodgers,CWS wins Spring,Bobby Wahl,['MLB.tv Free Game']
,Lucas Giolito,N,,Bottom,American Family Fields of Phoenix,2022-03-22T20:10:00Z,145,2022-03-22,2518,9,Final,Chicago White Sox,Jason Alexander,Lucas Giolito,2022-03-22 - Chicago White Sox (4) @ Milwaukee Brewers (3) (Final),S,4,Milwaukee Brewers,706916,Chicago White Sox,3,1,Kyle Crick,158,Milwaukee Brewers,CWS wins Spring,Devin Williams,['MLB.tv Free Game']
,Lance Lynn,N,,Top,Surprise Stadium,2022-03-23T20:05:00Z,145,2022-03-23,2603,9,Final,Chicago White Sox,Glenn Otto,Nick Tropeano,2022-03-23 - Chicago White Sox (5) @ Texas Rangers (14) (Final),S,5,Texas Rangers,706807,Texas Rangers,14,1,,140,Chicago White Sox,TEX wins Spring,Craig Kimbrel,[]
,Carlos Rodon,N,,Bottom,Camelback Ranch,2022-03-24T20:05:00Z,137,2022-03-24,3809,9,Final,San Francisco Giants,Reynaldo Lopez,Solomon Bates,2022-03-24 - San Francisco Giants (9) @ Chicago White Sox (6) (Final),S,9,Chicago White Sox,707001,San Francisco Giants,6,1,,145,Chicago White Sox,SF wins Spring,Jose Ruiz,[]
,Dylan Cease,N,,Top,Peoria Stadium,2022-03-26T01:40:00Z,145,2022-03-25,2530,9,Final,Chicago White Sox,Marco Gonzales,Marco Gonzales,2022-03-25 - Chicago White Sox (0) @ Seattle Mariners (3) (Final),S,0,Seattle Mariners,706832,Seattle Mariners,3,1,Devin Sweet,136,Chicago White Sox,SEA wins Spring,Dylan Cease,[]
,Cesar Valdez,N,,Bottom,Camelback Ranch,2022-03-26T20:05:00Z,108,2022-03-26,3809,9,Final,Los Angeles Angels,Vince Velasquez,Cesar Valdez,2022-03-26 - Los Angeles Angels (12) @ Chicago White Sox (3) (Final),S,12,Chicago White Sox,707000,Los Angeles Angels,3,1,,145,Chicago White Sox,LAA wins Spring,Vince Velasquez,[]
,Dallas Keuchel,N,,Bottom,Camelback Ranch,2022-03-27T20:05:00Z,145,2022-03-27,3809,9,Final,Chicago White Sox,Andrew Heaney,Dallas Keuchel,2022-03-27 - Chicago White Sox (9) @ Los Angeles Dodgers (0) (Final),S,9,Los Angeles Dodgers,706926,Chicago White Sox,0,1,,119,Los Angeles Dodgers,CWS wins Spring,Andrew Heaney,[]
,Joe Musgrove,N,,Bottom,Camelback Ranch,2022-03-28T20:05:00Z,135,2022-03-28,3809,9,Final,San Diego Padres,Lucas Giolito,Pierce Johnson,2022-03-28 - San Diego Padres (9) @ Chicago White Sox (8) (Final),S,9,Chicago White Sox,706999,San Diego Padres,8,1,Tyler Higgins,145,Chicago White Sox,SD wins Spring,Yacksel Rios,[]
,Martin Perez,N,,Top,Camelback Ranch,2022-03-30T20:05:00Z,140,2022-03-30,3809,9,Final,Texas Rangers,Dylan Cease,Dylan Cease,2022-03-30 - Texas Rangers (0) @ Chicago White Sox (7) (Final),S,0,Chicago White Sox,706997,Chicago White Sox,7,1,,145,Texas Rangers,CWS wins Spring,Martin Perez,[]
,Michael Kopech,N,,Bottom,Goodyear Ballpark,2022-04-01T01:05:00Z,145,2022-03-31,3834,9,Final,Chicago White Sox,Hunter Greene,Michael Kopech,2022-03-31 - Chicago White Sox (8) @ Cincinnati Reds (2) (Final),S,8,Cincinnati Reds,706991,Chicago White Sox,2,1,,113,Cincinnati Reds,CWS wins Spring,Hunter Greene,[]
