away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Ben Holmes,S,,Top,Camelback Ranch,2022-03-17T20:05:00Z,112,2022-03-17,3809,7,Final,Chicago Cubs,Wes Benjamin,Wes Benjamin,2022-03-17 - Chicago Cubs (2) @ Chicago White Sox (5) (Final),S,2,Chicago White Sox,707077,Chicago White Sox,5,1,Gil Luna,145,Chicago Cubs,CWS leads 1-0,Ben Holmes,['MLB.tv Free Game']
,Kyle Kubat,S,,Bottom,Sloan Park,2022-03-17T20:05:00Z,145,2022-03-17,4629,7,Final,Chicago White Sox,Kyle Hendricks,Emilio Vargas,2022-03-17 - Chicago White Sox (4) @ Chicago Cubs (3) (Final),S,4,Chicago Cubs,707078,Chicago White Sox,3,2,Caleb Freeman,112,Chicago Cubs,CWS wins 2-0,Jordan Wicks,"['MLBN', 'MLB.tv Free Game']"
,Marcus Stroman,N,,Bottom,Scottsdale Stadium,2022-03-19T02:05:00Z,112,2022-03-18,2532,9,Final,Chicago Cubs,Logan Webb,Mark Leiter Jr.,2022-03-18 - Chicago Cubs (7) @ San Francisco Giants (3) (Final),S,7,San Francisco Giants,706846,Chicago Cubs,3,1,,137,San Francisco Giants,CHC wins Spring,Bryan Brickhouse,['MLB.tv Free Game']
,Reiss Knehr,N,,Top,Sloan Park,2022-03-19T20:05:00Z,135,2022-03-19,4629,9,Final,San Diego Padres,Justin Steele,Michael Rucker,2022-03-19 - San Diego Padres (4) @ Chicago Cubs (5) (Final),S,4,Chicago Cubs,707009,Chicago Cubs,5,1,Kevin McCarthy,112,San Diego Padres,CHC wins Spring,Daniel Camarena,['MLB.tv Free Game']
,Alec Mills,N,,Bottom,Camelback Ranch,2022-03-20T20:05:00Z,112,2022-03-20,3809,9,Final: Tied,Chicago Cubs,Robbie Erlin,,2022-03-20 - Chicago Cubs @ Los Angeles Dodgers (Final: Tied),S,2,Los Angeles Dodgers,706932,,2,1,,119,,,,"['MLBN', 'MLB.tv Free Game']"
,Graham Ashcraft,N,,Top,Sloan Park,2022-03-21T20:05:00Z,113,2022-03-21,4629,9,Final,Cincinnati Reds,Keegan Thompson,Eric Yardley,2022-03-21 - Cincinnati Reds (2) @ Chicago Cubs (3) (Final),S,2,Chicago Cubs,707013,Chicago Cubs,3,1,Erich Uelmen,112,Cincinnati Reds,CHC wins Spring,James Marinan,['MLB.tv Free Game']
,Kyle Hendricks,N,,Bottom,Peoria Stadium,2022-03-22T20:10:00Z,112,2022-03-22,2530,9,Final: Tied,Chicago Cubs,Robbie Ray,,2022-03-22 - Chicago Cubs @ Seattle Mariners (Final: Tied),S,5,Seattle Mariners,706838,,5,1,,136,,,,['MLB.tv Free Game']
,Adam Oller,N,,Top,Sloan Park,2022-03-23T20:05:00Z,133,2022-03-23,4629,9,Final,Oakland Athletics,Marcus Stroman,Jesse Chavez,2022-03-23 - Oakland Athletics (4) @ Chicago Cubs (5) (Final),S,4,Chicago Cubs,707012,Chicago Cubs,5,1,Cayne Ueckert,112,Oakland Athletics,CHC wins Spring,Zach Logue,['MLB.tv Free Game']
,Justin Steele,N,,Top,Tempe Diablo Stadium,2022-03-24T20:10:00Z,112,2022-03-24,2500,9,Final,Chicago Cubs,Michael Lorenzen,Davis Daniel,2022-03-24 - Chicago Cubs (4) @ Los Angeles Angels (5) (Final),S,4,Los Angeles Angels,706940,Los Angeles Angels,5,1,Zack Weiss,108,Chicago Cubs,LAA wins Spring,Jonathan Holder,['MLB.tv Free Game']
,German Marquez,N,,Bottom,Sloan Park,2022-03-25T20:05:00Z,115,2022-03-25,4629,9,Final,Colorado Rockies,Alec Mills,German Marquez,2022-03-25 - Colorado Rockies (17) @ Chicago Cubs (1) (Final),S,17,Chicago Cubs,707011,Colorado Rockies,1,1,,112,Chicago Cubs,COL wins Spring,Alec Mills,[]
,Drew Smyly,N,,Bottom,Peoria Stadium,2022-03-26T20:10:00Z,112,2022-03-26,2530,9,Final: Tied,Chicago Cubs,Ryan Weathers,,2022-03-26 - Chicago Cubs @ San Diego Padres (Final: Tied),S,2,San Diego Padres,706852,,2,1,,135,,,,[]
,Angel Zerpa,N,,Top,Sloan Park,2022-03-27T20:05:00Z,118,2022-03-27,4629,9,Final,Kansas City Royals,Kyle Hendricks,Jesse Chavez,2022-03-27 - Kansas City Royals (12) @ Chicago Cubs (13) (Final),S,12,Chicago Cubs,707007,Chicago Cubs,13,1,Chris Martin,112,Kansas City Royals,CHC wins Spring,Jace Vines,[]
,Marcus Stroman,N,,Bottom,Goodyear Ballpark,2022-03-29T01:05:00Z,112,2022-03-28,3834,9,Final,Chicago Cubs,Tyler Mahle,Stephen Gonsalves,2022-03-28 - Chicago Cubs (4) @ Cincinnati Reds (2) (Final),S,4,Cincinnati Reds,706989,Chicago Cubs,2,1,Ethan Roberts,113,Cincinnati Reds,CHC wins Spring,Dauri Moreta,[]
,Zach Davies,N,,Top,Sloan Park,2022-03-29T20:05:00Z,109,2022-03-29,4629,9,Final,Arizona Diamondbacks,Justin Steele,Justin Steele,2022-03-29 - Arizona Diamondbacks (2) @ Chicago Cubs (3) (Final),S,2,Chicago Cubs,707005,Chicago Cubs,3,1,Cayne Ueckert,112,Arizona Diamondbacks,CHC wins Spring,Zach Davies,[]
,Marco Gonzales,N,,Top,Sloan Park,2022-03-30T20:05:00Z,136,2022-03-30,4629,9,Final,Seattle Mariners,Drew Smyly,Robert Gsellman,2022-03-30 - Seattle Mariners (5) @ Chicago Cubs (8) (Final),S,5,Chicago Cubs,707006,Chicago Cubs,8,1,Brandon Leibrandt,112,Seattle Mariners,CHC wins Spring,Marco Gonzales,[]
