away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Nick Lodolo,N,,Top,Goodyear Ballpark,2022-03-18T20:05:00Z,113,2022-03-18,3834,9,Final,Cincinnati Reds,Tanner Tully,Brett Daniels,2022-03-18 - Cincinnati Reds (2) @ Cleveland Guardians (3) (Final),S,2,Cleveland Guardians,706984,Cleveland Guardians,3,1,Aaron Pinto,114,Cincinnati Reds,CLE wins Spring,Phillip Diehl,['MLB.tv Free Game']
,Sean Manaea,N,,Top,Goodyear Ballpark,2022-03-20T01:05:00Z,133,2022-03-19,3834,9,Final,Oakland Athletics,Tyler Mahle,Tyler Mahle,2022-03-19 - Oakland Athletics (3) @ Cincinnati Reds (9) (Final),S,3,Cincinnati Reds,706993,Cincinnati Reds,9,1,,113,Oakland Athletics,CIN wins Spring,Sean Manaea,[]
,Sam Long,N,,Top,Goodyear Ballpark,2022-03-20T20:05:00Z,137,2022-03-20,3834,9,Final,San Francisco Giants,Tony Santillan,Tony Santillan,2022-03-20 - San Francisco Giants (4) @ Cincinnati Reds (9) (Final),S,4,Cincinnati Reds,706995,Cincinnati Reds,9,1,,113,San Francisco Giants,CIN wins Spring,Sam Long,['MLB.tv Free Game']
,Graham Ashcraft,N,,Top,Sloan Park,2022-03-21T20:05:00Z,113,2022-03-21,4629,9,Final,Cincinnati Reds,Keegan Thompson,Eric Yardley,2022-03-21 - Cincinnati Reds (2) @ Chicago Cubs (3) (Final),S,2,Chicago Cubs,707013,Chicago Cubs,3,1,Erich Uelmen,112,Cincinnati Reds,CHC wins Spring,James Marinan,['MLB.tv Free Game']
,Vladimir Gutierrez,N,,Bottom,Camelback Ranch,2022-03-22T20:05:00Z,113,2022-03-22,3809,9,Final,Cincinnati Reds,Walker Buehler,Kyle Dowdy,2022-03-22 - Cincinnati Reds (10) @ Los Angeles Dodgers (8) (Final),S,10,Los Angeles Dodgers,706931,Cincinnati Reds,8,1,Pedro Garcia,119,Los Angeles Dodgers,CIN wins Spring,Andrew Heaney,['MLB.tv Free Game']
,Corbin Burnes,N,,Top,Goodyear Ballpark,2022-03-24T01:05:00Z,158,2022-03-23,3834,9,Final,Milwaukee Brewers,Tyler Mahle,Jared Solomon,2022-03-23 - Milwaukee Brewers (8) @ Cincinnati Reds (12) (Final),S,8,Cincinnati Reds,706994,Cincinnati Reds,12,1,,113,Milwaukee Brewers,CIN wins Spring,Brad Boxberger,['MLB.tv Free Game']
,Nick Lodolo,N,,Bottom,Surprise Stadium,2022-03-24T20:05:00Z,113,2022-03-24,2603,9,Final,Cincinnati Reds,Daniel Lynch,Collin Snider,2022-03-24 - Cincinnati Reds (4) @ Kansas City Royals (5) (Final),S,4,Kansas City Royals,706949,Kansas City Royals,5,1,,118,Cincinnati Reds,KC wins Spring,Connor Overton,[]
,Hunter Greene,N,,Bottom,Scottsdale Stadium,2022-03-26T20:05:00Z,113,2022-03-26,2532,9,Final,Cincinnati Reds,Alex Wood,Jeff Hoffman,2022-03-26 - Cincinnati Reds (2) @ San Francisco Giants (1) (Final),S,2,San Francisco Giants,706842,Cincinnati Reds,1,1,Riley O'Brien,137,San Francisco Giants,CIN wins Spring,Tyler Rogers,[]
,Kyle Freeland,N,,Bottom,Goodyear Ballpark,2022-03-27T20:05:00Z,115,2022-03-27,3834,9,Final: Tied,Colorado Rockies,James Marinan,,2022-03-27 - Colorado Rockies @ Cincinnati Reds (Final: Tied),S,4,Cincinnati Reds,706992,,4,1,,113,,,,[]
,Marcus Stroman,N,,Bottom,Goodyear Ballpark,2022-03-29T01:05:00Z,112,2022-03-28,3834,9,Final,Chicago Cubs,Tyler Mahle,Stephen Gonsalves,2022-03-28 - Chicago Cubs (4) @ Cincinnati Reds (2) (Final),S,4,Cincinnati Reds,706989,Chicago Cubs,2,1,Ethan Roberts,113,Cincinnati Reds,CHC wins Spring,Dauri Moreta,[]
,Reiver Sanmartin,N,,Bottom,Surprise Stadium,2022-03-29T20:05:00Z,113,2022-03-29,2603,9,Final,Cincinnati Reds,Spencer Howard,Reiver Sanmartin,2022-03-29 - Cincinnati Reds (7) @ Texas Rangers (1) (Final),S,7,Texas Rangers,706809,Cincinnati Reds,1,1,,140,Texas Rangers,CIN wins Spring,Matt Moore,[]
,Vladimir Gutierrez,N,,Top,Hohokam Stadium,2022-03-30T20:05:00Z,113,2022-03-30,2507,9,Final,Cincinnati Reds,Cole Irvin,Cole Irvin,2022-03-30 - Cincinnati Reds (4) @ Oakland Athletics (5) (Final),S,4,Oakland Athletics,706878,Oakland Athletics,5,1,Dany Jimenez,133,Cincinnati Reds,OAK wins Spring,Vladimir Gutierrez,[]
,Michael Kopech,N,,Bottom,Goodyear Ballpark,2022-04-01T01:05:00Z,145,2022-03-31,3834,9,Final,Chicago White Sox,Hunter Greene,Michael Kopech,2022-03-31 - Chicago White Sox (8) @ Cincinnati Reds (2) (Final),S,8,Cincinnati Reds,706991,Chicago White Sox,2,1,,113,Cincinnati Reds,CWS wins Spring,Hunter Greene,[]
,Riley O'Brien,N,,Bottom,Tempe Diablo Stadium,2022-04-01T20:10:00Z,113,2022-04-01,2500,9,Final,Cincinnati Reds,Reid Detmers,Jose Marte,2022-04-01 - Cincinnati Reds (6) @ Los Angeles Angels (7) (Final),S,6,Los Angeles Angels,706936,Los Angeles Angels,7,1,,108,Cincinnati Reds,LAA wins Spring,Jared Solomon,[]
,Joe Musgrove,N,,Top,Goodyear Ballpark,2022-04-03T01:05:00Z,135,2022-04-02,3834,9,Final,San Diego Padres,Tyler Mahle,Tyler Mahle,2022-04-02 - San Diego Padres (3) @ Cincinnati Reds (6) (Final),S,3,Cincinnati Reds,706990,Cincinnati Reds,6,1,Dauri Moreta,113,San Diego Padres,CIN wins Spring,Joe Musgrove,[]
,Nick Lodolo,N,,Bottom,Salt River Fields at Talking Stick,2022-04-03T20:10:00Z,113,2022-04-03,4249,9,Final,Cincinnati Reds,Corbin Martin,Nick Lodolo,2022-04-03 - Cincinnati Reds (15) @ Arizona Diamondbacks (4) (Final),S,15,Arizona Diamondbacks,707041,Cincinnati Reds,4,1,,109,Arizona Diamondbacks,CIN wins Spring,Corbin Martin,[]
,Brad Keller,N,,Top,Goodyear Ballpark,2022-04-04T20:05:00Z,118,2022-04-04,3834,9,Final,Kansas City Royals,Vladimir Gutierrez,Vladimir Gutierrez,2022-04-04 - Kansas City Royals (6) @ Cincinnati Reds (10) (Final),S,6,Cincinnati Reds,706986,Cincinnati Reds,10,1,,113,Kansas City Royals,CIN wins Spring,Brad Keller,[]
,Chris Flexen,N,,Top,Goodyear Ballpark,2022-04-05T19:05:00Z,136,2022-04-05,3834,9,Final,Seattle Mariners,Hunter Greene,Alexis Diaz,2022-04-05 - Seattle Mariners (9) @ Cincinnati Reds (12) (Final),S,9,Cincinnati Reds,706987,Cincinnati Reds,12,1,Stevie Branche,113,Seattle Mariners,CIN wins Spring,Danny Chang,[]
,Tyler Mahle,N,,Bottom,Truist Park,2022-04-08T00:08:00Z,113,2022-04-07,4705,9,Final,Cincinnati Reds,Max Fried,Tyler Mahle,2022-04-07 - Cincinnati Reds (6) @ Atlanta Braves (3) (Final),R,6,Atlanta Braves,661577,Cincinnati Reds,3,1,Tony Santillan,144,Atlanta Braves,CIN leads 1-0,Max Fried,['ESPN2']
,Reiver Sanmartin,N,,Top,Truist Park,2022-04-08T23:20:00Z,113,2022-04-08,4705,9,Final,Cincinnati Reds,Charlie Morton,Charlie Morton,2022-04-08 - Cincinnati Reds (6) @ Atlanta Braves (7) (Final),R,6,Atlanta Braves,661576,Atlanta Braves,7,1,,144,Cincinnati Reds,Series tied 1-1,Reiver Sanmartin,[]
,Vladimir Gutierrez,N,,Top,Truist Park,2022-04-09T23:20:00Z,113,2022-04-09,4705,9,Final,Cincinnati Reds,Kyle Wright,Kyle Wright,2022-04-09 - Cincinnati Reds (1) @ Atlanta Braves (2) (Final),R,1,Atlanta Braves,661575,Atlanta Braves,2,1,Will Smith,144,Cincinnati Reds,ATL leads 2-1,Vladimir Gutierrez,['MLBN (out-of-market only)']
,Hunter Greene,N,,Bottom,Truist Park,2022-04-10T17:35:00Z,113,2022-04-10,4705,9,Final,Cincinnati Reds,Ian Anderson,Hunter Greene,2022-04-10 - Cincinnati Reds (6) @ Atlanta Braves (3) (Final),R,6,Atlanta Braves,661573,Cincinnati Reds,3,1,Art Warren,144,Atlanta Braves,Series tied 2-2,Ian Anderson,[]
,Shane Bieber,N,,Bottom,Great American Ball Park,2022-04-12T20:10:00Z,114,2022-04-12,2602,9,Final,Cleveland Guardians,Tyler Mahle,Trevor Stephan,2022-04-12 - Cleveland Guardians (10) @ Cincinnati Reds (5) (Final),R,10,Cincinnati Reds,663088,Cleveland Guardians,5,1,,113,Cincinnati Reds,CLE leads 1-0,Hunter Strickland,[]
,Triston McKenzie,N,,Bottom,Great American Ball Park,2022-04-13T16:35:00Z,114,2022-04-13,2602,9,Final,Cleveland Guardians,Nick Lodolo,Eli Morgan,2022-04-13 - Cleveland Guardians (7) @ Cincinnati Reds (3) (Final),R,7,Cincinnati Reds,663117,Cleveland Guardians,3,1,,113,Cincinnati Reds,CLE wins 2-0,Nick Lodolo,['MLBN (out-of-market only)']
,Luis Cessa,N,,Top,Dodger Stadium,2022-04-15T02:10:00Z,113,2022-04-14,22,9,Final,Cincinnati Reds,Walker Buehler,Blake Treinen,2022-04-14 - Cincinnati Reds (3) @ Los Angeles Dodgers (9) (Final),R,3,Los Angeles Dodgers,662627,Los Angeles Dodgers,9,1,,119,Cincinnati Reds,LAD leads 1-0,Justin Wilson,[]
,Vladimir Gutierrez,N,,Top,Dodger Stadium,2022-04-16T02:10:00Z,113,2022-04-15,22,9,Final,Cincinnati Reds,Tony Gonsolin,Tyler Anderson,2022-04-15 - Cincinnati Reds (1) @ Los Angeles Dodgers (3) (Final),R,1,Los Angeles Dodgers,662620,Los Angeles Dodgers,3,1,Craig Kimbrel,119,Cincinnati Reds,LAD leads 2-0,Vladimir Gutierrez,['Apple TV+']
,Hunter Greene,N,,Top,Dodger Stadium,2022-04-17T02:10:00Z,113,2022-04-16,22,9,Final,Cincinnati Reds,Julio Urias,Evan Phillips,2022-04-16 - Cincinnati Reds (2) @ Los Angeles Dodgers (5) (Final),R,2,Los Angeles Dodgers,662619,Los Angeles Dodgers,5,1,Daniel Hudson,119,Cincinnati Reds,LAD wins 3-0,Hunter Greene,['MLBN (out-of-market only)']
,Tyler Mahle,N,,Top,Dodger Stadium,2022-04-17T20:10:00Z,113,2022-04-17,22,9,Final,Cincinnati Reds,Andrew Heaney,Andrew Heaney,2022-04-17 - Cincinnati Reds (1) @ Los Angeles Dodgers (9) (Final),R,1,Los Angeles Dodgers,662618,Los Angeles Dodgers,9,1,,119,Cincinnati Reds,LAD wins 4-0,Tyler Mahle,[]
,Nick Lodolo,N,,Top,Petco Park,2022-04-19T01:40:00Z,113,2022-04-18,2680,9,Final,Cincinnati Reds,Sean Manaea,Sean Manaea,2022-04-18 - Cincinnati Reds (1) @ San Diego Padres (4) (Final),R,1,San Diego Padres,662233,San Diego Padres,4,1,Taylor Rogers,135,Cincinnati Reds,SD leads 1-0,Nick Lodolo,[]
,Reiver Sanmartin,N,,Top,Petco Park,2022-04-20T01:40:00Z,113,2022-04-19,2680,9,Final,Cincinnati Reds,Joe Musgrove,Joe Musgrove,2022-04-19 - Cincinnati Reds (2) @ San Diego Padres (6) (Final),R,2,San Diego Padres,662232,San Diego Padres,6,1,,135,Cincinnati Reds,SD wins 2-0,Reiver Sanmartin,[]
