away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Nick Lodolo,N,,Top,Goodyear Ballpark,2022-03-18T20:05:00Z,113,2022-03-18,3834,9,Final,Cincinnati Reds,Tanner Tully,Brett Daniels,2022-03-18 - Cincinnati Reds (2) @ Cleveland Guardians (3) (Final),S,2,Cleveland Guardians,706984,Cleveland Guardians,3,1,Aaron Pinto,114,Cincinnati Reds,CLE wins Spring,Phillip Diehl,['MLB.tv Free Game']
,Adam Scott,N,,Bottom,Camelback Ranch,2022-03-19T20:05:00Z,114,2022-03-19,3809,9,Final,Cleveland Guardians,Brandon Finnegan,Adam Scott,2022-03-19 - Cleveland Guardians (11) @ Chicago White Sox (2) (Final),S,11,Chicago White Sox,707003,Cleveland Guardians,2,1,,145,Chicago White Sox,CLE wins Spring,McKinley Moore,[]
,Kirk McCarty,N,,Bottom,Hohokam Stadium,2022-03-20T20:05:00Z,114,2022-03-20,2507,9,Final: Tied,Cleveland Guardians,Cole Irvin,,2022-03-20 - Cleveland Guardians @ Oakland Athletics (Final: Tied),S,9,Oakland Athletics,706877,,9,1,,133,,,,['MLB.tv Free Game']
,Taylor Hearn,N,,Bottom,Goodyear Ballpark,2022-03-21T20:05:00Z,140,2022-03-21,3834,9,Final,Texas Rangers,Logan Allen,Taylor Hearn,2022-03-21 - Texas Rangers (25) @ Cleveland Guardians (12) (Final),S,25,Cleveland Guardians,706988,Texas Rangers,12,1,,114,Cleveland Guardians,TEX wins Spring,Logan Allen,['MLB.tv Free Game']
,Joe Musgrove,N,,Top,Goodyear Ballpark,2022-03-22T20:05:00Z,135,2022-03-22,3834,9,Final,San Diego Padres,Zach Plesac,Zach Plesac,2022-03-22 - San Diego Padres (1) @ Cleveland Guardians (6) (Final),S,1,Cleveland Guardians,706985,Cleveland Guardians,6,1,,114,San Diego Padres,CLE wins Spring,Joe Musgrove,['MLB.tv Free Game']
,Shane Bieber,N,,Top,Camelback Ranch,2022-03-23T20:05:00Z,114,2022-03-23,3809,9,Final,Cleveland Guardians,Clayton Kershaw,Clayton Kershaw,2022-03-23 - Cleveland Guardians (2) @ Los Angeles Dodgers (6) (Final),S,2,Los Angeles Dodgers,706933,Los Angeles Dodgers,6,1,,119,Cleveland Guardians,LAD wins Spring,Shane Bieber,['MLB.tv Free Game']
,Logan Gilbert,N,,Bottom,Goodyear Ballpark,2022-03-24T20:05:00Z,136,2022-03-24,3834,9,Final,Seattle Mariners,Cal Quantrill,Anthony Misiewicz,2022-03-24 - Seattle Mariners (3) @ Cleveland Guardians (2) (Final),S,3,Cleveland Guardians,706979,Seattle Mariners,2,1,Penn Murfee,114,Cleveland Guardians,SEA wins Spring,Tobias Myers,['MLB.tv Free Game']
,Aaron Civale,N,,Bottom,Scottsdale Stadium,2022-03-25T20:05:00Z,114,2022-03-25,2532,9,Final,Cleveland Guardians,Anthony DeSclafani,Aaron Civale,2022-03-25 - Cleveland Guardians (10) @ San Francisco Giants (2) (Final),S,10,San Francisco Giants,706839,Cleveland Guardians,2,1,,137,San Francisco Giants,CLE wins Spring,Jarlin Garcia,[]
,Daulton Jefferies,N,,Top,Goodyear Ballpark,2022-03-26T20:05:00Z,133,2022-03-26,3834,9,Final,Oakland Athletics,Logan Allen,Logan Allen,2022-03-26 - Oakland Athletics (2) @ Cleveland Guardians (9) (Final),S,2,Cleveland Guardians,706980,Cleveland Guardians,9,1,,114,Oakland Athletics,CLE wins Spring,Daulton Jefferies,[]
,Zach Plesac,N,,Top,Peoria Stadium,2022-03-27T20:10:00Z,114,2022-03-27,2530,9,Final,Cleveland Guardians,Yu Darvish,Yu Darvish,2022-03-27 - Cleveland Guardians (1) @ San Diego Padres (5) (Final),S,1,San Diego Padres,706851,San Diego Padres,5,1,,135,Cleveland Guardians,SD wins Spring,Zach Plesac,[]
