away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Tommy Henry,N,,Top,Salt River Fields at Talking Stick,2022-03-17T20:10:00Z,109,2022-03-17,4249,9,Final,Arizona Diamondbacks,Ty Blach,Brandon Gold,2022-03-17 - Arizona Diamondbacks (3) @ Colorado Rockies (5) (Final),S,3,Colorado Rockies,706975,Colorado Rockies,5,1,Heath Holder,115,Arizona Diamondbacks,COL leads 1-0,Tommy Henry,[]
,Zach Neal,N,,Bottom,Salt River Fields at Talking Stick,2022-03-18T20:10:00Z,115,2022-03-18,4249,9,Final,Colorado Rockies,Kyle Nelson,Logan Cozart,2022-03-18 - Colorado Rockies (5) @ Arizona Diamondbacks (3) (Final),S,5,Arizona Diamondbacks,707051,Colorado Rockies,3,1,Nick Kennedy,109,Arizona Diamondbacks,COL wins 2-0,Jesus Liranzo,['MLB.tv Free Game']
,Tyler Beede,N,,Bottom,Salt River Fields at Talking Stick,2022-03-19T20:10:00Z,137,2022-03-19,4249,9,Final,San Francisco Giants,Matt Dennis,Enmanuel De Jesus,2022-03-19 - San Francisco Giants (8) @ Colorado Rockies (5) (Final),S,8,Colorado Rockies,706978,San Francisco Giants,5,1,Peter Tago,115,Colorado Rockies,SF wins Spring,Frank Duncan,[]
,Vince Velasquez,N,,Bottom,Salt River Fields at Talking Stick,2022-03-20T20:10:00Z,145,2022-03-20,4249,9,Final,Chicago White Sox,Ryan Feltner,Vince Velasquez,2022-03-20 - Chicago White Sox (4) @ Colorado Rockies (2) (Final),S,4,Colorado Rockies,706976,Chicago White Sox,2,1,Will Carter,115,Colorado Rockies,CWS wins Spring,Ryan Feltner,[]
,Ryan Rolison,N,,Bottom,Peoria Stadium,2022-03-21T20:10:00Z,115,2022-03-21,2530,9,Final,Colorado Rockies,Yu Darvish,Lucas Gilbreath,2022-03-21 - Colorado Rockies (8) @ San Diego Padres (4) (Final),S,8,San Diego Padres,706849,Colorado Rockies,4,1,,135,San Diego Padres,COL wins Spring,Angel Felipe,['MLB.tv Free Game']
,Kyle Freeland,N,,Top,Tempe Diablo Stadium,2022-03-22T20:10:00Z,115,2022-03-22,2500,9,Final,Colorado Rockies,Cesar Valdez,Raisel Iglesias,2022-03-22 - Colorado Rockies (4) @ Los Angeles Angels (7) (Final),S,4,Los Angeles Angels,706939,Los Angeles Angels,7,1,Zac Kristofak,108,Colorado Rockies,LAA wins Spring,Kyle Freeland,['MLB.tv Free Game']
,Zack Greinke,N,,Bottom,Salt River Fields at Talking Stick,2022-03-23T20:10:00Z,118,2022-03-23,4249,9,Final,Kansas City Royals,Ty Blach,Brad Keller,2022-03-23 - Kansas City Royals (8) @ Colorado Rockies (4) (Final),S,8,Colorado Rockies,706971,Kansas City Royals,4,1,,115,Colorado Rockies,KC wins Spring,Jordan Sheffield,[]
,Tony Gonsolin,N,,Bottom,Salt River Fields at Talking Stick,2022-03-24T20:10:00Z,119,2022-03-24,4249,9,Final: Tied,Los Angeles Dodgers,Zach Neal,,2022-03-24 - Los Angeles Dodgers @ Colorado Rockies (Final: Tied),S,6,Colorado Rockies,706972,,6,1,,115,,,,['MLB.tv Free Game']
,German Marquez,N,,Bottom,Sloan Park,2022-03-25T20:05:00Z,115,2022-03-25,4629,9,Final,Colorado Rockies,Alec Mills,German Marquez,2022-03-25 - Colorado Rockies (17) @ Chicago Cubs (1) (Final),S,17,Chicago Cubs,707011,Colorado Rockies,1,1,,112,Chicago Cubs,COL wins Spring,Alec Mills,[]
,Taylor Hearn,N,,Top,Salt River Fields at Talking Stick,2022-03-26T20:10:00Z,140,2022-03-26,4249,9,Final,Texas Rangers,Austin Gomber,Robert Stephenson,2022-03-26 - Texas Rangers (7) @ Colorado Rockies (8) (Final),S,7,Colorado Rockies,706974,Colorado Rockies,8,1,Julian Fernandez,115,Texas Rangers,COL wins Spring,Jesus Tinoco,[]
,Kyle Freeland,N,,Bottom,Goodyear Ballpark,2022-03-27T20:05:00Z,115,2022-03-27,3834,9,Final: Tied,Colorado Rockies,James Marinan,,2022-03-27 - Colorado Rockies @ Cincinnati Reds (Final: Tied),S,4,Cincinnati Reds,706992,,4,1,,113,,,,[]
,Ryan Rolison,N,,Top,Salt River Fields at Talking Stick,2022-03-27T20:10:00Z,115,2022-03-27,4249,9,Final,Colorado Rockies,Madison Bumgarner,Mitchell Stumpo,2022-03-27 - Colorado Rockies (2) @ Arizona Diamondbacks (5) (Final),S,2,Arizona Diamondbacks,707117,Arizona Diamondbacks,5,1,Tommy Henry,109,Colorado Rockies,AZ wins Spring,Ryan Rolison,[]
,Jose Suarez,N,,Bottom,Salt River Fields at Talking Stick,2022-03-29T20:10:00Z,108,2022-03-29,4249,9,Final,Los Angeles Angels,Antonio Senzatela,Jose Suarez,2022-03-29 - Los Angeles Angels (8) @ Colorado Rockies (2) (Final),S,8,Colorado Rockies,706973,Los Angeles Angels,2,1,,115,Colorado Rockies,LAA wins Spring,Antonio Senzatela,[]
,Zac Gallen,N,,Bottom,Salt River Fields at Talking Stick,2022-03-30T20:10:00Z,109,2022-03-30,4249,9,Final,Arizona Diamondbacks,German Marquez,Caleb Smith,2022-03-30 - Arizona Diamondbacks (9) @ Colorado Rockies (2) (Final),S,9,Colorado Rockies,706968,Arizona Diamondbacks,2,1,,115,Colorado Rockies,AZ wins Spring,Jordan Sheffield,[]
,Chad Kuhl,N,,Top,Scottsdale Stadium,2022-03-31T20:05:00Z,115,2022-03-31,2532,9,Final,Colorado Rockies,Alex Wood,Alex Wood,2022-03-31 - Colorado Rockies (2) @ San Francisco Giants (13) (Final),S,2,San Francisco Giants,706841,San Francisco Giants,13,1,Jakob Junis,137,Colorado Rockies,SF wins Spring,Chad Kuhl,[]
,Matt Brash,N,,Bottom,Salt River Fields at Talking Stick,2022-04-02T01:40:00Z,136,2022-04-01,4249,9,Final,Seattle Mariners,Kyle Freeland,Daniel Bard,2022-04-01 - Seattle Mariners (1) @ Colorado Rockies (2) (Final),S,1,Colorado Rockies,706970,Colorado Rockies,2,1,,115,Seattle Mariners,COL wins Spring,Matt Festa,[]
,Matt Dennis,N,,Bottom,Hohokam Stadium,2022-04-02T20:05:00Z,115,2022-04-02,2507,9,Final: Tied,Colorado Rockies,Paul Blackburn,,2022-04-02 - Colorado Rockies @ Oakland Athletics (Final: Tied),S,11,Oakland Athletics,706875,,11,1,,133,,,,[]
,Brandon Gold,N,,Bottom,Camelback Ranch,2022-04-03T20:05:00Z,115,2022-04-03,3809,9,Final,Colorado Rockies,Lucas Giolito,Ashton Goudeau,2022-04-03 - Colorado Rockies (13) @ Chicago White Sox (4) (Final),S,13,Chicago White Sox,706996,Colorado Rockies,4,1,,145,Chicago White Sox,COL wins Spring,Lucas Giolito,[]
,Freddy Peralta,N,,Bottom,Salt River Fields at Talking Stick,2022-04-05T01:40:00Z,158,2022-04-04,4249,9,Final,Milwaukee Brewers,,Brad Boxberger,2022-04-04 - Milwaukee Brewers (8) @ Colorado Rockies (7) (Final),S,8,Colorado Rockies,706969,Milwaukee Brewers,7,1,Jandel Gustave,115,Colorado Rockies,MIL wins Spring,Carlos Estevez,[]
