away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,summary,winning_pitcher,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Michael Kelly,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-03-18T17:05:00Z,143,2022-03-18,2511,9,Completed Early,Philadelphia Phillies,Eduardo Rodriguez,2022-03-18 - Philadelphia Phillies @ Detroit Tigers (Completed Early),,S,6,Detroit Tigers,706967,,6,1,,116,,,,['MLB.tv Free Game']
,Casey Mize,N,,Top,LECOM Park,2022-03-19T17:05:00Z,116,2022-03-19,2526,9,Final,Detroit Tigers,Mitch Keller,2022-03-19 - Detroit Tigers (3) @ Pittsburgh Pirates (6) (Final),Mike Burrows,S,3,Pittsburgh Pirates,706859,Pittsburgh Pirates,6,1,Matt Eckelman,134,Detroit Tigers,PIT wins Spring,Garrett Hill,['MLB.tv Free Game']
,Tarik Skubal,N,,Bottom,George M. Steinbrenner Field,2022-03-20T17:05:00Z,116,2022-03-20,2523,9,Final,Detroit Tigers,Luis Severino,2022-03-20 - Detroit Tigers (8) @ New York Yankees (7) (Final),Ricardo Pinto,S,8,New York Yankees,706886,Detroit Tigers,7,1,,147,New York Yankees,DET wins Spring,Michael Gomez,['MLB.tv Free Game']
,Alek Manoah,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-03-21T17:05:00Z,141,2022-03-21,2511,9,Final,Toronto Blue Jays,Matt Manning,2022-03-21 - Toronto Blue Jays (3) @ Detroit Tigers (1) (Final),Nate Pearson,S,3,Detroit Tigers,706963,Toronto Blue Jays,1,1,Jeremy Beasley,116,Detroit Tigers,TOR wins Spring,Miguel Del Pozo,['MLB.tv Free Game']
,Tyler Alexander,N,,Top,BayCare Ballpark,2022-03-22T17:05:00Z,116,2022-03-22,2700,9,Final,Detroit Tigers,Bailey Falter,2022-03-22 - Detroit Tigers (2) @ Philadelphia Phillies (7) (Final),Brad Hand,S,2,Philadelphia Phillies,706866,Philadelphia Phillies,7,1,,143,Detroit Tigers,PHI wins Spring,Drew Hutchison,['MLB.tv Free Game']
,Wil Crowe,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-03-23T17:05:00Z,134,2022-03-23,2511,9,Final: Tied,Pittsburgh Pirates,Eduardo Rodriguez,2022-03-23 - Pittsburgh Pirates @ Detroit Tigers (Final: Tied),,S,6,Detroit Tigers,706964,,6,1,,116,,,,['MLB.tv Free Game']
,Clarke Schmidt,N,,End,Publix Field at Joker Marchant Stadium,2022-03-24T17:05:00Z,147,2022-03-24,2511,7,Completed Early: Rain,New York Yankees,Casey Mize,2022-03-24 - New York Yankees @ Detroit Tigers (Completed Early: Rain),,S,3,Detroit Tigers,706965,,5,1,,116,,DET wins Spring,,['MLB.tv Free Game']
,Tarik Skubal,N,,Bottom,TD Ballpark,2022-03-25T17:07:00Z,116,2022-03-25,2536,9,Final,Detroit Tigers,Hyun Jin Ryu,2022-03-25 - Detroit Tigers (8) @ Toronto Blue Jays (4) (Final),Chase Anderson,S,8,Toronto Blue Jays,706799,Detroit Tigers,4,1,Ricardo Pinto,141,Toronto Blue Jays,DET wins Spring,Julian Merryweather,[]
,Zach Eflin,N,,Top,Publix Field at Joker Marchant Stadium,2022-03-26T17:05:00Z,143,2022-03-26,2511,9,Final,Philadelphia Phillies,Matt Manning,2022-03-26 - Philadelphia Phillies (8) @ Detroit Tigers (14) (Final),Michael Fulmer,S,8,Detroit Tigers,706959,Detroit Tigers,14,1,,116,Philadelphia Phillies,DET wins Spring,Jeff Singer,[]
,Tyler Alexander,N,,Top,Ed Smith Stadium,2022-03-27T17:05:00Z,116,2022-03-27,2508,9,Final,Detroit Tigers,John Means,2022-03-27 - Detroit Tigers (4) @ Baltimore Orioles (5) (Final),Cole Sulser,S,4,Baltimore Orioles,707026,Baltimore Orioles,5,1,Bryan Baker,110,Detroit Tigers,BAL wins Spring,Bryan Garcia,[]
,Deivi Garcia,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-03-28T17:05:00Z,147,2022-03-28,2511,9,Final,New York Yankees,Eduardo Rodriguez,2022-03-28 - New York Yankees (11) @ Detroit Tigers (7) (Final),Aroldis Chapman,S,11,Detroit Tigers,706960,New York Yankees,7,1,,116,Detroit Tigers,NYY wins Spring,Eduardo Rodriguez,[]
,Tarik Skubal,N,,Bottom,BayCare Ballpark,2022-03-30T17:05:00Z,116,2022-03-30,2700,9,Final,Detroit Tigers,Kyle Gibson,2022-03-30 - Detroit Tigers (7) @ Philadelphia Phillies (1) (Final),Tarik Skubal,S,7,Philadelphia Phillies,706868,Detroit Tigers,1,1,,143,Philadelphia Phillies,DET wins Spring,Kyle Gibson,[]
,Matt Manning,N,,Top,TD Ballpark,2022-03-31T17:07:00Z,116,2022-03-31,2536,9,Final,Detroit Tigers,Alek Manoah,2022-03-31 - Detroit Tigers (3) @ Toronto Blue Jays (5) (Final),Alek Manoah,S,3,Toronto Blue Jays,706795,Toronto Blue Jays,5,1,Joe Biagini,141,Detroit Tigers,TOR wins Spring,Matt Manning,[]
,Gerrit Cole,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-04-01T17:05:00Z,147,2022-04-01,2511,9,Final,New York Yankees,Tyler Alexander,2022-04-01 - New York Yankees (6) @ Detroit Tigers (2) (Final),Chad Green,S,6,Detroit Tigers,706961,New York Yankees,2,1,,116,Detroit Tigers,NYY wins Spring,Jason Foley,[]
,John Means,N,,Top,Publix Field at Joker Marchant Stadium,2022-04-02T17:05:00Z,110,2022-04-02,2511,6,Completed Early: Rain,Baltimore Orioles,Eduardo Rodriguez,2022-04-02 - Baltimore Orioles @ Detroit Tigers (Completed Early: Rain),,S,2,Detroit Tigers,706962,,0,1,,116,,BAL wins Spring,,[]
,Casey Mize,N,,Top,BayCare Ballpark,2022-04-03T17:05:00Z,116,2022-04-03,2700,9,Final,Detroit Tigers,Aaron Nola,2022-04-03 - Detroit Tigers (7) @ Philadelphia Phillies (8) (Final),Jonathan Hennigan,S,7,Philadelphia Phillies,706865,Philadelphia Phillies,8,1,Michael Kelly,143,Detroit Tigers,PHI wins Spring,Jose Cisnero,[]
,Kevin Gausman,N,,Top,Publix Field at Joker Marchant Stadium,2022-04-04T17:05:00Z,141,2022-04-04,2511,9,Final,Toronto Blue Jays,Tarik Skubal,2022-04-04 - Toronto Blue Jays (2) @ Detroit Tigers (4) (Final),Drew Hutchison,S,2,Detroit Tigers,706957,Detroit Tigers,4,1,,116,Toronto Blue Jays,DET wins Spring,Matt Gage,[]
,Matt Manning,N,,Bottom,George M. Steinbrenner Field,2022-04-05T17:05:00Z,116,2022-04-05,2523,9,Final,Detroit Tigers,Manny Banuelos,2022-04-05 - Detroit Tigers (5) @ New York Yankees (3) (Final),Matt Manning,S,5,New York Yankees,706883,Detroit Tigers,3,1,Aaron Haase,147,New York Yankees,DET wins Spring,Manny Banuelos,[]
,Keegan Akin,N,,,Publix Field at Joker Marchant Stadium,2022-04-06T17:05:00Z,110,2022-04-06,2511,,Cancelled,Baltimore Orioles,Tyler Alexander,2022-04-06 - Baltimore Orioles @ Detroit Tigers (Cancelled),,S,0,Detroit Tigers,707079,,0,1,,116,,,,[]
,Lucas Giolito,N,,Bottom,Comerica Park,2022-04-08T17:10:00Z,145,2022-04-08,2394,9,Final,Chicago White Sox,Eduardo Rodriguez,2022-04-08 - Chicago White Sox (4) @ Detroit Tigers (5) (Final),Gregory Soto,R,4,Detroit Tigers,662888,Detroit Tigers,5,1,,116,Chicago White Sox,DET leads 1-0,Liam Hendriks,[]
,Dylan Cease,N,,Bottom,Comerica Park,2022-04-09T17:10:00Z,145,2022-04-09,2394,9,Final,Chicago White Sox,Casey Mize,2022-04-09 - Chicago White Sox (5) @ Detroit Tigers (2) (Final),Dylan Cease,R,5,Detroit Tigers,662864,Chicago White Sox,2,1,Aaron Bummer,116,Detroit Tigers,Series tied 1-1,Casey Mize,['MLBN (out-of-market only)']
,Michael Kopech,N,,Bottom,Comerica Park,2022-04-10T17:10:00Z,145,2022-04-10,2394,9,Final,Chicago White Sox,Tarik Skubal,2022-04-10 - Chicago White Sox (10) @ Detroit Tigers (1) (Final),Kyle Crick,R,10,Detroit Tigers,662887,Chicago White Sox,1,1,,116,Detroit Tigers,CWS wins 2-1,Tarik Skubal,[]
,Michael Wacha,N,,Top,Comerica Park,2022-04-11T21:10:00Z,111,2022-04-11,2394,9,Final,Boston Red Sox,Matt Manning,2022-04-11 - Boston Red Sox (1) @ Detroit Tigers (3) (Final),Michael Fulmer,R,1,Detroit Tigers,662863,Detroit Tigers,3,1,Gregory Soto,116,Boston Red Sox,DET leads 1-0,Austin Davis,[]
,Rich Hill,N,,Bottom,Comerica Park,2022-04-12T17:10:00Z,111,2022-04-12,2394,9,Final,Boston Red Sox,Tyler Alexander,2022-04-12 - Boston Red Sox (5) @ Detroit Tigers (3) (Final),Garrett Whitlock,R,5,Detroit Tigers,662862,Boston Red Sox,3,1,,116,Detroit Tigers,Series tied 1-1,Alex Lange,['MLB.tv Free Game']
,Nathan Eovaldi,N,,Bottom,Comerica Park,2022-04-13T17:10:00Z,111,2022-04-13,2394,9,Final,Boston Red Sox,Eduardo Rodriguez,2022-04-13 - Boston Red Sox (9) @ Detroit Tigers (7) (Final),Nathan Eovaldi,R,9,Detroit Tigers,662885,Boston Red Sox,7,1,Hansel Robles,116,Detroit Tigers,BOS wins 2-1,Eduardo Rodriguez,[]
,Casey Mize,N,,Bottom,Kauffman Stadium,2022-04-15T00:10:00Z,116,2022-04-14,7,9,Final,Detroit Tigers,Zack Greinke,2022-04-14 - Detroit Tigers (4) @ Kansas City Royals (2) (Final),Joe Jimenez,R,4,Kansas City Royals,662702,Detroit Tigers,2,1,Gregory Soto,118,Kansas City Royals,DET leads 1-0,Jake Brentz,[]
,Tarik Skubal,N,,Bottom,Kauffman Stadium,2022-04-16T00:10:00Z,116,2022-04-15,7,9,Final,Detroit Tigers,Brad Keller,2022-04-15 - Detroit Tigers (2) @ Kansas City Royals (1) (Final),Jacob Barnes,R,2,Kansas City Royals,662701,Detroit Tigers,1,1,Michael Fulmer,118,Kansas City Royals,DET wins 2-0,Brad Keller,[]
