away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Justin Verlander,N,,Top,Roger Dean Chevrolet Stadium,2022-03-18T17:05:00Z,117,2022-03-18,2520,9,Final,Houston Astros,Adam Wainwright,Genesis Cabrera,2022-03-18 - Houston Astros (2) @ St. Louis Cardinals (4) (Final),S,2,St. Louis Cardinals,706825,St. Louis Cardinals,4,1,Kyle Ryan,138,Houston Astros,STL wins Spring,J.P. France,"['MLBN', 'MLB.tv Free Game']"
,Jimmy Endersby,N,,Top,Roger Dean Chevrolet Stadium,2022-03-19T17:05:00Z,117,2022-03-19,2520,9,Final,Houston Astros,Pablo Lopez,Pablo Lopez,2022-03-19 - Houston Astros (2) @ Miami Marlins (10) (Final),S,2,Miami Marlins,706922,Miami Marlins,10,1,,146,Houston Astros,MIA wins Spring,Jimmy Endersby,[]
,Anibal Sanchez,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-20T17:05:00Z,120,2022-03-20,5000,9,Final,Washington Nationals,Hunter Brown,Cade Cavalli,2022-03-20 - Washington Nationals (3) @ Houston Astros (2) (Final),S,3,Houston Astros,706958,Washington Nationals,2,1,,117,Houston Astros,WSH wins Spring,Chad Donato,[]
,Jake Odorizzi,N,,Top,Clover Park,2022-03-22T22:10:00Z,117,2022-03-22,2856,9,Final,Houston Astros,Jacob deGrom,Trevor Williams,2022-03-22 - Houston Astros (0) @ New York Mets (2) (Final),S,0,New York Mets,706897,New York Mets,2,1,Rob Zastryzny,121,Houston Astros,NYM wins Spring,Zac Rosscup,['MLB.tv Free Game']
,Adam Wainwright,N,,Top,The Ballpark of the Palm Beaches,2022-03-23T17:05:00Z,138,2022-03-23,5000,9,Final,St. Louis Cardinals,Justin Verlander,Justin Verlander,2022-03-23 - St. Louis Cardinals (3) @ Houston Astros (10) (Final),S,3,Houston Astros,706955,Houston Astros,10,1,,117,St. Louis Cardinals,HOU wins Spring,Adam Wainwright,[]
,Brandon Bielak,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-24T22:05:00Z,117,2022-03-24,5000,9,Final,Houston Astros,Josiah Gray,Bryan Abreu,2022-03-24 - Houston Astros (10) @ Washington Nationals (8) (Final),S,10,Washington Nationals,706789,Houston Astros,8,1,Jon Olczak,120,Washington Nationals,HOU wins Spring,Sean Doolittle,['MLB.tv Free Game']
,Tylor Megill,N,,Top,The Ballpark of the Palm Beaches,2022-03-25T22:05:00Z,121,2022-03-25,5000,9,Final,New York Mets,Hunter Brown,Hunter Brown,2022-03-25 - New York Mets (1) @ Houston Astros (2) (Final),S,1,Houston Astros,706954,Houston Astros,2,1,Ronel Blanco,117,New York Mets,HOU wins Spring,Tylor Megill,[]
,Luis Garcia,N,,Bottom,Roger Dean Chevrolet Stadium,2022-03-27T17:05:00Z,117,2022-03-27,2520,9,Final,Houston Astros,Jesus Luzardo,Peter Solomon,2022-03-27 - Houston Astros (4) @ Miami Marlins (3) (Final),S,4,Miami Marlins,706925,Houston Astros,3,1,Seth Martinez,146,Miami Marlins,HOU wins Spring,Richard Bleier,[]
,Framber Valdez,N,,Bottom,Roger Dean Chevrolet Stadium,2022-03-28T17:05:00Z,117,2022-03-28,2520,9,Final,Houston Astros,Adam Wainwright,Framber Valdez,2022-03-28 - Houston Astros (2) @ St. Louis Cardinals (1) (Final),S,2,St. Louis Cardinals,706822,Houston Astros,1,1,Blake Taylor,138,St. Louis Cardinals,HOU wins Spring,Adam Wainwright,[]
,Carl Edwards Jr.,N,,Top,The Ballpark of the Palm Beaches,2022-03-29T17:05:00Z,120,2022-03-29,5000,9,Final,Washington Nationals,Justin Verlander,Justin Verlander,2022-03-29 - Washington Nationals (1) @ Houston Astros (3) (Final),S,1,Houston Astros,706952,Houston Astros,3,1,Josh James,117,Washington Nationals,HOU wins Spring,Tanner Rainey,[]
