away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,summary,winning_pitcher,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Jonathan Heasley,N,,Bottom,Surprise Stadium,2022-03-18T20:05:00Z,118,2022-03-18,2603,9,Final: Tied,Kansas City Royals,Jake Latz,2022-03-18 - Kansas City Royals @ Texas Rangers (Final: Tied),,S,5,Texas Rangers,706813,,5,1,,140,,,,[]
,Brandon Pfaadt,N,,Bottom,Surprise Stadium,2022-03-20T20:05:00Z,109,2022-03-20,2603,9,Final,Arizona Diamondbacks,Jackson Kowar,2022-03-20 - Arizona Diamondbacks (10) @ Kansas City Royals (11) (Final),Jace Vines,S,10,Kansas City Royals,706950,Kansas City Royals,11,1,,118,Arizona Diamondbacks,KC wins Spring,Blake Workman,['MLB.tv Free Game']
,Brady Singer,N,,Bottom,Tempe Diablo Stadium,2022-03-21T20:10:00Z,118,2022-03-21,2500,9,Final,Kansas City Royals,Shohei Ohtani,2022-03-21 - Kansas City Royals (8) @ Los Angeles Angels (5) (Final),Colten Brewer,S,8,Los Angeles Angels,706941,Kansas City Royals,5,1,Andres Sotillet,108,Los Angeles Angels,KC wins Spring,Brian Moran,['MLB.tv Free Game']
,Frankie Montas,N,,Top,Surprise Stadium,2022-03-22T20:05:00Z,133,2022-03-22,2603,9,Final,Oakland Athletics,Angel Zerpa,2022-03-22 - Oakland Athletics (3) @ Kansas City Royals (5) (Final),Jake Brentz,S,3,Kansas City Royals,706948,Kansas City Royals,5,1,Scott Barlow,118,Oakland Athletics,KC wins Spring,Miguel Romero,['MLB.tv Free Game']
,Zack Greinke,N,,Bottom,Salt River Fields at Talking Stick,2022-03-23T20:10:00Z,118,2022-03-23,4249,9,Final,Kansas City Royals,Ty Blach,2022-03-23 - Kansas City Royals (8) @ Colorado Rockies (4) (Final),Brad Keller,S,8,Colorado Rockies,706971,Kansas City Royals,4,1,,115,Colorado Rockies,KC wins Spring,Jordan Sheffield,[]
,Nick Lodolo,N,,Bottom,Surprise Stadium,2022-03-24T20:05:00Z,113,2022-03-24,2603,9,Final,Cincinnati Reds,Daniel Lynch,2022-03-24 - Cincinnati Reds (4) @ Kansas City Royals (5) (Final),Collin Snider,S,4,Kansas City Royals,706949,Kansas City Royals,5,1,,118,Cincinnati Reds,KC wins Spring,Connor Overton,[]
,Dane Dunning,N,,Bottom,Surprise Stadium,2022-03-25T20:05:00Z,140,2022-03-25,2603,9,Final,Texas Rangers,Carlos Hernandez,2022-03-25 - Texas Rangers (8) @ Kansas City Royals (4) (Final),Dane Dunning,S,8,Kansas City Royals,706944,Texas Rangers,4,1,,118,Kansas City Royals,TEX wins Spring,Carlos Hernandez,[]
,Andre Jackson,N,,Bottom,Surprise Stadium,2022-03-27T01:05:00Z,119,2022-03-26,2603,9,Final,Los Angeles Dodgers,Brady Singer,2022-03-26 - Los Angeles Dodgers (10) @ Kansas City Royals (5) (Final),Evan Phillips,S,10,Kansas City Royals,706947,Los Angeles Dodgers,5,1,,118,Kansas City Royals,LAD wins Spring,Arodys Vizcaino,[]
,Angel Zerpa,N,,Top,Sloan Park,2022-03-27T20:05:00Z,118,2022-03-27,4629,9,Final,Kansas City Royals,Kyle Hendricks,2022-03-27 - Kansas City Royals (12) @ Chicago Cubs (13) (Final),Jesse Chavez,S,12,Chicago Cubs,707007,Chicago Cubs,13,1,Chris Martin,112,Kansas City Royals,CHC wins Spring,Jace Vines,[]
,Adam Scott,N,,Top,Surprise Stadium,2022-03-28T20:05:00Z,114,2022-03-28,2603,9,Final,Cleveland Guardians,Zack Greinke,2022-03-28 - Cleveland Guardians (9) @ Kansas City Royals (19) (Final),Zack Greinke,S,9,Kansas City Royals,706945,Kansas City Royals,19,1,,118,Cleveland Guardians,KC wins Spring,Adam Scott,[]
,Daniel Lynch,N,,Bottom,Peoria Stadium,2022-03-29T20:10:00Z,118,2022-03-29,2530,9,Final,Kansas City Royals,Logan Gilbert,2022-03-29 - Kansas City Royals (11) @ Seattle Mariners (4) (Final),Daniel Lynch,S,11,Seattle Mariners,706833,Kansas City Royals,4,1,,136,Seattle Mariners,KC wins Spring,Logan Gilbert,[]
,Anthony DeSclafani,N,,Bottom,Surprise Stadium,2022-03-30T20:05:00Z,137,2022-03-30,2603,9,Final,San Francisco Giants,Carlos Hernandez,2022-03-30 - San Francisco Giants (9) @ Kansas City Royals (5) (Final),Anthony DeSclafani,S,9,Kansas City Royals,706943,San Francisco Giants,5,1,,118,Kansas City Royals,SF wins Spring,Carlos Hernandez,[]
,Kris Bubic,N,,Bottom,Hohokam Stadium,2022-03-31T20:05:00Z,118,2022-03-31,2507,9,Final,Kansas City Royals,Daulton Jefferies,2022-03-31 - Kansas City Royals (5) @ Oakland Athletics (4) (Final),Kris Bubic,S,5,Oakland Athletics,706871,Kansas City Royals,4,1,Josh Staumont,133,Oakland Athletics,KC wins Spring,Daulton Jefferies,[]
,Jonathan Heasley,N,,Top,Peoria Stadium,2022-04-02T01:40:00Z,118,2022-04-01,2530,9,Final,Kansas City Royals,Yu Darvish,2022-04-01 - Kansas City Royals (2) @ San Diego Padres (4) (Final),Yu Darvish,S,2,San Diego Padres,706844,San Diego Padres,4,1,Kevin Kopps,135,Kansas City Royals,SD wins Spring,Jonathan Heasley,[]
,Logan Gilbert,N,,Bottom,Surprise Stadium,2022-04-03T20:05:00Z,136,2022-04-03,2603,9,Final,Seattle Mariners,Daniel Lynch,2022-04-03 - Seattle Mariners (10) @ Kansas City Royals (8) (Final),Anthony Misiewicz,S,10,Kansas City Royals,706946,Seattle Mariners,8,1,Chris Jefferson,118,Kansas City Royals,SEA wins Spring,Amir Garrett,[]
,Brad Keller,N,,Top,Goodyear Ballpark,2022-04-04T20:05:00Z,118,2022-04-04,3834,9,Final,Kansas City Royals,Vladimir Gutierrez,2022-04-04 - Kansas City Royals (6) @ Cincinnati Reds (10) (Final),Vladimir Gutierrez,S,6,Cincinnati Reds,706986,Cincinnati Reds,10,1,,113,Kansas City Royals,CIN wins Spring,Brad Keller,[]
,Carlos Hernandez,N,,Top,American Family Fields of Phoenix,2022-04-05T19:10:00Z,118,2022-04-05,2518,9,Final,Kansas City Royals,Adrian Houser,2022-04-05 - Kansas City Royals (4) @ Milwaukee Brewers (5) (Final),Stiven Cruz,S,4,Milwaukee Brewers,706908,Milwaukee Brewers,5,1,Jake Cousins,158,Kansas City Royals,MIL wins Spring,Zach Willeman,[]
,Shane Bieber,N,,Top,Kauffman Stadium,2022-04-07T20:10:00Z,114,2022-04-07,7,9,Final,Cleveland Guardians,Zack Greinke,2022-04-07 - Cleveland Guardians (1) @ Kansas City Royals (3) (Final),Scott Barlow,R,1,Kansas City Royals,662766,Kansas City Royals,3,1,,118,Cleveland Guardians,KC leads 1-0,Triston McKenzie,['MLB.tv Free Game']
,Zach Plesac,N,,Bottom,Kauffman Stadium,2022-04-09T20:10:00Z,114,2022-04-09,7,10,Final,Cleveland Guardians,Brad Keller,2022-04-09 - Cleveland Guardians (0) @ Kansas City Royals (1) (Final),Collin Snider,R,0,Kansas City Royals,662765,Kansas City Royals,1,1,,118,Cleveland Guardians,KC leads 2-0,Emmanuel Clase,[]
,Cal Quantrill,N,,Bottom,Kauffman Stadium,2022-04-10T18:10:00Z,114,2022-04-10,7,9,Final,Cleveland Guardians,Kris Bubic,2022-04-10 - Cleveland Guardians (17) @ Kansas City Royals (3) (Final),Cal Quantrill,R,17,Kansas City Royals,662755,Cleveland Guardians,3,1,,118,Kansas City Royals,KC leads 2-1,Kris Bubic,[]
,Aaron Civale,N,,Bottom,Kauffman Stadium,2022-04-11T18:10:00Z,114,2022-04-11,7,9,Final,Cleveland Guardians,Carlos Hernandez,2022-04-11 - Cleveland Guardians (10) @ Kansas City Royals (7) (Final),Logan Allen,R,10,Kansas City Royals,662754,Cleveland Guardians,7,1,,118,Kansas City Royals,Series tied 2-2,Jake Brentz,[]
,Daniel Lynch,N,,Top,Busch Stadium,2022-04-12T23:45:00Z,118,2022-04-12,2889,9,Final,Kansas City Royals,Dakota Hudson,2022-04-12 - Kansas City Royals (5) @ St. Louis Cardinals (6) (Final),Jordan Hicks,R,5,St. Louis Cardinals,662017,St. Louis Cardinals,6,1,Giovanny Gallegos,138,Kansas City Royals,STL wins Season,Daniel Lynch,[]
,Zack Greinke,N,,,Busch Stadium,2022-04-13T17:15:00Z,118,2022-04-13,2889,,Postponed,Kansas City Royals,Adam Wainwright,2022-04-13 - Kansas City Royals @ St. Louis Cardinals (Postponed),,R,0,St. Louis Cardinals,662009,,0,1,,138,,STL leads 1-0,,[]
,Casey Mize,N,,Bottom,Kauffman Stadium,2022-04-15T00:10:00Z,116,2022-04-14,7,9,Final,Detroit Tigers,Zack Greinke,2022-04-14 - Detroit Tigers (4) @ Kansas City Royals (2) (Final),Joe Jimenez,R,4,Kansas City Royals,662702,Detroit Tigers,2,1,Gregory Soto,118,Kansas City Royals,DET leads 1-0,Jake Brentz,[]
,Tarik Skubal,N,,Bottom,Kauffman Stadium,2022-04-16T00:10:00Z,116,2022-04-15,7,9,Final,Detroit Tigers,Brad Keller,2022-04-15 - Detroit Tigers (2) @ Kansas City Royals (1) (Final),Jacob Barnes,R,2,Kansas City Royals,662701,Detroit Tigers,1,1,Michael Fulmer,118,Kansas City Royals,DET wins 2-0,Brad Keller,[]
,Matt Manning,N,,Top,Kauffman Stadium,2022-04-16T20:10:00Z,116,2022-04-16,7,9,Final,Detroit Tigers,Kris Bubic,2022-04-16 - Detroit Tigers (1) @ Kansas City Royals (3) (Final),Collin Snider,R,1,Kansas City Royals,662798,Kansas City Royals,3,1,Josh Staumont,118,Detroit Tigers,DET wins 2-1,Will Vest,[]
