away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,summary,winning_pitcher,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Ethan Small,N,,Bottom,Camelback Ranch,2022-03-18T20:05:00Z,158,2022-03-18,3809,9,Final: Tied,Milwaukee Brewers,Clayton Kershaw,2022-03-18 - Milwaukee Brewers @ Los Angeles Dodgers (Final: Tied),,S,3,Los Angeles Dodgers,706934,,3,1,,119,,,,"['MLBN', 'MLB.tv Free Game']"
,Ryan Pepiot,N,,Top,Peoria Stadium,2022-03-19T20:10:00Z,119,2022-03-19,2530,9,Final,Los Angeles Dodgers,Levi Stoudt,2022-03-19 - Los Angeles Dodgers (6) @ Seattle Mariners (7) (Final),Levi Stoudt,S,6,Seattle Mariners,706836,Seattle Mariners,7,1,Ben Onyshko,136,Los Angeles Dodgers,SEA wins Spring,Ryan Pepiot,['MLB.tv Free Game']
,Alec Mills,N,,Bottom,Camelback Ranch,2022-03-20T20:05:00Z,112,2022-03-20,3809,9,Final: Tied,Chicago Cubs,Robbie Erlin,2022-03-20 - Chicago Cubs @ Los Angeles Dodgers (Final: Tied),,S,2,Los Angeles Dodgers,706932,,2,1,,119,,,,"['MLBN', 'MLB.tv Free Game']"
,Andre Jackson,N,,Top,Camelback Ranch,2022-03-21T20:05:00Z,119,2022-03-21,3809,9,Final,Los Angeles Dodgers,Tanner Banks,2022-03-21 - Los Angeles Dodgers (6) @ Chicago White Sox (8) (Final),Wes Benjamin,S,6,Chicago White Sox,707002,Chicago White Sox,8,1,Caleb Freeman,145,Los Angeles Dodgers,CWS wins Spring,Bobby Wahl,['MLB.tv Free Game']
,Vladimir Gutierrez,N,,Bottom,Camelback Ranch,2022-03-22T20:05:00Z,113,2022-03-22,3809,9,Final,Cincinnati Reds,Walker Buehler,2022-03-22 - Cincinnati Reds (10) @ Los Angeles Dodgers (8) (Final),Kyle Dowdy,S,10,Los Angeles Dodgers,706931,Cincinnati Reds,8,1,Pedro Garcia,119,Los Angeles Dodgers,CIN wins Spring,Andrew Heaney,['MLB.tv Free Game']
,Shane Bieber,N,,Top,Camelback Ranch,2022-03-23T20:05:00Z,114,2022-03-23,3809,9,Final,Cleveland Guardians,Clayton Kershaw,2022-03-23 - Cleveland Guardians (2) @ Los Angeles Dodgers (6) (Final),Clayton Kershaw,S,2,Los Angeles Dodgers,706933,Los Angeles Dodgers,6,1,,119,Cleveland Guardians,LAD wins Spring,Shane Bieber,['MLB.tv Free Game']
,Tony Gonsolin,N,,Bottom,Salt River Fields at Talking Stick,2022-03-24T20:10:00Z,119,2022-03-24,4249,9,Final: Tied,Los Angeles Dodgers,Zach Neal,2022-03-24 - Los Angeles Dodgers @ Colorado Rockies (Final: Tied),,S,6,Colorado Rockies,706972,,6,1,,115,,,,['MLB.tv Free Game']
,Nick Martinez,N,,Bottom,Camelback Ranch,2022-03-26T01:05:00Z,135,2022-03-25,3809,9,Final: Tied,San Diego Padres,Julio Urias,2022-03-25 - San Diego Padres @ Los Angeles Dodgers (Final: Tied),,S,5,Los Angeles Dodgers,706930,,5,1,,119,,,,[]
,Andre Jackson,N,,Bottom,Surprise Stadium,2022-03-27T01:05:00Z,119,2022-03-26,2603,9,Final,Los Angeles Dodgers,Brady Singer,2022-03-26 - Los Angeles Dodgers (10) @ Kansas City Royals (5) (Final),Evan Phillips,S,10,Kansas City Royals,706947,Los Angeles Dodgers,5,1,,118,Kansas City Royals,LAD wins Spring,Arodys Vizcaino,[]
,Dallas Keuchel,N,,Bottom,Camelback Ranch,2022-03-27T20:05:00Z,145,2022-03-27,3809,9,Final,Chicago White Sox,Andrew Heaney,2022-03-27 - Chicago White Sox (9) @ Los Angeles Dodgers (0) (Final),Dallas Keuchel,S,9,Los Angeles Dodgers,706926,Chicago White Sox,0,1,,119,Los Angeles Dodgers,CWS wins Spring,Andrew Heaney,[]
,Clayton Kershaw,N,,Top,Salt River Fields at Talking Stick,2022-03-28T20:10:00Z,119,2022-03-28,4249,9,Final,Los Angeles Dodgers,Corbin Martin,2022-03-28 - Los Angeles Dodgers (3) @ Arizona Diamondbacks (5) (Final),J.B. Wendelken,S,3,Arizona Diamondbacks,707045,Arizona Diamondbacks,5,1,Drey Jameson,109,Los Angeles Dodgers,AZ wins Spring,Guillermo Zuniga,[]
