away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Sandy Alcantara,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-18T22:05:00Z,146,2022-03-18,5000,9,Final,Miami Marlins,Josh Rogers,Sandy Alcantara,2022-03-18 - Miami Marlins (8) @ Washington Nationals (3) (Final),S,8,Washington Nationals,706791,Miami Marlins,3,1,,120,Washington Nationals,MIA wins Spring,Josh Rogers,[]
,Jimmy Endersby,N,,Top,Roger Dean Chevrolet Stadium,2022-03-19T17:05:00Z,117,2022-03-19,2520,9,Final,Houston Astros,Pablo Lopez,Pablo Lopez,2022-03-19 - Houston Astros (2) @ Miami Marlins (10) (Final),S,2,Miami Marlins,706922,Miami Marlins,10,1,,146,Houston Astros,MIA wins Spring,Jimmy Endersby,[]
,Max Scherzer,N,,Top,Roger Dean Chevrolet Stadium,2022-03-21T17:05:00Z,121,2022-03-21,2520,9,Final,New York Mets,Elieser Hernandez,Elieser Hernandez,2022-03-21 - New York Mets (0) @ Miami Marlins (3) (Final),S,0,Miami Marlins,706923,Miami Marlins,3,1,Anthony Bender,146,New York Mets,MIA wins Spring,Max Scherzer,[]
,Jesus Luzardo,N,,Top,Roger Dean Chevrolet Stadium,2022-03-22T17:05:00Z,146,2022-03-22,2520,9,Final,Miami Marlins,Dakota Hudson,Jake Woodford,2022-03-22 - Miami Marlins (3) @ St. Louis Cardinals (4) (Final),S,3,St. Louis Cardinals,706826,St. Louis Cardinals,4,1,Andre Pallante,138,Miami Marlins,STL wins Spring,Richard Bleier,['MLB.tv Free Game']
,Patrick Corbin,N,,Top,Roger Dean Chevrolet Stadium,2022-03-23T17:05:00Z,120,2022-03-23,2520,9,Final,Washington Nationals,Sandy Alcantara,Cody Poteet,2022-03-23 - Washington Nationals (2) @ Miami Marlins (3) (Final),S,2,Miami Marlins,706924,Miami Marlins,3,1,Huascar Brazoban,146,Washington Nationals,MIA wins Spring,Kyle Finnegan,[]
,Will Stewart,N,,Top,Clover Park,2022-03-24T22:10:00Z,146,2022-03-24,2856,9,Final,Miami Marlins,Sean Reid-Foley,Sean Reid-Foley,2022-03-24 - Miami Marlins (3) @ New York Mets (9) (Final),S,3,New York Mets,706896,New York Mets,9,1,,121,Miami Marlins,NYM wins Spring,Will Stewart,['MLB.tv Free Game']
,Trevor Rogers,N,,Bottom,Roger Dean Chevrolet Stadium,2022-03-26T17:05:00Z,146,2022-03-26,2520,9,Final,Miami Marlins,Steven Matz,Trevor Rogers,2022-03-26 - Miami Marlins (9) @ St. Louis Cardinals (2) (Final),S,9,St. Louis Cardinals,706824,Miami Marlins,2,1,,138,St. Louis Cardinals,MIA wins Spring,Steven Matz,[]
,Luis Garcia,N,,Bottom,Roger Dean Chevrolet Stadium,2022-03-27T17:05:00Z,117,2022-03-27,2520,9,Final,Houston Astros,Jesus Luzardo,Peter Solomon,2022-03-27 - Houston Astros (4) @ Miami Marlins (3) (Final),S,4,Miami Marlins,706925,Houston Astros,3,1,Seth Martinez,146,Miami Marlins,HOU wins Spring,Richard Bleier,[]
,Edward Cabrera,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-28T17:05:00Z,146,2022-03-28,5000,9,Final,Miami Marlins,Patrick Corbin,Edward Cabrera,2022-03-28 - Miami Marlins (8) @ Washington Nationals (1) (Final),S,8,Washington Nationals,706788,Miami Marlins,1,1,,120,Washington Nationals,MIA wins Spring,Patrick Corbin,[]
,Chris Bassitt,N,,Bottom,Roger Dean Chevrolet Stadium,2022-03-29T22:40:00Z,121,2022-03-29,2520,9,Final,New York Mets,Pablo Lopez,Chris Bassitt,2022-03-29 - New York Mets (10) @ Miami Marlins (0) (Final),S,10,Miami Marlins,706918,New York Mets,0,1,,146,Miami Marlins,NYM wins Spring,Pablo Lopez,[]
