away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,summary,winning_pitcher,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Ethan Small,N,,Bottom,,Camelback Ranch,2022-03-18T20:05:00Z,158,2022-03-18,3809,9,Final: Tied,Milwaukee Brewers,Clayton Kershaw,2022-03-18 - Milwaukee Brewers @ Los Angeles Dodgers (Final: Tied),,S,3,Los Angeles Dodgers,706934,,3,1,,119,,,,"['MLBN', 'MLB.tv Free Game']"
,Luis Perdomo,N,,Bottom,,Surprise Stadium,2022-03-19T20:05:00Z,158,2022-03-19,2603,9,Final,Milwaukee Brewers,Dane Dunning,2022-03-19 - Milwaukee Brewers (11) @ Texas Rangers (0) (Final),Luis Perdomo,S,11,Texas Rangers,706806,Milwaukee Brewers,0,1,,140,Texas Rangers,MIL wins Spring,Dane Dunning,[]
,Chris Paddack,N,,Top,,American Family Fields of Phoenix,2022-03-20T20:10:00Z,135,2022-03-20,2518,9,Final,San Diego Padres,Freddy Peralta,2022-03-20 - San Diego Padres (3) @ Milwaukee Brewers (6) (Final),Freddy Peralta,S,3,Milwaukee Brewers,706914,Milwaukee Brewers,6,1,,158,San Diego Padres,MIL wins Spring,Chris Paddack,['MLB.tv Free Game']
,Adrian Houser,N,,Bottom,,Scottsdale Stadium,2022-03-22T02:05:00Z,158,2022-03-21,2532,9,Final,Milwaukee Brewers,Alex Wood,2022-03-21 - Milwaukee Brewers (13) @ San Francisco Giants (6) (Final),Josh Lindblom,S,13,San Francisco Giants,706845,Milwaukee Brewers,6,1,,137,San Francisco Giants,MIL wins Spring,Matt Carasiti,['MLB.tv Free Game']
,Lucas Giolito,N,,Bottom,,American Family Fields of Phoenix,2022-03-22T20:10:00Z,145,2022-03-22,2518,9,Final,Chicago White Sox,Jason Alexander,2022-03-22 - Chicago White Sox (4) @ Milwaukee Brewers (3) (Final),Lucas Giolito,S,4,Milwaukee Brewers,706916,Chicago White Sox,3,1,Kyle Crick,158,Milwaukee Brewers,CWS wins Spring,Devin Williams,['MLB.tv Free Game']
,Corbin Burnes,N,,Top,,Goodyear Ballpark,2022-03-24T01:05:00Z,158,2022-03-23,3834,9,Final,Milwaukee Brewers,Tyler Mahle,2022-03-23 - Milwaukee Brewers (8) @ Cincinnati Reds (12) (Final),Jared Solomon,S,8,Cincinnati Reds,706994,Cincinnati Reds,12,1,,113,Milwaukee Brewers,CIN wins Spring,Brad Boxberger,['MLB.tv Free Game']
,Taylor Widener,N,,Bottom,,American Family Fields of Phoenix,2022-03-24T20:10:00Z,109,2022-03-24,2518,9,Final,Arizona Diamondbacks,Brandon Woodruff,2022-03-24 - Arizona Diamondbacks (10) @ Milwaukee Brewers (3) (Final),Taylor Widener,S,10,Milwaukee Brewers,706912,Arizona Diamondbacks,3,1,,158,Milwaukee Brewers,AZ wins Spring,Brandon Woodruff,['MLB.tv Free Game']
,Freddy Peralta,N,,Top,,Hohokam Stadium,2022-03-25T20:05:00Z,158,2022-03-25,2507,9,Final,Milwaukee Brewers,Cole Irvin,2022-03-25 - Milwaukee Brewers (3) @ Oakland Athletics (6) (Final),Justin Grimm,S,3,Oakland Athletics,706880,Oakland Athletics,6,1,Shohei Tomioka,133,Milwaukee Brewers,OAK wins Spring,Matt Hardy,[]
,Chris Flexen,N,,Top,Tie,American Family Fields of Phoenix,2022-03-26T20:10:00Z,136,2022-03-26,2518,9,Final,Seattle Mariners,Adrian Houser,2022-03-26 - Seattle Mariners (7) @ Milwaukee Brewers (7) (Final),,S,7,Milwaukee Brewers,706915,Tie,7,1,,158,,,,[]
,Logan Webb,N,,Top,,American Family Fields of Phoenix,2022-03-28T20:10:00Z,137,2022-03-28,2518,9,Final,San Francisco Giants,Corbin Burnes,2022-03-28 - San Francisco Giants (2) @ Milwaukee Brewers (5) (Final),Corbin Burnes,S,2,Milwaukee Brewers,706913,Milwaukee Brewers,5,1,Brent Suter,158,San Francisco Giants,MIL wins Spring,Logan Webb,[]
