away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Hayden Wesneski,N,,Top,LECOM Park,2022-03-18T17:05:00Z,147,2022-03-18,2526,9,Final,New York Yankees,Wil Crowe,Jerad Eickhoff,2022-03-18 - New York Yankees (3) @ Pittsburgh Pirates (4) (Final),S,3,Pittsburgh Pirates,706863,Pittsburgh Pirates,4,1,Blake Weiman,134,New York Yankees,PIT wins Spring,Braden Bristo,['MLB.tv Free Game']
,Ken Waldichuk,N,,Bottom,Ed Smith Stadium,2022-03-19T17:05:00Z,147,2022-03-19,2508,9,Final: Tied,New York Yankees,Ryan Hartman,,2022-03-19 - New York Yankees @ Baltimore Orioles (Final: Tied),S,3,Baltimore Orioles,707028,,3,1,,110,,,,[]
,Tarik Skubal,N,,Bottom,George M. Steinbrenner Field,2022-03-20T17:05:00Z,116,2022-03-20,2523,9,Final,Detroit Tigers,Luis Severino,Ricardo Pinto,2022-03-20 - Detroit Tigers (8) @ New York Yankees (7) (Final),S,8,New York Yankees,706886,Detroit Tigers,7,1,,147,New York Yankees,DET wins Spring,Michael Gomez,['MLB.tv Free Game']
,Hans Crouse,N,,Top,George M. Steinbrenner Field,2022-03-21T17:05:00Z,143,2022-03-21,2523,9,Final,Philadelphia Phillies,Jameson Taillon,Jameson Taillon,2022-03-21 - Philadelphia Phillies (2) @ New York Yankees (5) (Final),S,2,New York Yankees,706889,New York Yankees,5,1,Greg Weissert,147,Philadelphia Phillies,NYY wins Spring,Hans Crouse,['MLB.tv Free Game']
,Jordan Montgomery,N,,Top,TD Ballpark,2022-03-22T17:07:00Z,147,2022-03-22,2536,9,Final,New York Yankees,Yusei Kikuchi,Yusei Kikuchi,2022-03-22 - New York Yankees (2) @ Toronto Blue Jays (9) (Final),S,2,Toronto Blue Jays,706800,Toronto Blue Jays,9,1,,141,New York Yankees,TOR wins Spring,Jordan Montgomery,['MLB.tv Free Game']
,Kyle Bradish,N,,Top,George M. Steinbrenner Field,2022-03-23T22:35:00Z,110,2022-03-23,2523,9,Final,Baltimore Orioles,Deivi Garcia,Luis Gil,2022-03-23 - Baltimore Orioles (1) @ New York Yankees (7) (Final),S,1,New York Yankees,706890,New York Yankees,7,1,,147,Baltimore Orioles,NYY wins Spring,Alex Wells,['MLB.tv Free Game']
,Clarke Schmidt,N,,End,Publix Field at Joker Marchant Stadium,2022-03-24T17:05:00Z,147,2022-03-24,2511,7,Completed Early: Rain,New York Yankees,Casey Mize,,2022-03-24 - New York Yankees @ Detroit Tigers (Completed Early: Rain),S,3,Detroit Tigers,706965,,5,1,,116,,DET wins Spring,,['MLB.tv Free Game']
,Luis Severino,N,,Top,BayCare Ballpark,2022-03-25T17:05:00Z,147,2022-03-25,2700,9,Final,New York Yankees,Kyle Gibson,Seranthony Dominguez,2022-03-25 - New York Yankees (5) @ Philadelphia Phillies (6) (Final),S,5,Philadelphia Phillies,706870,Philadelphia Phillies,6,1,Andrew Bellatti,143,New York Yankees,PHI wins Spring,Ryan Weber,[]
,Alek Manoah,N,,Bottom,George M. Steinbrenner Field,2022-03-26T17:05:00Z,141,2022-03-26,2523,9,Final,Toronto Blue Jays,Michael King,Nate Pearson,2022-03-26 - Toronto Blue Jays (10) @ New York Yankees (9) (Final),S,10,New York Yankees,706888,Toronto Blue Jays,9,1,Andrew Vasquez,147,New York Yankees,TOR wins Spring,Vinny Nittoli,[]
,Jose Quintana,N,,Top,George M. Steinbrenner Field,2022-03-27T17:05:00Z,134,2022-03-27,2523,9,Final,Pittsburgh Pirates,Gerrit Cole,Jordan Montgomery,2022-03-27 - Pittsburgh Pirates (4) @ New York Yankees (7) (Final),S,4,New York Yankees,706887,New York Yankees,7,1,Zach Greene,147,Pittsburgh Pirates,NYY wins Spring,JT Brubaker,[]
,Deivi Garcia,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-03-28T17:05:00Z,147,2022-03-28,2511,9,Final,New York Yankees,Eduardo Rodriguez,Aroldis Chapman,2022-03-28 - New York Yankees (11) @ Detroit Tigers (7) (Final),S,11,Detroit Tigers,706960,New York Yankees,7,1,,116,Detroit Tigers,NYY wins Spring,Eduardo Rodriguez,[]
,Aaron Nola,N,,Top,George M. Steinbrenner Field,2022-03-29T17:05:00Z,143,2022-03-29,2523,9,Final,Philadelphia Phillies,Clarke Schmidt,Clarke Schmidt,2022-03-29 - Philadelphia Phillies (2) @ New York Yankees (14) (Final),S,2,New York Yankees,707065,New York Yankees,14,1,,147,Philadelphia Phillies,NYY wins Spring,Aaron Nola,[]
,Nick Allgeyer,N,,Bottom,George M. Steinbrenner Field,2022-03-30T22:35:00Z,141,2022-03-30,2523,9,Final,Toronto Blue Jays,Manny Banuelos,Trent Thornton,2022-03-30 - Toronto Blue Jays (11) @ New York Yankees (3) (Final),S,11,New York Yankees,706881,Toronto Blue Jays,3,1,,147,New York Yankees,TOR wins Spring,JP Sears,[]
,Jameson Taillon,N,,Top,BayCare Ballpark,2022-03-31T17:05:00Z,147,2022-03-31,2700,9,Final,New York Yankees,Zach Eflin,Zach Eflin,2022-03-31 - New York Yankees (3) @ Philadelphia Phillies (5) (Final),S,3,Philadelphia Phillies,706864,Philadelphia Phillies,5,1,Cam Bedrosian,143,New York Yankees,PHI wins Spring,Jameson Taillon,[]
,Gerrit Cole,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-04-01T17:05:00Z,147,2022-04-01,2511,9,Final,New York Yankees,Tyler Alexander,Chad Green,2022-04-01 - New York Yankees (6) @ Detroit Tigers (2) (Final),S,6,Detroit Tigers,706961,New York Yankees,2,1,,116,Detroit Tigers,NYY wins Spring,Jason Foley,[]
,Spencer Strider,N,,Top,George M. Steinbrenner Field,2022-04-02T17:05:00Z,144,2022-04-02,2523,6,Completed Early: Rain,Atlanta Braves,Luis Severino,,2022-04-02 - Atlanta Braves @ New York Yankees (Completed Early: Rain),S,0,New York Yankees,706885,,10,1,,147,,NYY wins Spring,,[]
,Luis Gil,N,,Top,TD Ballpark,2022-04-03T17:07:00Z,147,2022-04-03,2536,9,Final,New York Yankees,Shaun Anderson,Julian Merryweather,2022-04-03 - New York Yankees (5) @ Toronto Blue Jays (7) (Final),S,5,Toronto Blue Jays,706797,Toronto Blue Jays,7,1,Tim Mayza,141,New York Yankees,TOR wins Spring,Clarke Schmidt,[]
,Kyle Gibson,N,,Top,George M. Steinbrenner Field,2022-04-04T17:05:00Z,143,2022-04-04,2523,9,Final,Philadelphia Phillies,JP Sears,Chad Green,2022-04-04 - Philadelphia Phillies (2) @ New York Yankees (5) (Final),S,2,New York Yankees,706884,New York Yankees,5,1,Aroldis Chapman,147,Philadelphia Phillies,NYY wins Spring,Seranthony Dominguez,[]
,Matt Manning,N,,Bottom,George M. Steinbrenner Field,2022-04-05T17:05:00Z,116,2022-04-05,2523,9,Final,Detroit Tigers,Manny Banuelos,Matt Manning,2022-04-05 - Detroit Tigers (5) @ New York Yankees (3) (Final),S,5,New York Yankees,706883,Detroit Tigers,3,1,Aaron Haase,147,New York Yankees,DET wins Spring,Manny Banuelos,[]
,Nathan Eovaldi,N,,,Yankee Stadium,2022-04-07T17:05:00Z,111,2022-04-07,3313,,Postponed,Boston Red Sox,Gerrit Cole,,2022-04-07 - Boston Red Sox @ New York Yankees (Postponed),R,0,New York Yankees,661333,,0,1,,147,,NYY leads 1-0,,['MLBN (out-of-market only)']
,Nathan Eovaldi,N,,Bottom,Yankee Stadium,2022-04-08T17:05:00Z,111,2022-04-08,3313,11,Final,Boston Red Sox,Gerrit Cole,Michael King,2022-04-08 - Boston Red Sox (5) @ New York Yankees (6) (Final),R,5,New York Yankees,661333,New York Yankees,6,1,,147,Boston Red Sox,NYY leads 1-0,Kutter Crawford,['MLBN (out-of-market only)']
