away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Josh Walker,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-19T22:05:00Z,121,2022-03-19,5000,9,Final,New York Mets,Josiah Gray,Josh Walker,2022-03-19 - New York Mets (6) @ Washington Nationals (2) (Final),S,6,Washington Nationals,706792,New York Mets,2,1,,120,Washington Nationals,NYM wins Spring,Josiah Gray,[]
,Miles Mikolas,N,,Bottom,Clover Park,2022-03-20T17:10:00Z,138,2022-03-20,2856,9,Final,St. Louis Cardinals,David Peterson,Miles Mikolas,2022-03-20 - St. Louis Cardinals (6) @ New York Mets (4) (Final),S,6,New York Mets,706899,St. Louis Cardinals,4,1,Junior Fernandez,121,New York Mets,STL wins Spring,David Peterson,"['MLBN', 'MLB.tv Free Game']"
,Max Scherzer,N,,Top,Roger Dean Chevrolet Stadium,2022-03-21T17:05:00Z,121,2022-03-21,2520,9,Final,New York Mets,Elieser Hernandez,Elieser Hernandez,2022-03-21 - New York Mets (0) @ Miami Marlins (3) (Final),S,0,Miami Marlins,706923,Miami Marlins,3,1,Anthony Bender,146,New York Mets,MIA wins Spring,Max Scherzer,[]
,Jake Odorizzi,N,,Top,Clover Park,2022-03-22T22:10:00Z,117,2022-03-22,2856,9,Final,Houston Astros,Jacob deGrom,Trevor Williams,2022-03-22 - Houston Astros (0) @ New York Mets (2) (Final),S,0,New York Mets,706897,New York Mets,2,1,Rob Zastryzny,121,Houston Astros,NYM wins Spring,Zac Rosscup,['MLB.tv Free Game']
,Will Stewart,N,,Top,Clover Park,2022-03-24T22:10:00Z,146,2022-03-24,2856,9,Final,Miami Marlins,Sean Reid-Foley,Sean Reid-Foley,2022-03-24 - Miami Marlins (3) @ New York Mets (9) (Final),S,3,New York Mets,706896,New York Mets,9,1,,121,Miami Marlins,NYM wins Spring,Will Stewart,['MLB.tv Free Game']
,Tylor Megill,N,,Top,The Ballpark of the Palm Beaches,2022-03-25T22:05:00Z,121,2022-03-25,5000,9,Final,New York Mets,Hunter Brown,Hunter Brown,2022-03-25 - New York Mets (1) @ Houston Astros (2) (Final),S,1,Houston Astros,706954,Houston Astros,2,1,Ronel Blanco,117,New York Mets,HOU wins Spring,Tylor Megill,[]
,Erick Fedde,N,,Top,Clover Park,2022-03-26T17:10:00Z,120,2022-03-26,2856,9,Final,Washington Nationals,Taijuan Walker,David Peterson,2022-03-26 - Washington Nationals (2) @ New York Mets (4) (Final),S,2,New York Mets,706895,New York Mets,4,1,Sean Reid-Foley,121,Washington Nationals,NYM wins Spring,Steve Cishek,[]
,Dakota Hudson,N,,Top,Clover Park,2022-03-27T17:10:00Z,138,2022-03-27,2856,9,Final,St. Louis Cardinals,Jacob deGrom,Jacob deGrom,2022-03-27 - St. Louis Cardinals (3) @ New York Mets (7) (Final),S,3,New York Mets,706894,New York Mets,7,1,Max Scherzer,121,St. Louis Cardinals,NYM wins Spring,Dakota Hudson,[]
,Chris Bassitt,N,,Bottom,Roger Dean Chevrolet Stadium,2022-03-29T22:40:00Z,121,2022-03-29,2520,9,Final,New York Mets,Pablo Lopez,Chris Bassitt,2022-03-29 - New York Mets (10) @ Miami Marlins (0) (Final),S,10,Miami Marlins,706918,New York Mets,0,1,,146,Miami Marlins,NYM wins Spring,Pablo Lopez,[]
,Jose Urquidy,N,,Bottom,Clover Park,2022-03-30T22:10:00Z,117,2022-03-30,2856,10,Final,Houston Astros,Carlos Carrasco,Seth Martinez,2022-03-30 - Houston Astros (5) @ New York Mets (3) (Final),S,5,New York Mets,706893,Houston Astros,3,1,Zac Rosscup,121,New York Mets,HOU wins Spring,Stephen Nogosek,[]
,Josh Rogers,N,,Bottom,Clover Park,2022-03-31T22:10:00Z,120,2022-03-31,2856,9,Final,Washington Nationals,Taijuan Walker,Jordan Weems,2022-03-31 - Washington Nationals (7) @ New York Mets (3) (Final),S,7,New York Mets,706892,Washington Nationals,3,1,,121,New York Mets,WSH wins Spring,Eric Orze,[]
,Felix Pena,N,,Top,Roger Dean Chevrolet Stadium,2022-04-01T17:05:00Z,121,2022-04-01,2520,9,Final,New York Mets,Connor Thomas,Connor Thomas,2022-04-01 - New York Mets (2) @ St. Louis Cardinals (7) (Final),S,2,St. Louis Cardinals,706821,St. Louis Cardinals,7,1,,138,New York Mets,STL wins Spring,Felix Pena,[]
,Pablo Lopez,N,,Top,Clover Park,2022-04-03T17:10:00Z,146,2022-04-03,2856,9,Final,Miami Marlins,Chris Bassitt,Chris Bassitt,2022-04-03 - Miami Marlins (4) @ New York Mets (8) (Final),S,4,New York Mets,706891,New York Mets,8,1,Trevor Williams,121,Miami Marlins,NYM wins Spring,Pablo Lopez,[]
,Carlos Carrasco,N,,Bottom,The Ballpark of the Palm Beaches,2022-04-04T16:05:00Z,121,2022-04-04,5000,9,Final: Tied,New York Mets,Jose Urquidy,,2022-04-04 - New York Mets @ Houston Astros (Final: Tied),S,3,Houston Astros,706951,,3,1,,117,,,,[]
,Taijuan Walker,N,,Top,The Ballpark of the Palm Beaches,2022-04-05T16:05:00Z,121,2022-04-05,5000,9,Final,New York Mets,Erick Fedde,Erick Fedde,2022-04-05 - New York Mets (0) @ Washington Nationals (14) (Final),S,0,Washington Nationals,706787,Washington Nationals,14,1,,120,New York Mets,WSH wins Spring,Taijuan Walker,[]
,Tylor Megill,N,,Bottom,Nationals Park,2022-04-07T23:05:00Z,121,2022-04-07,3309,9,Final,New York Mets,Patrick Corbin,Tylor Megill,2022-04-07 - New York Mets (5) @ Washington Nationals (1) (Final),R,5,Washington Nationals,662571,New York Mets,1,1,,120,Washington Nationals,NYM leads 1-0,Patrick Corbin,[]
,Max Scherzer,N,,Bottom,Nationals Park,2022-04-08T23:05:00Z,121,2022-04-08,3309,9,Final,New York Mets,Josiah Gray,Max Scherzer,2022-04-08 - New York Mets (7) @ Washington Nationals (3) (Final),R,7,Washington Nationals,662559,New York Mets,3,1,,120,Washington Nationals,NYM leads 2-0,Josiah Gray,['Apple TV+']
,Chris Bassitt,N,,Bottom,Nationals Park,2022-04-09T23:05:00Z,121,2022-04-09,3309,9,Final,New York Mets,Joan Adon,Chris Bassitt,2022-04-09 - New York Mets (5) @ Washington Nationals (0) (Final),R,5,Washington Nationals,662588,New York Mets,0,1,,120,Washington Nationals,NYM wins 3-0,Joan Adon,['MLBN (out-of-market only)']
,Carlos Carrasco,N,,Top,Nationals Park,2022-04-10T17:35:00Z,121,2022-04-10,3309,9,Final,New York Mets,Erick Fedde,Kyle Finnegan,2022-04-10 - New York Mets (2) @ Washington Nationals (4) (Final),R,2,Washington Nationals,662570,Washington Nationals,4,1,Tanner Rainey,120,New York Mets,NYM wins 3-1,Trevor Williams,"['MLBN (out-of-market only)', 'MLB.tv Free Game']"
,Taijuan Walker,N,,Top,Citizens Bank Park,2022-04-11T22:45:00Z,121,2022-04-11,2681,9,Final,New York Mets,Ranger Suarez,Seranthony Dominguez,2022-04-11 - New York Mets (4) @ Philadelphia Phillies (5) (Final),R,4,Philadelphia Phillies,661637,Philadelphia Phillies,5,1,Brad Hand,143,New York Mets,PHI leads 1-0,Seth Lugo,['FS1']
,Tylor Megill,N,,Bottom,Citizens Bank Park,2022-04-12T22:45:00Z,121,2022-04-12,2681,9,Final,New York Mets,Zack Wheeler,Tylor Megill,2022-04-12 - New York Mets (2) @ Philadelphia Phillies (0) (Final),R,2,Philadelphia Phillies,661636,New York Mets,0,1,Edwin Diaz,143,Philadelphia Phillies,Series tied 1-1,Zack Wheeler,['MLBN']
,Max Scherzer,N,,Bottom,Citizens Bank Park,2022-04-13T17:05:00Z,121,2022-04-13,2681,9,Final,New York Mets,Aaron Nola,Max Scherzer,2022-04-13 - New York Mets (9) @ Philadelphia Phillies (6) (Final),R,9,Philadelphia Phillies,661643,New York Mets,6,1,,143,Philadelphia Phillies,NYM wins 2-1,Aaron Nola,[]
,Zach Davies,N,,Top,Citi Field,2022-04-15T17:10:00Z,109,2022-04-15,3289,9,Final,Arizona Diamondbacks,Chris Bassitt,Chris Bassitt,2022-04-15 - Arizona Diamondbacks (3) @ New York Mets (10) (Final),R,3,New York Mets,662485,New York Mets,10,1,,121,Arizona Diamondbacks,NYM leads 1-0,Zach Davies,['MLBN (out-of-market only)']
,Zac Gallen,N,,Bottom,Citi Field,2022-04-16T17:10:00Z,109,2022-04-16,3289,9,Final,Arizona Diamondbacks,Carlos Carrasco,Sean Poppen,2022-04-16 - Arizona Diamondbacks (3) @ New York Mets (2) (Final),R,3,New York Mets,662626,Arizona Diamondbacks,2,1,Mark Melancon,121,New York Mets,Series tied 1-1,Joely Rodriguez,['MLBN (out-of-market only)']
,Humberto Castellanos,N,,Top,Citi Field,2022-04-17T17:40:00Z,109,2022-04-17,3289,9,Final,Arizona Diamondbacks,David Peterson,Chasen Shreve,2022-04-17 - Arizona Diamondbacks (0) @ New York Mets (5) (Final),R,0,New York Mets,662625,New York Mets,5,1,,121,Arizona Diamondbacks,NYM wins 2-1,Noe Ramirez,[]
,Alex Cobb,N,,,Citi Field,2022-04-18T23:10:00Z,137,2022-04-18,3289,,Postponed,San Francisco Giants,Tylor Megill,,2022-04-18 - San Francisco Giants @ New York Mets (Postponed),R,0,New York Mets,662616,,0,1,,121,,NYM leads 2-0,,[]
,Alex Cobb,Y,,Bottom,Citi Field,2022-04-19T19:10:00Z,137,2022-04-19,3289,10,Final,San Francisco Giants,Tylor Megill,Adam Ottavino,2022-04-19 - San Francisco Giants (4) @ New York Mets (5) (Final),R,4,New York Mets,662350,New York Mets,5,1,,121,San Francisco Giants,NYM leads 1-0,Jarlin Garcia,['MLBN (out-of-market only)']
,Logan Webb,Y,,Top,Citi Field,2022-04-19T19:15:00Z,137,2022-04-19,3289,9,Final,San Francisco Giants,Max Scherzer,Max Scherzer,2022-04-19 - San Francisco Giants (1) @ New York Mets (3) (Final),R,1,New York Mets,662616,New York Mets,3,2,Trevor May,121,San Francisco Giants,NYM leads 2-0,Logan Webb,[]
,Carlos Rodon,N,,Bottom,Citi Field,2022-04-20T23:10:00Z,137,2022-04-20,3289,9,Final,San Francisco Giants,Chris Bassitt,Carlos Rodon,2022-04-20 - San Francisco Giants (5) @ New York Mets (2) (Final),R,5,New York Mets,662349,San Francisco Giants,2,1,Jake McGee,121,New York Mets,NYM leads 2-1,Chris Bassitt,['MLBN (out-of-market only)']
,Anthony DeSclafani,N,,Top,Citi Field,2022-04-21T17:10:00Z,137,2022-04-21,3289,9,Final,San Francisco Giants,Carlos Carrasco,Carlos Carrasco,2022-04-21 - San Francisco Giants (2) @ New York Mets (6) (Final),R,2,New York Mets,662593,New York Mets,6,1,,121,San Francisco Giants,NYM wins 3-1,Anthony DeSclafani,[]
,David Peterson,N,,Bottom,Chase Field,2022-04-23T01:40:00Z,121,2022-04-22,15,10,Final,New York Mets,Zac Gallen,Edwin Diaz,2022-04-22 - New York Mets (6) @ Arizona Diamondbacks (5) (Final),R,6,Arizona Diamondbacks,663394,New York Mets,5,1,Seth Lugo,109,Arizona Diamondbacks,NYM leads 1-0,Mark Melancon,[]
,Trevor Williams,N,,Top,Chase Field,2022-04-24T00:10:00Z,121,2022-04-23,15,9,Final,New York Mets,Humberto Castellanos,Humberto Castellanos,2022-04-23 - New York Mets (2) @ Arizona Diamondbacks (5) (Final),R,2,Arizona Diamondbacks,663384,Arizona Diamondbacks,5,1,Joe Mantiply,109,New York Mets,Series tied 1-1,Trevor Williams,['MLBN (out-of-market only)']
,Tylor Megill,N,,Bottom,Chase Field,2022-04-24T20:10:00Z,121,2022-04-24,15,9,Final,New York Mets,Madison Bumgarner,Tylor Megill,2022-04-24 - New York Mets (6) @ Arizona Diamondbacks (2) (Final),R,6,Arizona Diamondbacks,663361,New York Mets,2,1,,109,Arizona Diamondbacks,NYM wins 2-1,J.B. Wendelken,[]
,Max Scherzer,N,,Bottom,Busch Stadium,2022-04-25T23:45:00Z,121,2022-04-25,2889,9,Final,New York Mets,Miles Mikolas,Trevor May,2022-04-25 - New York Mets (5) @ St. Louis Cardinals (2) (Final),R,5,St. Louis Cardinals,662008,New York Mets,2,1,Edwin Diaz,138,St. Louis Cardinals,NYM leads 1-0,Giovanny Gallegos,['MLBN (out-of-market only)']
,Chris Bassitt,N,,Bottom,Busch Stadium,2022-04-26T23:45:00Z,121,2022-04-26,2889,9,Final,New York Mets,Jordan Hicks,Chris Bassitt,2022-04-26 - New York Mets (3) @ St. Louis Cardinals (0) (Final),R,3,St. Louis Cardinals,662007,New York Mets,0,1,Edwin Diaz,138,St. Louis Cardinals,NYM wins 2-0,Jordan Hicks,['TBS (out-of-market only)']
,Carlos Carrasco,N,,Top,Busch Stadium,2022-04-27T17:15:00Z,121,2022-04-27,2889,9,Final,New York Mets,Steven Matz,Jake Woodford,2022-04-27 - New York Mets (5) @ St. Louis Cardinals (10) (Final),R,5,St. Louis Cardinals,662048,St. Louis Cardinals,10,1,,138,New York Mets,NYM wins 2-1,Carlos Carrasco,['MLBN (out-of-market only)']
,Aaron Nola,N,,Top,Citi Field,2022-04-29T23:10:00Z,143,2022-04-29,3289,9,Final,Philadelphia Phillies,Tylor Megill,Tylor Megill,2022-04-29 - Philadelphia Phillies (0) @ New York Mets (3) (Final),R,0,New York Mets,662592,New York Mets,3,1,Edwin Diaz,121,Philadelphia Phillies,NYM leads 1-0,Aaron Nola,[]
,Kyle Gibson,N,,Bottom,Citi Field,2022-04-30T23:10:00Z,143,2022-04-30,3289,9,Final,Philadelphia Phillies,Taijuan Walker,James Norwood,2022-04-30 - Philadelphia Phillies (4) @ New York Mets (1) (Final),R,4,New York Mets,662591,Philadelphia Phillies,1,1,Corey Knebel,121,New York Mets,Series tied 1-1,Adam Ottavino,['FS1']
,Zach Eflin,N,,Top,Citi Field,2022-05-01T23:08:00Z,143,2022-05-01,3289,9,Final,Philadelphia Phillies,Max Scherzer,Max Scherzer,2022-05-01 - Philadelphia Phillies (6) @ New York Mets (10) (Final),R,6,New York Mets,662579,New York Mets,10,1,,121,Philadelphia Phillies,NYM wins 2-1,Zach Eflin,['ESPN']
