away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Michael Lorenzen,N,,Top,Hohokam Stadium,2022-03-18T20:05:00Z,108,2022-03-18,2507,9,Final,Los Angeles Angels,Brent Honeywell Jr.,Chester Pimentel,2022-03-18 - Los Angeles Angels (8) @ Oakland Athletics (10) (Final),S,8,Oakland Athletics,706882,Oakland Athletics,10,1,Aaron Brown,133,Los Angeles Angels,OAK wins Spring,Ryan Smith,['MLB.tv Free Game']
,Sean Manaea,N,,Top,Goodyear Ballpark,2022-03-20T01:05:00Z,133,2022-03-19,3834,9,Final,Oakland Athletics,Tyler Mahle,Tyler Mahle,2022-03-19 - Oakland Athletics (3) @ Cincinnati Reds (9) (Final),S,3,Cincinnati Reds,706993,Cincinnati Reds,9,1,,113,Oakland Athletics,CIN wins Spring,Sean Manaea,[]
,Kirk McCarty,N,,Bottom,Hohokam Stadium,2022-03-20T20:05:00Z,114,2022-03-20,2507,9,Final: Tied,Cleveland Guardians,Cole Irvin,,2022-03-20 - Cleveland Guardians @ Oakland Athletics (Final: Tied),S,9,Oakland Athletics,706877,,9,1,,133,,,,['MLB.tv Free Game']
,Frankie Montas,N,,Top,Surprise Stadium,2022-03-22T20:05:00Z,133,2022-03-22,2603,9,Final,Oakland Athletics,Angel Zerpa,Jake Brentz,2022-03-22 - Oakland Athletics (3) @ Kansas City Royals (5) (Final),S,3,Kansas City Royals,706948,Kansas City Royals,5,1,Scott Barlow,118,Oakland Athletics,KC wins Spring,Miguel Romero,['MLB.tv Free Game']
,Adam Oller,N,,Top,Sloan Park,2022-03-23T20:05:00Z,133,2022-03-23,4629,9,Final,Oakland Athletics,Marcus Stroman,Jesse Chavez,2022-03-23 - Oakland Athletics (4) @ Chicago Cubs (5) (Final),S,4,Chicago Cubs,707012,Chicago Cubs,5,1,Cayne Ueckert,112,Oakland Athletics,CHC wins Spring,Zach Logue,['MLB.tv Free Game']
,Jon Gray,N,,Bottom,Hohokam Stadium,2022-03-24T20:05:00Z,140,2022-03-24,2507,9,Final,Texas Rangers,Sean Manaea,Spencer Howard,2022-03-24 - Texas Rangers (5) @ Oakland Athletics (3) (Final),S,5,Oakland Athletics,706879,Texas Rangers,3,1,Brandon Workman,133,Oakland Athletics,TEX wins Spring,Brent Honeywell Jr.,['MLB.tv Free Game']
,Freddy Peralta,N,,Top,Hohokam Stadium,2022-03-25T20:05:00Z,158,2022-03-25,2507,9,Final,Milwaukee Brewers,Cole Irvin,Justin Grimm,2022-03-25 - Milwaukee Brewers (3) @ Oakland Athletics (6) (Final),S,3,Oakland Athletics,706880,Oakland Athletics,6,1,Shohei Tomioka,133,Milwaukee Brewers,OAK wins Spring,Matt Hardy,[]
,Daulton Jefferies,N,,Top,Goodyear Ballpark,2022-03-26T20:05:00Z,133,2022-03-26,3834,9,Final,Oakland Athletics,Logan Allen,Logan Allen,2022-03-26 - Oakland Athletics (2) @ Cleveland Guardians (9) (Final),S,2,Cleveland Guardians,706980,Cleveland Guardians,9,1,,114,Oakland Athletics,CLE wins Spring,Daulton Jefferies,[]
,Matt Brash,N,,Bottom,Hohokam Stadium,2022-03-27T20:05:00Z,136,2022-03-27,2507,9,Final,Seattle Mariners,Frankie Montas,Matt Brash,2022-03-27 - Seattle Mariners (7) @ Oakland Athletics (1) (Final),S,7,Oakland Athletics,706876,Seattle Mariners,1,1,,133,Oakland Athletics,SEA wins Spring,Frankie Montas,[]
,Paul Blackburn,N,,Top,Tempe Diablo Stadium,2022-03-28T20:10:00Z,133,2022-03-28,2500,9,Final,Oakland Athletics,Noah Syndergaard,Noah Syndergaard,2022-03-28 - Oakland Athletics (2) @ Los Angeles Angels (7) (Final),S,2,Los Angeles Angels,706935,Los Angeles Angels,7,1,,108,Oakland Athletics,LAA wins Spring,Paul Blackburn,[]
,Sean Manaea,N,,Top,Camelback Ranch,2022-03-30T01:05:00Z,133,2022-03-29,3809,9,Final,Oakland Athletics,Tony Gonsolin,Tyler Anderson,2022-03-29 - Oakland Athletics (4) @ Los Angeles Dodgers (6) (Final),S,4,Los Angeles Dodgers,706929,Los Angeles Dodgers,6,1,Daniel Hudson,119,Oakland Athletics,LAD wins Spring,Grant Holmes,[]
,Vladimir Gutierrez,N,,Top,Hohokam Stadium,2022-03-30T20:05:00Z,113,2022-03-30,2507,9,Final,Cincinnati Reds,Cole Irvin,Cole Irvin,2022-03-30 - Cincinnati Reds (4) @ Oakland Athletics (5) (Final),S,4,Oakland Athletics,706878,Oakland Athletics,5,1,Dany Jimenez,133,Cincinnati Reds,OAK wins Spring,Vladimir Gutierrez,[]
,Kris Bubic,N,,Bottom,Hohokam Stadium,2022-03-31T20:05:00Z,118,2022-03-31,2507,9,Final,Kansas City Royals,Daulton Jefferies,Kris Bubic,2022-03-31 - Kansas City Royals (5) @ Oakland Athletics (4) (Final),S,5,Oakland Athletics,706871,Kansas City Royals,4,1,Josh Staumont,133,Oakland Athletics,KC wins Spring,Daulton Jefferies,[]
,Adam Oller,N,,Bottom,Camelback Ranch,2022-04-01T20:05:00Z,133,2022-04-01,3809,9,Final,Oakland Athletics,Dallas Keuchel,Adam Oller,2022-04-01 - Oakland Athletics (12) @ Chicago White Sox (4) (Final),S,12,Chicago White Sox,706998,Oakland Athletics,4,1,,145,Chicago White Sox,OAK wins Spring,Dallas Keuchel,[]
