away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,summary,winning_pitcher,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Michael Kelly,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-03-18T17:05:00Z,143,2022-03-18,2511,9,Completed Early,Philadelphia Phillies,Eduardo Rodriguez,2022-03-18 - Philadelphia Phillies @ Detroit Tigers (Completed Early),,S,6,Detroit Tigers,706967,,6,1,,116,,,,['MLB.tv Free Game']
,Nick Allgeyer,N,,Top,BayCare Ballpark,2022-03-19T17:05:00Z,141,2022-03-19,2700,9,Final,Toronto Blue Jays,Aaron Nola,2022-03-19 - Toronto Blue Jays (2) @ Philadelphia Phillies (3) (Final),Erik Miller,S,2,Philadelphia Phillies,706872,Philadelphia Phillies,3,1,Brian Marconi,143,Toronto Blue Jays,PHI wins Spring,Ryan Borucki,"['MLBN', 'MLB.tv Free Game']"
,Kyle Gibson,N,,Top,CoolToday Park,2022-03-20T17:05:00Z,143,2022-03-20,5380,9,Final,Philadelphia Phillies,Kyle Muller,2022-03-20 - Philadelphia Phillies (1) @ Atlanta Braves (5) (Final),Allan Winans,S,1,Atlanta Braves,707040,Atlanta Braves,5,1,,144,Philadelphia Phillies,ATL wins Spring,James Marvel,[]
,Hans Crouse,N,,Top,George M. Steinbrenner Field,2022-03-21T17:05:00Z,143,2022-03-21,2523,9,Final,Philadelphia Phillies,Jameson Taillon,2022-03-21 - Philadelphia Phillies (2) @ New York Yankees (5) (Final),Jameson Taillon,S,2,New York Yankees,706889,New York Yankees,5,1,Greg Weissert,147,Philadelphia Phillies,NYY wins Spring,Hans Crouse,['MLB.tv Free Game']
,Tyler Alexander,N,,Top,BayCare Ballpark,2022-03-22T17:05:00Z,116,2022-03-22,2700,9,Final,Detroit Tigers,Bailey Falter,2022-03-22 - Detroit Tigers (2) @ Philadelphia Phillies (7) (Final),Brad Hand,S,2,Philadelphia Phillies,706866,Philadelphia Phillies,7,1,,143,Detroit Tigers,PHI wins Spring,Drew Hutchison,['MLB.tv Free Game']
,Jose Berrios,N,,Top,BayCare Ballpark,2022-03-23T17:05:00Z,141,2022-03-23,2700,9,Final,Toronto Blue Jays,Cristopher Sanchez,2022-03-23 - Toronto Blue Jays (7) @ Philadelphia Phillies (8) (Final),Cristopher Sanchez,S,7,Philadelphia Phillies,706867,Philadelphia Phillies,8,1,Francisco Morales,143,Toronto Blue Jays,PHI wins Spring,Jose Berrios,['MLB.tv Free Game']
,Aaron Nola,N,,Bottom,LECOM Park,2022-03-24T17:05:00Z,143,2022-03-24,2526,5,Completed Early: Rain,Philadelphia Phillies,Mitch Keller,2022-03-24 - Philadelphia Phillies @ Pittsburgh Pirates (Completed Early: Rain),,S,3,Pittsburgh Pirates,706857,,3,1,,134,,,,['MLB.tv Free Game']
,Luis Severino,N,,Top,BayCare Ballpark,2022-03-25T17:05:00Z,147,2022-03-25,2700,9,Final,New York Yankees,Kyle Gibson,2022-03-25 - New York Yankees (5) @ Philadelphia Phillies (6) (Final),Seranthony Dominguez,S,5,Philadelphia Phillies,706870,Philadelphia Phillies,6,1,Andrew Bellatti,143,New York Yankees,PHI wins Spring,Ryan Weber,[]
,Zach Eflin,N,,Top,Publix Field at Joker Marchant Stadium,2022-03-26T17:05:00Z,143,2022-03-26,2511,9,Final,Philadelphia Phillies,Matt Manning,2022-03-26 - Philadelphia Phillies (8) @ Detroit Tigers (14) (Final),Michael Fulmer,S,8,Detroit Tigers,706959,Detroit Tigers,14,1,,116,Philadelphia Phillies,DET wins Spring,Jeff Singer,[]
,Bailey Falter,N,,Bottom,TD Ballpark,2022-03-27T17:07:00Z,143,2022-03-27,2536,9,Final,Philadelphia Phillies,Yusei Kikuchi,2022-03-27 - Philadelphia Phillies (10) @ Toronto Blue Jays (5) (Final),Bailey Falter,S,10,Toronto Blue Jays,706796,Philadelphia Phillies,5,1,,141,Toronto Blue Jays,PHI wins Spring,Yusei Kikuchi,[]
,Dean Kremer,N,,Top,BayCare Ballpark,2022-03-28T17:05:00Z,110,2022-03-28,2700,9,Final,Baltimore Orioles,Cristopher Sanchez,2022-03-28 - Baltimore Orioles (1) @ Philadelphia Phillies (7) (Final),Cristopher Sanchez,S,1,Philadelphia Phillies,706869,Philadelphia Phillies,7,1,,143,Baltimore Orioles,PHI wins Spring,Dean Kremer,[]
,Aaron Nola,N,,Top,George M. Steinbrenner Field,2022-03-29T17:05:00Z,143,2022-03-29,2523,9,Final,Philadelphia Phillies,Clarke Schmidt,2022-03-29 - Philadelphia Phillies (2) @ New York Yankees (14) (Final),Clarke Schmidt,S,2,New York Yankees,707065,New York Yankees,14,1,,147,Philadelphia Phillies,NYY wins Spring,Aaron Nola,[]
,Tarik Skubal,N,,Bottom,BayCare Ballpark,2022-03-30T17:05:00Z,116,2022-03-30,2700,9,Final,Detroit Tigers,Kyle Gibson,2022-03-30 - Detroit Tigers (7) @ Philadelphia Phillies (1) (Final),Tarik Skubal,S,7,Philadelphia Phillies,706868,Detroit Tigers,1,1,,143,Philadelphia Phillies,DET wins Spring,Kyle Gibson,[]
,Jameson Taillon,N,,Top,BayCare Ballpark,2022-03-31T17:05:00Z,147,2022-03-31,2700,9,Final,New York Yankees,Zach Eflin,2022-03-31 - New York Yankees (3) @ Philadelphia Phillies (5) (Final),Zach Eflin,S,3,Philadelphia Phillies,706864,Philadelphia Phillies,5,1,Cam Bedrosian,143,New York Yankees,PHI wins Spring,Jameson Taillon,[]
,Ranger Suarez,N,,Top,Ed Smith Stadium,2022-04-01T17:05:00Z,143,2022-04-01,2508,9,Final,Philadelphia Phillies,Jordan Lyles,2022-04-01 - Philadelphia Phillies (2) @ Baltimore Orioles (3) (Final),Jordan Lyles,S,2,Baltimore Orioles,707024,Baltimore Orioles,3,1,Travis Lakins Sr.,110,Philadelphia Phillies,BAL wins Spring,Ranger Suarez,[]
,Andrew Bellatti,N,,Top,TD Ballpark,2022-04-02T17:07:00Z,143,2022-04-02,2536,6,Completed Early: Rain,Philadelphia Phillies,Jose Berrios,2022-04-02 - Philadelphia Phillies @ Toronto Blue Jays (Completed Early: Rain),,S,2,Toronto Blue Jays,706794,,2,1,,141,,,,[]
,Casey Mize,N,,Top,BayCare Ballpark,2022-04-03T17:05:00Z,116,2022-04-03,2700,9,Final,Detroit Tigers,Aaron Nola,2022-04-03 - Detroit Tigers (7) @ Philadelphia Phillies (8) (Final),Jonathan Hennigan,S,7,Philadelphia Phillies,706865,Philadelphia Phillies,8,1,Michael Kelly,143,Detroit Tigers,PHI wins Spring,Jose Cisnero,[]
,Kyle Gibson,N,,Top,George M. Steinbrenner Field,2022-04-04T17:05:00Z,143,2022-04-04,2523,9,Final,Philadelphia Phillies,JP Sears,2022-04-04 - Philadelphia Phillies (2) @ New York Yankees (5) (Final),Chad Green,S,2,New York Yankees,706884,New York Yankees,5,1,Aroldis Chapman,147,Philadelphia Phillies,NYY wins Spring,Seranthony Dominguez,[]
,Zach Thompson,N,,Top,BayCare Ballpark,2022-04-05T16:05:00Z,134,2022-04-05,2700,9,Final,Pittsburgh Pirates,Zach Eflin,2022-04-05 - Pittsburgh Pirates (1) @ Philadelphia Phillies (5) (Final),Zach Eflin,S,1,Philadelphia Phillies,706862,Philadelphia Phillies,5,1,,143,Pittsburgh Pirates,PHI wins Spring,Zach Thompson,[]
