away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Hayden Wesneski,N,,Top,LECOM Park,2022-03-18T17:05:00Z,147,2022-03-18,2526,9,Final,New York Yankees,Wil Crowe,Jerad Eickhoff,2022-03-18 - New York Yankees (3) @ Pittsburgh Pirates (4) (Final),S,3,Pittsburgh Pirates,706863,Pittsburgh Pirates,4,1,Blake Weiman,134,New York Yankees,PIT wins Spring,Braden Bristo,['MLB.tv Free Game']
,Casey Mize,N,,Top,LECOM Park,2022-03-19T17:05:00Z,116,2022-03-19,2526,9,Final,Detroit Tigers,Mitch Keller,Mike Burrows,2022-03-19 - Detroit Tigers (3) @ Pittsburgh Pirates (6) (Final),S,3,Pittsburgh Pirates,706859,Pittsburgh Pirates,6,1,Matt Eckelman,134,Detroit Tigers,PIT wins Spring,Garrett Hill,['MLB.tv Free Game']
,Dillon Peters,N,,Top,TD Ballpark,2022-03-20T17:07:00Z,134,2022-03-20,2536,9,Final,Pittsburgh Pirates,Anthony Kay,Anthony Kay,2022-03-20 - Pittsburgh Pirates (4) @ Toronto Blue Jays (10) (Final),S,4,Toronto Blue Jays,706801,Toronto Blue Jays,10,1,,141,Pittsburgh Pirates,TOR wins Spring,Dillon Peters,['MLB.tv Free Game']
,Zach Thompson,N,,Bottom,Charlotte Sports Park,2022-03-21T17:05:00Z,134,2022-03-21,2534,9,Final,Pittsburgh Pirates,Jalen Beeks,Zach Thompson,2022-03-21 - Pittsburgh Pirates (5) @ Tampa Bay Rays (1) (Final),S,5,Tampa Bay Rays,706819,Pittsburgh Pirates,1,1,,139,Tampa Bay Rays,PIT wins Spring,Seth Blair,['MLB.tv Free Game']
,John Means,N,,Bottom,LECOM Park,2022-03-22T17:05:00Z,110,2022-03-22,2526,9,Final,Baltimore Orioles,Jose Quintana,Felix Bautista,2022-03-22 - Baltimore Orioles (10) @ Pittsburgh Pirates (9) (Final),S,10,Pittsburgh Pirates,706858,Baltimore Orioles,9,1,Logan Gillaspie,134,Pittsburgh Pirates,BAL wins Spring,Matt Eckelman,['MLB.tv Free Game']
,Wil Crowe,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-03-23T17:05:00Z,134,2022-03-23,2511,9,Final: Tied,Pittsburgh Pirates,Eduardo Rodriguez,,2022-03-23 - Pittsburgh Pirates @ Detroit Tigers (Final: Tied),S,6,Detroit Tigers,706964,,6,1,,116,,,,['MLB.tv Free Game']
,Aaron Nola,N,,Bottom,LECOM Park,2022-03-24T17:05:00Z,143,2022-03-24,2526,5,Completed Early: Rain,Philadelphia Phillies,Mitch Keller,,2022-03-24 - Philadelphia Phillies @ Pittsburgh Pirates (Completed Early: Rain),S,3,Pittsburgh Pirates,706857,,3,1,,134,,,,['MLB.tv Free Game']
,Dylan Bundy,N,,Bottom,LECOM Park,2022-03-25T17:05:00Z,142,2022-03-25,2526,9,Final,Minnesota Twins,Bryse Wilson,Beau Sulser,2022-03-25 - Minnesota Twins (1) @ Pittsburgh Pirates (2) (Final),S,1,Pittsburgh Pirates,706860,Pittsburgh Pirates,2,1,,134,Minnesota Twins,PIT wins Spring,Lewis Thorpe,[]
,Zach Thompson,N,,Top,Ed Smith Stadium,2022-03-26T22:05:00Z,134,2022-03-26,2508,9,Final,Pittsburgh Pirates,Tyler Wells,Marcos Diplan,2022-03-26 - Pittsburgh Pirates (5) @ Baltimore Orioles (14) (Final),S,5,Baltimore Orioles,707029,Baltimore Orioles,14,1,,110,Pittsburgh Pirates,BAL wins Spring,Sam Howard,[]
,Jose Quintana,N,,Top,George M. Steinbrenner Field,2022-03-27T17:05:00Z,134,2022-03-27,2523,9,Final,Pittsburgh Pirates,Gerrit Cole,Jordan Montgomery,2022-03-27 - Pittsburgh Pirates (4) @ New York Yankees (7) (Final),S,4,New York Yankees,706887,New York Yankees,7,1,Zach Greene,147,Pittsburgh Pirates,NYY wins Spring,JT Brubaker,[]
,Nick Pivetta,N,,Top,LECOM Park,2022-03-29T17:05:00Z,111,2022-03-29,2526,9,Final,Boston Red Sox,Mitch Keller,Mitch Keller,2022-03-29 - Boston Red Sox (2) @ Pittsburgh Pirates (6) (Final),S,2,Pittsburgh Pirates,706861,Pittsburgh Pirates,6,1,,134,Boston Red Sox,PIT wins Spring,Nick Pivetta,[]
,Bryse Wilson,N,,Top,Hammond Stadium,2022-03-30T17:05:00Z,134,2022-03-30,2862,9,Final,Pittsburgh Pirates,Josh Winder,Taylor Rogers,2022-03-30 - Pittsburgh Pirates (4) @ Minnesota Twins (9) (Final),S,4,Minnesota Twins,706902,Minnesota Twins,9,1,,142,Pittsburgh Pirates,MIN wins Spring,Bryse Wilson,[]
,Tyler Wells,N,,Bottom,LECOM Park,2022-03-31T17:05:00Z,110,2022-03-31,2526,9,Final: Tied,Baltimore Orioles,Zach Thompson,,2022-03-31 - Baltimore Orioles @ Pittsburgh Pirates (Final: Tied),S,4,Pittsburgh Pirates,706856,,4,1,,134,,,,[]
,Yusei Kikuchi,N,,Bottom,LECOM Park,2022-04-01T17:05:00Z,141,2022-04-01,2526,9,Final: Tied,Toronto Blue Jays,Jose Quintana,,2022-04-01 - Toronto Blue Jays @ Pittsburgh Pirates (Final: Tied),S,6,Pittsburgh Pirates,706853,,6,1,,134,,,,[]
,JT Brubaker,N,,Bottom,JetBlue Park,2022-04-02T17:05:00Z,134,2022-04-02,4309,9,Final,Pittsburgh Pirates,Nathan Eovaldi,JT Brubaker,2022-04-02 - Pittsburgh Pirates (7) @ Boston Red Sox (2) (Final),S,7,Boston Red Sox,707015,Pittsburgh Pirates,2,1,,111,Boston Red Sox,PIT wins Spring,Nathan Eovaldi,[]
