away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Marco Gonzales,N,,Top,Peoria Stadium,2022-03-18T20:10:00Z,136,2022-03-18,2530,9,Final,Seattle Mariners,MacKenzie Gore,Evan Miller,2022-03-18 - Seattle Mariners (4) @ San Diego Padres (6) (Final),S,4,San Diego Padres,706855,San Diego Padres,6,1,James Norwood,135,Seattle Mariners,SD wins Spring,Travis Kuhn,['MLB.tv Free Game']
,Reiss Knehr,N,,Top,Sloan Park,2022-03-19T20:05:00Z,135,2022-03-19,4629,9,Final,San Diego Padres,Justin Steele,Michael Rucker,2022-03-19 - San Diego Padres (4) @ Chicago Cubs (5) (Final),S,4,Chicago Cubs,707009,Chicago Cubs,5,1,Kevin McCarthy,112,San Diego Padres,CHC wins Spring,Daniel Camarena,['MLB.tv Free Game']
,Chris Paddack,N,,Top,American Family Fields of Phoenix,2022-03-20T20:10:00Z,135,2022-03-20,2518,9,Final,San Diego Padres,Freddy Peralta,Freddy Peralta,2022-03-20 - San Diego Padres (3) @ Milwaukee Brewers (6) (Final),S,3,Milwaukee Brewers,706914,Milwaukee Brewers,6,1,,158,San Diego Padres,MIL wins Spring,Chris Paddack,['MLB.tv Free Game']
,Ryan Rolison,N,,Bottom,Peoria Stadium,2022-03-21T20:10:00Z,115,2022-03-21,2530,9,Final,Colorado Rockies,Yu Darvish,Lucas Gilbreath,2022-03-21 - Colorado Rockies (8) @ San Diego Padres (4) (Final),S,8,San Diego Padres,706849,Colorado Rockies,4,1,,135,San Diego Padres,COL wins Spring,Angel Felipe,['MLB.tv Free Game']
,Joe Musgrove,N,,Top,Goodyear Ballpark,2022-03-22T20:05:00Z,135,2022-03-22,3834,9,Final,San Diego Padres,Zach Plesac,Zach Plesac,2022-03-22 - San Diego Padres (1) @ Cleveland Guardians (6) (Final),S,1,Cleveland Guardians,706985,Cleveland Guardians,6,1,,114,San Diego Padres,CLE wins Spring,Joe Musgrove,['MLB.tv Free Game']
,Jose Suarez,N,,Top,Peoria Stadium,2022-03-23T20:10:00Z,108,2022-03-23,2530,9,Final,Los Angeles Angels,MacKenzie Gore,Craig Stammen,2022-03-23 - Los Angeles Angels (0) @ San Diego Padres (3) (Final),S,0,San Diego Padres,706848,San Diego Padres,3,1,Ray Kerr,135,Los Angeles Angels,SD wins Spring,AJ Ramos,['MLB.tv Free Game']
,Nick Martinez,N,,Bottom,Camelback Ranch,2022-03-26T01:05:00Z,135,2022-03-25,3809,9,Final: Tied,San Diego Padres,Julio Urias,,2022-03-25 - San Diego Padres @ Los Angeles Dodgers (Final: Tied),S,5,Los Angeles Dodgers,706930,,5,1,,119,,,,[]
,Drew Smyly,N,,Bottom,Peoria Stadium,2022-03-26T20:10:00Z,112,2022-03-26,2530,9,Final: Tied,Chicago Cubs,Ryan Weathers,,2022-03-26 - Chicago Cubs @ San Diego Padres (Final: Tied),S,2,San Diego Padres,706852,,2,1,,135,,,,[]
,Zach Plesac,N,,Top,Peoria Stadium,2022-03-27T20:10:00Z,114,2022-03-27,2530,9,Final,Cleveland Guardians,Yu Darvish,Yu Darvish,2022-03-27 - Cleveland Guardians (1) @ San Diego Padres (5) (Final),S,1,San Diego Padres,706851,San Diego Padres,5,1,,135,Cleveland Guardians,SD wins Spring,Zach Plesac,[]
,Joe Musgrove,N,,Bottom,Camelback Ranch,2022-03-28T20:05:00Z,135,2022-03-28,3809,9,Final,San Diego Padres,Lucas Giolito,Pierce Johnson,2022-03-28 - San Diego Padres (9) @ Chicago White Sox (8) (Final),S,9,Chicago White Sox,706999,San Diego Padres,8,1,Tyler Higgins,145,Chicago White Sox,SD wins Spring,Yacksel Rios,[]
