away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Marco Gonzales,N,,Top,,Peoria Stadium,2022-03-18T20:10:00Z,136,2022-03-18,2530,9,Final,Seattle Mariners,MacKenzie Gore,Evan Miller,2022-03-18 - Seattle Mariners (4) @ San Diego Padres (6) (Final),S,4,San Diego Padres,706855,San Diego Padres,6,1,James Norwood,135,Seattle Mariners,SD wins Spring,Travis Kuhn,['MLB.tv Free Game']
,Ryan Pepiot,N,,Top,,Peoria Stadium,2022-03-19T20:10:00Z,119,2022-03-19,2530,9,Final,Los Angeles Dodgers,Levi Stoudt,Levi Stoudt,2022-03-19 - Los Angeles Dodgers (6) @ Seattle Mariners (7) (Final),S,6,Seattle Mariners,706836,Seattle Mariners,7,1,Ben Onyshko,136,Los Angeles Dodgers,SEA wins Spring,Ryan Pepiot,['MLB.tv Free Game']
,Reid Detmers,N,,Bottom,,Peoria Stadium,2022-03-20T20:10:00Z,108,2022-03-20,2530,9,Final,Los Angeles Angels,Chris Flexen,Jaime Barria,2022-03-20 - Los Angeles Angels (7) @ Seattle Mariners (3) (Final),S,7,Seattle Mariners,706835,Los Angeles Angels,3,1,,136,Seattle Mariners,LAA wins Spring,Asher Wojciechowski,['MLB.tv Free Game']
,George Kirby,N,,Top,,Salt River Fields at Talking Stick,2022-03-21T20:10:00Z,136,2022-03-21,4249,9,Final,Seattle Mariners,Humberto Castellanos,Humberto Castellanos,2022-03-21 - Seattle Mariners (1) @ Arizona Diamondbacks (9) (Final),S,1,Arizona Diamondbacks,707050,Arizona Diamondbacks,9,1,,109,Seattle Mariners,AZ wins Spring,George Kirby,[]
,Kyle Hendricks,N,,Bottom,,Peoria Stadium,2022-03-22T20:10:00Z,112,2022-03-22,2530,9,Final: Tied,Chicago Cubs,Robbie Ray,,2022-03-22 - Chicago Cubs @ Seattle Mariners (Final: Tied),S,5,Seattle Mariners,706838,,5,1,,136,,,,['MLB.tv Free Game']
,Logan Gilbert,N,,Bottom,,Goodyear Ballpark,2022-03-24T20:05:00Z,136,2022-03-24,3834,9,Final,Seattle Mariners,Cal Quantrill,Anthony Misiewicz,2022-03-24 - Seattle Mariners (3) @ Cleveland Guardians (2) (Final),S,3,Cleveland Guardians,706979,Seattle Mariners,2,1,Penn Murfee,114,Cleveland Guardians,SEA wins Spring,Tobias Myers,['MLB.tv Free Game']
,Dylan Cease,N,,Top,,Peoria Stadium,2022-03-26T01:40:00Z,145,2022-03-25,2530,9,Final,Chicago White Sox,Marco Gonzales,Marco Gonzales,2022-03-25 - Chicago White Sox (0) @ Seattle Mariners (3) (Final),S,0,Seattle Mariners,706832,Seattle Mariners,3,1,Devin Sweet,136,Chicago White Sox,SEA wins Spring,Dylan Cease,[]
,Chris Flexen,N,,Top,Tie,American Family Fields of Phoenix,2022-03-26T20:10:00Z,136,2022-03-26,2518,9,Final,Seattle Mariners,Adrian Houser,,2022-03-26 - Seattle Mariners (7) @ Milwaukee Brewers (7) (Final),S,7,Milwaukee Brewers,706915,Tie,7,1,,158,,,,[]
,Matt Brash,N,,Bottom,,Hohokam Stadium,2022-03-27T20:05:00Z,136,2022-03-27,2507,9,Final,Seattle Mariners,Frankie Montas,Matt Brash,2022-03-27 - Seattle Mariners (7) @ Oakland Athletics (1) (Final),S,7,Oakland Athletics,706876,Seattle Mariners,1,1,,133,Oakland Athletics,SEA wins Spring,Frankie Montas,[]
,Glenn Otto,N,,Top,,Peoria Stadium,2022-03-28T20:10:00Z,140,2022-03-28,2530,9,Final,Texas Rangers,Robbie Ray,Robbie Ray,2022-03-28 - Texas Rangers (5) @ Seattle Mariners (6) (Final),S,5,Seattle Mariners,706830,Seattle Mariners,6,1,Erik Swanson,136,Texas Rangers,SEA wins Spring,Glenn Otto,[]
