away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Marcus Stroman,N,,Bottom,Scottsdale Stadium,2022-03-19T02:05:00Z,112,2022-03-18,2532,9,Final,Chicago Cubs,Logan Webb,Mark Leiter Jr.,2022-03-18 - Chicago Cubs (7) @ San Francisco Giants (3) (Final),S,7,San Francisco Giants,706846,Chicago Cubs,3,1,,137,San Francisco Giants,CHC wins Spring,Bryan Brickhouse,['MLB.tv Free Game']
,Tyler Beede,N,,Bottom,Salt River Fields at Talking Stick,2022-03-19T20:10:00Z,137,2022-03-19,4249,9,Final,San Francisco Giants,Matt Dennis,Enmanuel De Jesus,2022-03-19 - San Francisco Giants (8) @ Colorado Rockies (5) (Final),S,8,Colorado Rockies,706978,San Francisco Giants,5,1,Peter Tago,115,Colorado Rockies,SF wins Spring,Frank Duncan,[]
,Sam Long,N,,Top,Goodyear Ballpark,2022-03-20T20:05:00Z,137,2022-03-20,3834,9,Final,San Francisco Giants,Tony Santillan,Tony Santillan,2022-03-20 - San Francisco Giants (4) @ Cincinnati Reds (9) (Final),S,4,Cincinnati Reds,706995,Cincinnati Reds,9,1,,113,San Francisco Giants,CIN wins Spring,Sam Long,['MLB.tv Free Game']
,Adrian Houser,N,,Bottom,Scottsdale Stadium,2022-03-22T02:05:00Z,158,2022-03-21,2532,9,Final,Milwaukee Brewers,Alex Wood,Josh Lindblom,2022-03-21 - Milwaukee Brewers (13) @ San Francisco Giants (6) (Final),S,13,San Francisco Giants,706845,Milwaukee Brewers,6,1,,137,San Francisco Giants,MIL wins Spring,Matt Carasiti,['MLB.tv Free Game']
,Merrill Kelly,N,,Bottom,Scottsdale Stadium,2022-03-23T20:05:00Z,109,2022-03-23,2532,9,Final,Arizona Diamondbacks,Logan Webb,Corbin Martin,2022-03-23 - Arizona Diamondbacks (5) @ San Francisco Giants (3) (Final),S,5,San Francisco Giants,706847,Arizona Diamondbacks,3,1,Joe Mantiply,137,San Francisco Giants,AZ wins Spring,Dominic Leone,[]
,Carlos Rodon,N,,Bottom,Camelback Ranch,2022-03-24T20:05:00Z,137,2022-03-24,3809,9,Final,San Francisco Giants,Reynaldo Lopez,Solomon Bates,2022-03-24 - San Francisco Giants (9) @ Chicago White Sox (6) (Final),S,9,Chicago White Sox,707001,San Francisco Giants,6,1,,145,Chicago White Sox,SF wins Spring,Jose Ruiz,[]
,Aaron Civale,N,,Bottom,Scottsdale Stadium,2022-03-25T20:05:00Z,114,2022-03-25,2532,9,Final,Cleveland Guardians,Anthony DeSclafani,Aaron Civale,2022-03-25 - Cleveland Guardians (10) @ San Francisco Giants (2) (Final),S,10,San Francisco Giants,706839,Cleveland Guardians,2,1,,137,San Francisco Giants,CLE wins Spring,Jarlin Garcia,[]
,Hunter Greene,N,,Bottom,Scottsdale Stadium,2022-03-26T20:05:00Z,113,2022-03-26,2532,9,Final,Cincinnati Reds,Alex Wood,Jeff Hoffman,2022-03-26 - Cincinnati Reds (2) @ San Francisco Giants (1) (Final),S,2,San Francisco Giants,706842,Cincinnati Reds,1,1,Riley O'Brien,137,San Francisco Giants,CIN wins Spring,Tyler Rogers,[]
,Alex Cobb,N,,Bottom,Tempe Diablo Stadium,2022-03-27T20:10:00Z,137,2022-03-27,2500,9,Final,San Francisco Giants,Patrick Sandoval,Alex Cobb,2022-03-27 - San Francisco Giants (6) @ Los Angeles Angels (1) (Final),S,6,Los Angeles Angels,706938,San Francisco Giants,1,1,,108,Los Angeles Angels,SF wins Spring,Patrick Sandoval,[]
,Logan Webb,N,,Top,American Family Fields of Phoenix,2022-03-28T20:10:00Z,137,2022-03-28,2518,9,Final,San Francisco Giants,Corbin Burnes,Corbin Burnes,2022-03-28 - San Francisco Giants (2) @ Milwaukee Brewers (5) (Final),S,2,Milwaukee Brewers,706913,Milwaukee Brewers,5,1,Brent Suter,158,San Francisco Giants,MIL wins Spring,Logan Webb,[]
