away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Chris Mazza,N,,Bottom,JetBlue Park,2022-03-18T17:05:00Z,139,2022-03-18,4309,9,Final,Tampa Bay Rays,Nathan Eovaldi,Victor Santos,2022-03-18 - Tampa Bay Rays (6) @ Boston Red Sox (7) (Final),S,6,Boston Red Sox,707020,Boston Red Sox,7,1,,111,Tampa Bay Rays,BOS wins Spring,Joel Peguero,['MLB.tv Free Game']
,Jackson Stephens,N,,Bottom,Charlotte Sports Park,2022-03-19T17:05:00Z,144,2022-03-19,2534,9,Final: Tied,Atlanta Braves,Phoenix Sanders,,2022-03-19 - Atlanta Braves @ Tampa Bay Rays (Final: Tied),S,4,Tampa Bay Rays,706820,,4,1,,139,,,,['MLB.tv Free Game']
,Colby White,N,,Top,Hammond Stadium,2022-03-20T17:05:00Z,139,2022-03-20,2862,9,Final,Tampa Bay Rays,Dylan Bundy,Taylor Rogers,2022-03-20 - Tampa Bay Rays (0) @ Minnesota Twins (3) (Final),S,0,Minnesota Twins,706905,Minnesota Twins,3,1,Wladimir Pinto,142,Tampa Bay Rays,MIN wins Spring,Chris Muller,['MLB.tv Free Game']
,Zach Thompson,N,,Bottom,Charlotte Sports Park,2022-03-21T17:05:00Z,134,2022-03-21,2534,9,Final,Pittsburgh Pirates,Jalen Beeks,Zach Thompson,2022-03-21 - Pittsburgh Pirates (5) @ Tampa Bay Rays (1) (Final),S,5,Tampa Bay Rays,706819,Pittsburgh Pirates,1,1,,139,Tampa Bay Rays,PIT wins Spring,Seth Blair,['MLB.tv Free Game']
,Rich Hill,N,,Bottom,Charlotte Sports Park,2022-03-22T17:05:00Z,111,2022-03-22,2534,9,Final,Boston Red Sox,Chris Mazza,Rich Hill,2022-03-22 - Boston Red Sox (4) @ Tampa Bay Rays (2) (Final),S,4,Tampa Bay Rays,706817,Boston Red Sox,2,1,Austin Davis,139,Tampa Bay Rays,BOS wins Spring,Chris Mazza,['MLB.tv Free Game']
,Shane McClanahan,N,,Bottom,CoolToday Park,2022-03-23T17:05:00Z,139,2022-03-23,5380,9,Final: Tied,Tampa Bay Rays,Kyle Wright,,2022-03-23 - Tampa Bay Rays @ Atlanta Braves (Final: Tied),S,7,Atlanta Braves,707039,,7,1,,144,,,,['MLB.tv Free Game']
,Drew Rasmussen,N,,Top,Hammond Stadium,2022-03-24T17:05:00Z,139,2022-03-24,2862,9,Final,Tampa Bay Rays,Bailey Ober,Bailey Ober,2022-03-24 - Tampa Bay Rays (1) @ Minnesota Twins (7) (Final),S,1,Minnesota Twins,706904,Minnesota Twins,7,1,,142,Tampa Bay Rays,MIN wins Spring,Drew Rasmussen,['MLB.tv Free Game']
,Chris Ellis,N,,Top,Charlotte Sports Park,2022-03-25T17:05:00Z,110,2022-03-25,2534,9,Final,Baltimore Orioles,Josh Fleming,Ryan Thompson,2022-03-25 - Baltimore Orioles (4) @ Tampa Bay Rays (9) (Final),S,4,Tampa Bay Rays,706818,Tampa Bay Rays,9,1,,139,Baltimore Orioles,TB wins Spring,Chris Ellis,[]
,Corey Kluber,N,,Top,JetBlue Park,2022-03-26T17:05:00Z,139,2022-03-26,4309,9,Final,Tampa Bay Rays,Michael Wacha,Michael Wacha,2022-03-26 - Tampa Bay Rays (3) @ Boston Red Sox (5) (Final),S,3,Boston Red Sox,707017,Boston Red Sox,5,1,Phillips Valdez,111,Tampa Bay Rays,BOS wins Spring,Corey Kluber,[]
,Charlie Morton,N,,Top,Charlotte Sports Park,2022-03-27T17:05:00Z,144,2022-03-27,2534,9,Final,Atlanta Braves,Ryan Yarbrough,Jeffrey Springs,2022-03-27 - Atlanta Braves (1) @ Tampa Bay Rays (4) (Final),S,1,Tampa Bay Rays,706816,Tampa Bay Rays,4,1,Colin Poche,139,Atlanta Braves,TB wins Spring,Trey Riley,[]
,Bailey Ober,N,,Top,Charlotte Sports Park,2022-03-29T17:05:00Z,142,2022-03-29,2534,9,Final,Minnesota Twins,Drew Rasmussen,J.P. Feyereisen,2022-03-29 - Minnesota Twins (2) @ Tampa Bay Rays (4) (Final),S,2,Tampa Bay Rays,706815,Tampa Bay Rays,4,1,Jason Adam,139,Minnesota Twins,TB wins Spring,Trevor Megill,[]
,Josh Fleming,N,,Bottom,Ed Smith Stadium,2022-03-30T17:05:00Z,139,2022-03-30,2508,9,Final,Tampa Bay Rays,Bruce Zimmermann,Joey Krehbiel,2022-03-30 - Tampa Bay Rays (6) @ Baltimore Orioles (7) (Final),S,6,Baltimore Orioles,707025,Baltimore Orioles,7,1,,110,Tampa Bay Rays,BAL wins Spring,Cristofer Ogando,[]
,Luis Patino,N,,Bottom,CoolToday Park,2022-03-31T17:05:00Z,139,2022-03-31,5380,9,Final,Tampa Bay Rays,Kyle Muller,Luis Patino,2022-03-31 - Tampa Bay Rays (5) @ Atlanta Braves (1) (Final),S,5,Atlanta Braves,707035,Tampa Bay Rays,1,1,,144,Atlanta Braves,TB wins Spring,Kyle Muller,[]
,Rich Hill,N,,Top,Charlotte Sports Park,2022-04-01T17:05:00Z,111,2022-04-01,2534,9,Final,Boston Red Sox,Ryan Yarbrough,Ryan Yarbrough,2022-04-01 - Boston Red Sox (3) @ Tampa Bay Rays (9) (Final),S,3,Tampa Bay Rays,706814,Tampa Bay Rays,9,1,,139,Boston Red Sox,TB wins Spring,Rich Hill,[]
,Devin Smeltzer,N,,Bottom,Charlotte Sports Park,2022-04-02T17:05:00Z,142,2022-04-02,2534,9,Final,Minnesota Twins,Shane McClanahan,Devin Smeltzer,2022-04-02 - Minnesota Twins (8) @ Tampa Bay Rays (2) (Final),S,8,Tampa Bay Rays,706811,Minnesota Twins,2,1,,139,Tampa Bay Rays,MIN wins Spring,Shane McClanahan,[]
,Drew Rasmussen,N,,Bottom,LECOM Park,2022-04-03T17:05:00Z,139,2022-04-03,2526,9,Final,Tampa Bay Rays,Mitch Keller,Drew Rasmussen,2022-04-03 - Tampa Bay Rays (9) @ Pittsburgh Pirates (2) (Final),S,9,Pittsburgh Pirates,706854,Tampa Bay Rays,2,1,,134,Pittsburgh Pirates,TB wins Spring,Mitch Keller,[]
,Ian Anderson,N,,Bottom,Charlotte Sports Park,2022-04-04T17:05:00Z,144,2022-04-04,2534,9,Final,Atlanta Braves,Josh Fleming,Ian Anderson,2022-04-04 - Atlanta Braves (8) @ Tampa Bay Rays (2) (Final),S,8,Tampa Bay Rays,706812,Atlanta Braves,2,1,,139,Tampa Bay Rays,ATL leads 1-0,Josh Fleming,[]
,Corey Kluber,N,,Top,CoolToday Park,2022-04-05T17:05:00Z,139,2022-04-05,5380,9,Final,Tampa Bay Rays,Bryce Elder,Sean Newcomb,2022-04-05 - Tampa Bay Rays (0) @ Atlanta Braves (1) (Final),S,0,Atlanta Braves,707033,Atlanta Braves,1,1,Trey Riley,144,Tampa Bay Rays,ATL wins 2-0,Corey Kluber,[]
,Ranger Suarez,N,,Bottom,Tropicana Field,2022-04-06T16:35:00Z,143,2022-04-06,12,9,Final,Philadelphia Phillies,Luis Patino,Ranger Suarez,2022-04-06 - Philadelphia Phillies (9) @ Tampa Bay Rays (2) (Final),S,9,Tampa Bay Rays,706810,Philadelphia Phillies,2,1,,139,Tampa Bay Rays,PHI wins Spring,Luis Patino,[]
,John Means,N,,Top,Tropicana Field,2022-04-08T19:10:00Z,110,2022-04-08,12,9,Final,Baltimore Orioles,Shane McClanahan,Andrew Kittredge,2022-04-08 - Baltimore Orioles (1) @ Tampa Bay Rays (2) (Final),R,1,Tampa Bay Rays,661918,Tampa Bay Rays,2,1,Brooks Raley,139,Baltimore Orioles,TB leads 1-0,Dillon Tate,[]
,Jordan Lyles,N,,Top,Tropicana Field,2022-04-09T17:10:00Z,110,2022-04-09,12,9,Final,Baltimore Orioles,Drew Rasmussen,Josh Fleming,2022-04-09 - Baltimore Orioles (3) @ Tampa Bay Rays (5) (Final),R,3,Tampa Bay Rays,661917,Tampa Bay Rays,5,1,Andrew Kittredge,139,Baltimore Orioles,TB wins 2-0,Jordan Lyles,['MLBN (out-of-market only)']
,Tyler Wells,N,,Top,Tropicana Field,2022-04-10T17:10:00Z,110,2022-04-10,12,9,Final,Baltimore Orioles,Corey Kluber,Jeffrey Springs,2022-04-10 - Baltimore Orioles (0) @ Tampa Bay Rays (8) (Final),R,0,Tampa Bay Rays,661916,Tampa Bay Rays,8,1,,139,Baltimore Orioles,TB wins 3-0,Tyler Wells,[]
,Paul Blackburn,N,,Bottom,Tropicana Field,2022-04-11T22:40:00Z,133,2022-04-11,12,9,Final,Oakland Athletics,Luis Patino,Paul Blackburn,2022-04-11 - Oakland Athletics (13) @ Tampa Bay Rays (2) (Final),R,13,Tampa Bay Rays,661915,Oakland Athletics,2,1,,139,Tampa Bay Rays,OAK leads 1-0,Luis Patino,[]
,Adam Oller,N,,Bottom,Tropicana Field,2022-04-12T22:40:00Z,133,2022-04-12,12,10,Final,Oakland Athletics,Tommy Romero,Ryan Thompson,2022-04-12 - Oakland Athletics (8) @ Tampa Bay Rays (9) (Final),R,8,Tampa Bay Rays,661944,Tampa Bay Rays,9,1,,139,Oakland Athletics,Series tied 1-1,Lou Trivino,['MLBN (out-of-market only)']
,Frankie Montas,N,,Bottom,Tropicana Field,2022-04-13T22:40:00Z,133,2022-04-13,12,9,Final,Oakland Athletics,Shane McClanahan,Frankie Montas,2022-04-13 - Oakland Athletics (4) @ Tampa Bay Rays (2) (Final),R,4,Tampa Bay Rays,661943,Oakland Athletics,2,1,Lou Trivino,139,Tampa Bay Rays,OAK leads 2-1,Shane McClanahan,[]
