away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,summary,winning_pitcher,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Jonathan Heasley,N,,Bottom,Surprise Stadium,2022-03-18T20:05:00Z,118,2022-03-18,2603,9,Final: Tied,Kansas City Royals,Jake Latz,2022-03-18 - Kansas City Royals @ Texas Rangers (Final: Tied),,S,5,Texas Rangers,706813,,5,1,,140,,,,[]
,Luis Perdomo,N,,Bottom,Surprise Stadium,2022-03-19T20:05:00Z,158,2022-03-19,2603,9,Final,Milwaukee Brewers,Dane Dunning,2022-03-19 - Milwaukee Brewers (11) @ Texas Rangers (0) (Final),Luis Perdomo,S,11,Texas Rangers,706806,Milwaukee Brewers,0,1,,140,Texas Rangers,MIL wins Spring,Dane Dunning,[]
,Taylor Hearn,N,,Bottom,Goodyear Ballpark,2022-03-21T20:05:00Z,140,2022-03-21,3834,9,Final,Texas Rangers,Logan Allen,2022-03-21 - Texas Rangers (25) @ Cleveland Guardians (12) (Final),Taylor Hearn,S,25,Cleveland Guardians,706988,Texas Rangers,12,1,,114,Cleveland Guardians,TEX wins Spring,Logan Allen,['MLB.tv Free Game']
,Kolby Allard,N,,Bottom,Salt River Fields at Talking Stick,2022-03-22T20:10:00Z,140,2022-03-22,4249,9,Final,Texas Rangers,Madison Bumgarner,2022-03-22 - Texas Rangers (4) @ Arizona Diamondbacks (1) (Final),Kolby Allard,S,4,Arizona Diamondbacks,707049,Texas Rangers,1,1,Ricky Vanasco,109,Arizona Diamondbacks,TEX wins Spring,Madison Bumgarner,[]
,Lance Lynn,N,,Top,Surprise Stadium,2022-03-23T20:05:00Z,145,2022-03-23,2603,9,Final,Chicago White Sox,Glenn Otto,2022-03-23 - Chicago White Sox (5) @ Texas Rangers (14) (Final),Nick Tropeano,S,5,Texas Rangers,706807,Texas Rangers,14,1,,140,Chicago White Sox,TEX wins Spring,Craig Kimbrel,[]
,Jon Gray,N,,Bottom,Hohokam Stadium,2022-03-24T20:05:00Z,140,2022-03-24,2507,9,Final,Texas Rangers,Sean Manaea,2022-03-24 - Texas Rangers (5) @ Oakland Athletics (3) (Final),Spencer Howard,S,5,Oakland Athletics,706879,Texas Rangers,3,1,Brandon Workman,133,Oakland Athletics,TEX wins Spring,Brent Honeywell Jr.,['MLB.tv Free Game']
,Dane Dunning,N,,Bottom,Surprise Stadium,2022-03-25T20:05:00Z,140,2022-03-25,2603,9,Final,Texas Rangers,Carlos Hernandez,2022-03-25 - Texas Rangers (8) @ Kansas City Royals (4) (Final),Dane Dunning,S,8,Kansas City Royals,706944,Texas Rangers,4,1,,118,Kansas City Royals,TEX wins Spring,Carlos Hernandez,[]
,Taylor Hearn,N,,Top,Salt River Fields at Talking Stick,2022-03-26T20:10:00Z,140,2022-03-26,4249,9,Final,Texas Rangers,Austin Gomber,2022-03-26 - Texas Rangers (7) @ Colorado Rockies (8) (Final),Robert Stephenson,S,7,Colorado Rockies,706974,Colorado Rockies,8,1,Julian Fernandez,115,Texas Rangers,COL wins Spring,Jesus Tinoco,[]
,Tyler Gilbert,N,,Top,Surprise Stadium,2022-03-27T20:05:00Z,109,2022-03-27,2603,9,Final,Arizona Diamondbacks,A.J. Alexy,2022-03-27 - Arizona Diamondbacks (0) @ Texas Rangers (13) (Final),A.J. Alexy,S,0,Texas Rangers,706808,Texas Rangers,13,1,,140,Arizona Diamondbacks,TEX wins Spring,Tyler Gilbert,[]
,Glenn Otto,N,,Top,Peoria Stadium,2022-03-28T20:10:00Z,140,2022-03-28,2530,9,Final,Texas Rangers,Robbie Ray,2022-03-28 - Texas Rangers (5) @ Seattle Mariners (6) (Final),Robbie Ray,S,5,Seattle Mariners,706830,Seattle Mariners,6,1,Erik Swanson,136,Texas Rangers,SEA wins Spring,Glenn Otto,[]
,Reiver Sanmartin,N,,Bottom,Surprise Stadium,2022-03-29T20:05:00Z,113,2022-03-29,2603,9,Final,Cincinnati Reds,Spencer Howard,2022-03-29 - Cincinnati Reds (7) @ Texas Rangers (1) (Final),Reiver Sanmartin,S,7,Texas Rangers,706809,Cincinnati Reds,1,1,,140,Texas Rangers,CIN wins Spring,Matt Moore,[]
,Martin Perez,N,,Top,Camelback Ranch,2022-03-30T20:05:00Z,140,2022-03-30,3809,9,Final,Texas Rangers,Dylan Cease,2022-03-30 - Texas Rangers (0) @ Chicago White Sox (7) (Final),Dylan Cease,S,0,Chicago White Sox,706997,Chicago White Sox,7,1,,145,Texas Rangers,CWS wins Spring,Martin Perez,[]
,Ryan Pepiot,N,,Top,Surprise Stadium,2022-03-31T20:05:00Z,119,2022-03-31,2603,9,Final,Los Angeles Dodgers,Taylor Hearn,2022-03-31 - Los Angeles Dodgers (2) @ Texas Rangers (8) (Final),Taylor Hearn,S,2,Texas Rangers,706802,Texas Rangers,8,1,,140,Los Angeles Dodgers,TEX wins Spring,Ryan Pepiot,[]
,Kolby Allard,N,,Bottom,Scottsdale Stadium,2022-04-01T19:05:00Z,140,2022-04-01,2532,9,Final: Tied,Texas Rangers,Alex Cobb,2022-04-01 - Texas Rangers @ San Francisco Giants (Final: Tied),,S,7,San Francisco Giants,706837,,7,1,,137,,,,[]
,Shane Bieber,N,,Top,Surprise Stadium,2022-04-03T01:05:00Z,114,2022-04-02,2603,9,Final,Cleveland Guardians,Matt Bush,2022-04-02 - Cleveland Guardians (1) @ Texas Rangers (3) (Final),Zak Kent,S,1,Texas Rangers,706804,Texas Rangers,3,1,John King,140,Cleveland Guardians,TEX wins Spring,Shane Bieber,[]
,Jon Gray,N,,Bottom,American Family Fields of Phoenix,2022-04-03T20:10:00Z,140,2022-04-03,2518,9,Final,Texas Rangers,Brandon Woodruff,2022-04-03 - Texas Rangers (13) @ Milwaukee Brewers (2) (Final),Jon Gray,S,13,Milwaukee Brewers,706911,Texas Rangers,2,1,,158,Milwaukee Brewers,TEX wins Spring,Brandon Woodruff,[]
,Nick Martinez,N,,Bottom,Surprise Stadium,2022-04-04T20:05:00Z,135,2022-04-04,2603,9,Final,San Diego Padres,Dane Dunning,2022-04-04 - San Diego Padres (11) @ Texas Rangers (5) (Final),Nick Martinez,S,11,Texas Rangers,706803,San Diego Padres,5,1,,140,Texas Rangers,SD wins Spring,Dane Dunning,[]
,Michael Rucker,N,,Top,Surprise Stadium,2022-04-05T19:05:00Z,112,2022-04-05,2603,9,Final,Chicago Cubs,Taylor Hearn,2022-04-05 - Chicago Cubs (5) @ Texas Rangers (11) (Final),Taylor Hearn,S,5,Texas Rangers,706805,Texas Rangers,11,1,,140,Chicago Cubs,TEX wins Spring,Eric Yardley,[]
,Jon Gray,N,,Top,Rogers Centre,2022-04-08T23:07:00Z,140,2022-04-08,14,9,Final,Texas Rangers,Jose Berrios,2022-04-08 - Texas Rangers (8) @ Toronto Blue Jays (10) (Final),Adam Cimber,R,8,Toronto Blue Jays,661782,Toronto Blue Jays,10,1,Jordan Romano,141,Texas Rangers,TOR leads 1-0,Dennis Santana,[]
,Dane Dunning,N,,Top,Rogers Centre,2022-04-09T19:07:00Z,140,2022-04-09,14,9,Final,Texas Rangers,Kevin Gausman,2022-04-09 - Texas Rangers (3) @ Toronto Blue Jays (4) (Final),Trevor Richards,R,3,Toronto Blue Jays,661803,Toronto Blue Jays,4,1,Jordan Romano,141,Texas Rangers,TOR wins 2-0,Brett Martin,[]
,Spencer Howard,N,,Bottom,Rogers Centre,2022-04-10T17:37:00Z,140,2022-04-10,14,9,Final,Texas Rangers,Hyun Jin Ryu,2022-04-10 - Texas Rangers (12) @ Toronto Blue Jays (6) (Final),Brock Burke,R,12,Toronto Blue Jays,661802,Texas Rangers,6,1,,141,Toronto Blue Jays,TOR wins 2-1,Julian Merryweather,['MLBN (out-of-market only)']
,Austin Gomber,N,,Bottom,Globe Life Field,2022-04-11T20:05:00Z,115,2022-04-11,5325,10,Final,Colorado Rockies,Taylor Hearn,2022-04-11 - Colorado Rockies (6) @ Texas Rangers (4) (Final),Daniel Bard,R,6,Texas Rangers,662042,Colorado Rockies,4,1,Ashton Goudeau,140,Texas Rangers,COL leads 1-0,Greg Holland,[]
,Chad Kuhl,N,,Bottom,Globe Life Field,2022-04-13T00:05:00Z,115,2022-04-12,5325,9,Final,Colorado Rockies,Martin Perez,2022-04-12 - Colorado Rockies (4) @ Texas Rangers (1) (Final),Jhoulys Chacin,R,4,Texas Rangers,661995,Colorado Rockies,1,1,Daniel Bard,140,Texas Rangers,COL wins 2-0,Martin Perez,[]
,Shohei Ohtani,N,,Top,Globe Life Field,2022-04-15T00:05:00Z,108,2022-04-14,5325,9,Final,Los Angeles Angels,Dane Dunning,2022-04-14 - Los Angeles Angels (5) @ Texas Rangers (10) (Final),John King,R,5,Texas Rangers,661993,Texas Rangers,10,1,,140,Los Angeles Angels,TEX leads 1-0,Shohei Ohtani,"['MLBN (out-of-market only)', 'MLB.tv Free Game']"
,Reid Detmers,N,,Bottom,Globe Life Field,2022-04-16T00:05:00Z,108,2022-04-15,5325,9,Final,Los Angeles Angels,Matt Bush,2022-04-15 - Los Angeles Angels (9) @ Texas Rangers (6) (Final),Austin Warren,R,9,Texas Rangers,662014,Los Angeles Angels,6,1,Raisel Iglesias,140,Texas Rangers,Series tied 1-1,Kolby Allard,[]
,Noah Syndergaard,N,,Bottom,Globe Life Field,2022-04-16T23:05:00Z,108,2022-04-16,5325,9,Final,Los Angeles Angels,Taylor Hearn,2022-04-16 - Los Angeles Angels (7) @ Texas Rangers (2) (Final),Noah Syndergaard,R,7,Texas Rangers,661981,Los Angeles Angels,2,1,,140,Texas Rangers,LAA leads 2-1,Taylor Hearn,['MLBN (out-of-market only)']
