away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Jose Berrios,N,,Bottom,Ed Smith Stadium,2022-03-18T17:05:00Z,141,2022-03-18,2508,9,Final,Toronto Blue Jays,Spenser Watkins,Graham Spraker,2022-03-18 - Toronto Blue Jays (9) @ Baltimore Orioles (5) (Final),S,9,Baltimore Orioles,707027,Toronto Blue Jays,5,1,Brandon Eisert,110,Baltimore Orioles,TOR wins Spring,Spenser Watkins,[]
,Nick Allgeyer,N,,Top,BayCare Ballpark,2022-03-19T17:05:00Z,141,2022-03-19,2700,9,Final,Toronto Blue Jays,Aaron Nola,Erik Miller,2022-03-19 - Toronto Blue Jays (2) @ Philadelphia Phillies (3) (Final),S,2,Philadelphia Phillies,706872,Philadelphia Phillies,3,1,Brian Marconi,143,Toronto Blue Jays,PHI wins Spring,Ryan Borucki,"['MLBN', 'MLB.tv Free Game']"
,Dillon Peters,N,,Top,TD Ballpark,2022-03-20T17:07:00Z,134,2022-03-20,2536,9,Final,Pittsburgh Pirates,Anthony Kay,Anthony Kay,2022-03-20 - Pittsburgh Pirates (4) @ Toronto Blue Jays (10) (Final),S,4,Toronto Blue Jays,706801,Toronto Blue Jays,10,1,,141,Pittsburgh Pirates,TOR wins Spring,Dillon Peters,['MLB.tv Free Game']
,Alek Manoah,N,,Bottom,Publix Field at Joker Marchant Stadium,2022-03-21T17:05:00Z,141,2022-03-21,2511,9,Final,Toronto Blue Jays,Matt Manning,Nate Pearson,2022-03-21 - Toronto Blue Jays (3) @ Detroit Tigers (1) (Final),S,3,Detroit Tigers,706963,Toronto Blue Jays,1,1,Jeremy Beasley,116,Detroit Tigers,TOR wins Spring,Miguel Del Pozo,['MLB.tv Free Game']
,Jordan Montgomery,N,,Top,TD Ballpark,2022-03-22T17:07:00Z,147,2022-03-22,2536,9,Final,New York Yankees,Yusei Kikuchi,Yusei Kikuchi,2022-03-22 - New York Yankees (2) @ Toronto Blue Jays (9) (Final),S,2,Toronto Blue Jays,706800,Toronto Blue Jays,9,1,,141,New York Yankees,TOR wins Spring,Jordan Montgomery,['MLB.tv Free Game']
,Jose Berrios,N,,Top,BayCare Ballpark,2022-03-23T17:05:00Z,141,2022-03-23,2700,9,Final,Toronto Blue Jays,Cristopher Sanchez,Cristopher Sanchez,2022-03-23 - Toronto Blue Jays (7) @ Philadelphia Phillies (8) (Final),S,7,Philadelphia Phillies,706867,Philadelphia Phillies,8,1,Francisco Morales,143,Toronto Blue Jays,PHI wins Spring,Jose Berrios,['MLB.tv Free Game']
,Dylan Lee,N,,,TD Ballpark,2022-03-24T17:07:00Z,144,2022-03-24,2536,,Postponed,Atlanta Braves,Kevin Gausman,,2022-03-24 - Atlanta Braves @ Toronto Blue Jays (Postponed),S,0,Toronto Blue Jays,706798,,0,1,,141,,,,[]
,Tarik Skubal,N,,Bottom,TD Ballpark,2022-03-25T17:07:00Z,116,2022-03-25,2536,9,Final,Detroit Tigers,Hyun Jin Ryu,Chase Anderson,2022-03-25 - Detroit Tigers (8) @ Toronto Blue Jays (4) (Final),S,8,Toronto Blue Jays,706799,Detroit Tigers,4,1,Ricardo Pinto,141,Toronto Blue Jays,DET wins Spring,Julian Merryweather,[]
,Alek Manoah,N,,Bottom,George M. Steinbrenner Field,2022-03-26T17:05:00Z,141,2022-03-26,2523,9,Final,Toronto Blue Jays,Michael King,Nate Pearson,2022-03-26 - Toronto Blue Jays (10) @ New York Yankees (9) (Final),S,10,New York Yankees,706888,Toronto Blue Jays,9,1,Andrew Vasquez,147,New York Yankees,TOR wins Spring,Vinny Nittoli,[]
,Bailey Falter,N,,Bottom,TD Ballpark,2022-03-27T17:07:00Z,143,2022-03-27,2536,9,Final,Philadelphia Phillies,Yusei Kikuchi,Bailey Falter,2022-03-27 - Philadelphia Phillies (10) @ Toronto Blue Jays (5) (Final),S,10,Toronto Blue Jays,706796,Philadelphia Phillies,5,1,,141,Toronto Blue Jays,PHI wins Spring,Yusei Kikuchi,[]
,Shaun Anderson,N,,Top,CoolToday Park,2022-03-28T17:05:00Z,141,2022-03-28,5380,9,Final,Toronto Blue Jays,Spencer Strider,Spencer Strider,2022-03-28 - Toronto Blue Jays (4) @ Atlanta Braves (5) (Final),S,4,Atlanta Braves,707032,Atlanta Braves,5,1,Connor Johnstone,144,Toronto Blue Jays,ATL wins Spring,Shaun Anderson,[]
,Nick Allgeyer,N,,Bottom,George M. Steinbrenner Field,2022-03-30T22:35:00Z,141,2022-03-30,2523,9,Final,Toronto Blue Jays,Manny Banuelos,Trent Thornton,2022-03-30 - Toronto Blue Jays (11) @ New York Yankees (3) (Final),S,11,New York Yankees,706881,Toronto Blue Jays,3,1,,147,New York Yankees,TOR wins Spring,JP Sears,[]
