away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Sandy Alcantara,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-18T22:05:00Z,146,2022-03-18,5000,9,Final,Miami Marlins,Josh Rogers,Sandy Alcantara,2022-03-18 - Miami Marlins (8) @ Washington Nationals (3) (Final),S,8,Washington Nationals,706791,Miami Marlins,3,1,,120,Washington Nationals,MIA wins Spring,Josh Rogers,[]
,Josh Walker,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-19T22:05:00Z,121,2022-03-19,5000,9,Final,New York Mets,Josiah Gray,Josh Walker,2022-03-19 - New York Mets (6) @ Washington Nationals (2) (Final),S,6,Washington Nationals,706792,New York Mets,2,1,,120,Washington Nationals,NYM wins Spring,Josiah Gray,[]
,Anibal Sanchez,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-20T17:05:00Z,120,2022-03-20,5000,9,Final,Washington Nationals,Hunter Brown,Cade Cavalli,2022-03-20 - Washington Nationals (3) @ Houston Astros (2) (Final),S,3,Houston Astros,706958,Washington Nationals,2,1,,117,Houston Astros,WSH wins Spring,Chad Donato,[]
,Steven Matz,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-21T22:05:00Z,138,2022-03-21,5000,9,Final,St. Louis Cardinals,Erick Fedde,Kyle Ryan,2022-03-21 - St. Louis Cardinals (7) @ Washington Nationals (3) (Final),S,7,Washington Nationals,706793,St. Louis Cardinals,3,1,,120,Washington Nationals,STL wins Spring,Austin Voth,['MLB.tv Free Game']
,Patrick Corbin,N,,Top,Roger Dean Chevrolet Stadium,2022-03-23T17:05:00Z,120,2022-03-23,2520,9,Final,Washington Nationals,Sandy Alcantara,Cody Poteet,2022-03-23 - Washington Nationals (2) @ Miami Marlins (3) (Final),S,2,Miami Marlins,706924,Miami Marlins,3,1,Huascar Brazoban,146,Washington Nationals,MIA wins Spring,Kyle Finnegan,[]
,Brandon Bielak,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-24T22:05:00Z,117,2022-03-24,5000,9,Final,Houston Astros,Josiah Gray,Bryan Abreu,2022-03-24 - Houston Astros (10) @ Washington Nationals (8) (Final),S,10,Washington Nationals,706789,Houston Astros,8,1,Jon Olczak,120,Washington Nationals,HOU wins Spring,Sean Doolittle,['MLB.tv Free Game']
,Cade Cavalli,N,,Top,Roger Dean Chevrolet Stadium,2022-03-25T17:05:00Z,120,2022-03-25,2520,9,Final,Washington Nationals,Drew VerHagen,Drew VerHagen,2022-03-25 - Washington Nationals (4) @ St. Louis Cardinals (5) (Final),S,4,St. Louis Cardinals,706829,St. Louis Cardinals,5,1,Jacob Bosiokovic,138,Washington Nationals,STL wins Spring,Cade Cavalli,[]
,Erick Fedde,N,,Top,Clover Park,2022-03-26T17:10:00Z,120,2022-03-26,2856,9,Final,Washington Nationals,Taijuan Walker,David Peterson,2022-03-26 - Washington Nationals (2) @ New York Mets (4) (Final),S,2,New York Mets,706895,New York Mets,4,1,Sean Reid-Foley,121,Washington Nationals,NYM wins Spring,Steve Cishek,[]
,Edward Cabrera,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-28T17:05:00Z,146,2022-03-28,5000,9,Final,Miami Marlins,Patrick Corbin,Edward Cabrera,2022-03-28 - Miami Marlins (8) @ Washington Nationals (1) (Final),S,8,Washington Nationals,706788,Miami Marlins,1,1,,120,Washington Nationals,MIA wins Spring,Patrick Corbin,[]
,Carl Edwards Jr.,N,,Top,The Ballpark of the Palm Beaches,2022-03-29T17:05:00Z,120,2022-03-29,5000,9,Final,Washington Nationals,Justin Verlander,Justin Verlander,2022-03-29 - Washington Nationals (1) @ Houston Astros (3) (Final),S,1,Houston Astros,706952,Houston Astros,3,1,Josh James,117,Washington Nationals,HOU wins Spring,Tanner Rainey,[]
,Miles Mikolas,N,,Bottom,The Ballpark of the Palm Beaches,2022-03-30T17:05:00Z,138,2022-03-30,5000,9,Final,St. Louis Cardinals,Anibal Sanchez,Miles Mikolas,2022-03-30 - St. Louis Cardinals (29) @ Washington Nationals (8) (Final),S,29,Washington Nationals,706786,St. Louis Cardinals,8,1,,120,Washington Nationals,STL wins Spring,Anibal Sanchez,[]
,Josh Rogers,N,,Bottom,Clover Park,2022-03-31T22:10:00Z,120,2022-03-31,2856,9,Final,Washington Nationals,Taijuan Walker,Jordan Weems,2022-03-31 - Washington Nationals (7) @ New York Mets (3) (Final),S,7,New York Mets,706892,Washington Nationals,3,1,,121,New York Mets,WSH wins Spring,Eric Orze,[]
,Joan Adon,N,,,Roger Dean Chevrolet Stadium,2022-04-02T22:40:00Z,120,2022-04-02,2520,,Cancelled,Washington Nationals,Paul Campbell,,2022-04-02 - Washington Nationals @ Miami Marlins (Cancelled),S,0,Miami Marlins,706920,,0,1,,146,,,,[]
,Justin Verlander,N,,Top,The Ballpark of the Palm Beaches,2022-04-03T17:05:00Z,117,2022-04-03,5000,9,Final,Houston Astros,Josiah Gray,Hunter Harvey,2022-04-03 - Houston Astros (6) @ Washington Nationals (9) (Final),S,6,Washington Nationals,706785,Washington Nationals,9,1,Tyler Clippard,120,Houston Astros,WSH wins Spring,Rafael Montero,[]
,Joan Adon,N,,Top,Roger Dean Chevrolet Stadium,2022-04-04T17:05:00Z,120,2022-04-04,2520,9,Final,Washington Nationals,Miles Mikolas,Miles Mikolas,2022-04-04 - Washington Nationals (3) @ St. Louis Cardinals (4) (Final),S,3,St. Louis Cardinals,706823,St. Louis Cardinals,4,1,Genesis Cabrera,138,Washington Nationals,STL wins Spring,Joan Adon,[]
,Taijuan Walker,N,,Top,The Ballpark of the Palm Beaches,2022-04-05T16:05:00Z,121,2022-04-05,5000,9,Final,New York Mets,Erick Fedde,Erick Fedde,2022-04-05 - New York Mets (0) @ Washington Nationals (14) (Final),S,0,Washington Nationals,706787,Washington Nationals,14,1,,120,New York Mets,WSH wins Spring,Taijuan Walker,[]
,Tylor Megill,N,,Bottom,Nationals Park,2022-04-07T23:05:00Z,121,2022-04-07,3309,9,Final,New York Mets,Patrick Corbin,Tylor Megill,2022-04-07 - New York Mets (5) @ Washington Nationals (1) (Final),R,5,Washington Nationals,662571,New York Mets,1,1,,120,Washington Nationals,NYM leads 1-0,Patrick Corbin,[]
,Max Scherzer,N,,Bottom,Nationals Park,2022-04-08T23:05:00Z,121,2022-04-08,3309,9,Final,New York Mets,Josiah Gray,Max Scherzer,2022-04-08 - New York Mets (7) @ Washington Nationals (3) (Final),R,7,Washington Nationals,662559,New York Mets,3,1,,120,Washington Nationals,NYM leads 2-0,Josiah Gray,['Apple TV+']
,Chris Bassitt,N,,Bottom,Nationals Park,2022-04-09T23:05:00Z,121,2022-04-09,3309,9,Final,New York Mets,Joan Adon,Chris Bassitt,2022-04-09 - New York Mets (5) @ Washington Nationals (0) (Final),R,5,Washington Nationals,662588,New York Mets,0,1,,120,Washington Nationals,NYM wins 3-0,Joan Adon,['MLBN (out-of-market only)']
,Carlos Carrasco,N,,Top,Nationals Park,2022-04-10T17:35:00Z,121,2022-04-10,3309,9,Final,New York Mets,Erick Fedde,Kyle Finnegan,2022-04-10 - New York Mets (2) @ Washington Nationals (4) (Final),R,2,Washington Nationals,662570,Washington Nationals,4,1,Tanner Rainey,120,New York Mets,NYM wins 3-1,Trevor Williams,"['MLBN (out-of-market only)', 'MLB.tv Free Game']"
,Josh Rogers,N,,Bottom,Truist Park,2022-04-11T23:20:00Z,120,2022-04-11,4705,9,Final,Washington Nationals,Huascar Ynoa,Josh Rogers,2022-04-11 - Washington Nationals (11) @ Atlanta Braves (2) (Final),R,11,Atlanta Braves,661572,Washington Nationals,2,1,,144,Atlanta Braves,WSH leads 1-0,Huascar Ynoa,[]
,Patrick Corbin,N,,Top,Truist Park,2022-04-12T23:20:00Z,120,2022-04-12,4705,9,Final,Washington Nationals,Bryce Elder,Bryce Elder,2022-04-12 - Washington Nationals (4) @ Atlanta Braves (16) (Final),R,4,Atlanta Braves,661571,Atlanta Braves,16,1,Jackson Stephens,144,Washington Nationals,Series tied 1-1,Patrick Corbin,[]
,Josiah Gray,N,,Bottom,Truist Park,2022-04-13T16:20:00Z,120,2022-04-13,4705,9,Final,Washington Nationals,Max Fried,Josiah Gray,2022-04-13 - Washington Nationals (3) @ Atlanta Braves (1) (Final),R,3,Atlanta Braves,661570,Washington Nationals,1,1,Tanner Rainey,144,Atlanta Braves,WSH wins 2-1,Max Fried,['MLBN (out-of-market only)']
,Joan Adon,N,,Top,PNC Park,2022-04-14T22:35:00Z,120,2022-04-14,31,9,Final,Washington Nationals,JT Brubaker,Roansy Contreras,2022-04-14 - Washington Nationals (4) @ Pittsburgh Pirates (9) (Final),R,4,Pittsburgh Pirates,662307,Pittsburgh Pirates,9,1,,134,Washington Nationals,PIT leads 1-0,Joan Adon,[]
,Erick Fedde,N,,Bottom,PNC Park,2022-04-15T22:35:00Z,120,2022-04-15,31,9,Final,Washington Nationals,Mitch Keller,Erick Fedde,2022-04-15 - Washington Nationals (7) @ Pittsburgh Pirates (2) (Final),R,7,Pittsburgh Pirates,662291,Washington Nationals,2,1,,134,Pittsburgh Pirates,Series tied 1-1,Mitch Keller,[]
,Josh Rogers,N,,Top,PNC Park,2022-04-16T22:35:00Z,120,2022-04-16,31,9,Final,Washington Nationals,Bryse Wilson,Dillon Peters,2022-04-16 - Washington Nationals (4) @ Pittsburgh Pirates (6) (Final),R,4,Pittsburgh Pirates,662290,Pittsburgh Pirates,6,1,,134,Washington Nationals,PIT leads 2-1,Josh Rogers,[]
,Patrick Corbin,N,,Top,PNC Park,2022-04-17T17:35:00Z,120,2022-04-17,31,9,Final,Washington Nationals,Jose Quintana,Heath Hembree,2022-04-17 - Washington Nationals (3) @ Pittsburgh Pirates (5) (Final),R,3,Pittsburgh Pirates,662294,Pittsburgh Pirates,5,1,David Bednar,134,Washington Nationals,PIT wins 3-1,Steve Cishek,[]
,Madison Bumgarner,N,,,Nationals Park,2022-04-18T23:05:00Z,109,2022-04-18,3309,,Postponed,Arizona Diamondbacks,Josiah Gray,,2022-04-18 - Arizona Diamondbacks @ Washington Nationals (Postponed),R,0,Washington Nationals,662587,,0,1,,120,,WSH leads 1-0,,[]
,Madison Bumgarner,S,,Top,Nationals Park,2022-04-19T17:05:00Z,109,2022-04-19,3309,9,Final,Arizona Diamondbacks,Josiah Gray,Josiah Gray,2022-04-19 - Arizona Diamondbacks (1) @ Washington Nationals (6) (Final),R,1,Washington Nationals,662587,Washington Nationals,6,1,,120,Arizona Diamondbacks,WSH leads 1-0,Madison Bumgarner,[]
,Tyler Gilbert,S,,Top,Nationals Park,2022-04-19T23:05:00Z,109,2022-04-19,3309,9,Final,Arizona Diamondbacks,Joan Adon,Joan Adon,2022-04-19 - Arizona Diamondbacks (0) @ Washington Nationals (1) (Final),R,0,Washington Nationals,662583,Washington Nationals,1,2,Tanner Rainey,120,Arizona Diamondbacks,WSH leads 2-0,Tyler Gilbert,[]
,Merrill Kelly,N,,Bottom,Nationals Park,2022-04-20T23:05:00Z,109,2022-04-20,3309,9,Final,Arizona Diamondbacks,Erick Fedde,Merrill Kelly,2022-04-20 - Arizona Diamondbacks (11) @ Washington Nationals (2) (Final),R,11,Washington Nationals,662560,Arizona Diamondbacks,2,1,,120,Washington Nationals,WSH leads 2-1,Erick Fedde,[]
,Zach Davies,N,,Bottom,Nationals Park,2022-04-21T20:05:00Z,109,2022-04-21,3309,9,Final,Arizona Diamondbacks,Josh Rogers,Zach Davies,2022-04-21 - Arizona Diamondbacks (4) @ Washington Nationals (3) (Final),R,4,Washington Nationals,662558,Arizona Diamondbacks,3,1,Mark Melancon,120,Washington Nationals,Series tied 2-2,Josh Rogers,[]
,Sam Long,N,,Bottom,Nationals Park,2022-04-22T23:05:00Z,137,2022-04-22,3309,9,Final,San Francisco Giants,Patrick Corbin,Jakob Junis,2022-04-22 - San Francisco Giants (7) @ Washington Nationals (1) (Final),R,7,Washington Nationals,662557,San Francisco Giants,1,1,,120,Washington Nationals,SF leads 1-0,Patrick Corbin,[]
,Alex Wood,N,,Bottom,Nationals Park,2022-04-23T17:05:00Z,137,2022-04-23,3309,9,Final,San Francisco Giants,Aaron Sanchez,Alex Wood,2022-04-23 - San Francisco Giants (5) @ Washington Nationals (2) (Final),R,5,Washington Nationals,662549,San Francisco Giants,2,1,Camilo Doval,120,Washington Nationals,SF wins 2-0,Aaron Sanchez,['MLBN (out-of-market only)']
,Logan Webb,N,,Bottom,Nationals Park,2022-04-24T17:35:00Z,137,2022-04-24,3309,9,Final,San Francisco Giants,Joan Adon,Logan Webb,2022-04-24 - San Francisco Giants (12) @ Washington Nationals (3) (Final),R,12,Washington Nationals,662539,San Francisco Giants,3,1,,120,Washington Nationals,SF wins 3-0,Joan Adon,[]
,Sandy Alcantara,N,,Bottom,Nationals Park,2022-04-26T23:05:00Z,146,2022-04-26,3309,9,Final,Miami Marlins,Josiah Gray,Sandy Alcantara,2022-04-26 - Miami Marlins (5) @ Washington Nationals (2) (Final),R,5,Washington Nationals,662540,Miami Marlins,2,1,Anthony Bender,120,Washington Nationals,MIA leads 1-0,Josiah Gray,[]
