"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Zac Gallen","ARI","12","4","0","31","31","184.0","9.39","2.30","0.73",".237","78.0%","46.0%","9.1%","93.9","2.54","3.17","3.05","3.31","4.3","19291"
"Merrill Kelly","ARI","13","8","0","33","33","200.1","7.95","2.74","0.94",".269","76.3%","42.8%","9.9%","92.4","3.37","3.62","3.65","3.86","3.3","11156"
"Joe Mantiply","ARI","2","5","2","69","0","60.0","9.15","0.90","0.90",".317","77.2%","53.5%","15.0%","91.0","2.85","3.22","2.83","2.52","1.2","14857"
"Andrew Chafin","ARI","2","3","3","64","0","57.1","10.52","2.98","0.78",".289","69.8%","51.3%","9.6%","91.8","2.83","2.92","3.06","3.27","0.9","12988"
"Kevin Ginkel","ARI","1","1","1","30","0","29.1","9.20","3.38","0.31",".321","66.5%","48.8%","3.8%","96.2","3.38","2.90","2.74","3.61","0.5","19876"
"Drey Jameson","ARI","3","0","0","4","4","24.1","8.88","2.59","0.74",".281","95.2%","56.1%","14.3%","95.6","1.48","4.49","3.19","2.98","0.5","26260"
"Zach Davies","ARI","2","5","0","27","27","134.1","6.83","3.48","1.41",".257","75.0%","42.9%","13.0%","","4.09","4.56","4.83","4.57","0.5","13183"
"Madison Bumgarner","ARI","7","15","0","30","30","158.2","6.35","2.78","1.42",".306","69.3%","36.9%","11.5%","91.0","4.88","5.53","4.85","4.83","0.5","5524"
"Kyle Nelson","ARI","2","1","0","43","1","37.0","7.30","3.41","0.24",".243","79.3%","40.6%","2.6%","91.7","2.19","4.02","3.22","4.39","0.4","20515"
"Ryne Nelson","ARI","1","1","0","3","3","18.1","7.85","2.95","0.98",".156","90.2%","23.4%","6.9%","94.5","1.47","2.24","3.77","4.69","0.3","26253"
"Mark Melancon","ARI","3","10","18","62","0","56.0","5.63","3.38","0.80",".314","61.5%","44.1%","8.3%","91.2","4.66","4.78","4.20","4.63","0.1","4264"
"Miguel Castro","ARI","5","0","0","34","0","29.0","9.62","4.66","0.62",".316","69.4%","47.5%","8.0%","","4.03","4.87","3.84","4.22","0.1","15684"
"Carson Kelly","ARI","0","0","0","4","0","4.2","0.00","3.86","1.93",".381","72.9%","18.2%","9.1%","61.0","7.71","6.17","7.18","7.89","-0.1","13620"
"Corbin Martin","ARI","0","1","0","7","2","22.1","8.46","4.84","1.21",".338","70.1%","29.9%","10.7%","94.0","4.84","6.74","4.59","4.70","-0.1","19884"
"Diego Castillo","ARI","0","0","0","2","0","2.0","4.50","13.50","4.50",".556","23.3%","70.0%","50.0%","65.5","36.00","11.08","14.61","9.59","-0.1","19906"
"Cole Sulser","ARI","1","4","2","39","0","34.0","10.06","4.24","1.59",".371","68.7%","40.2%","18.2%","91.8","5.29","4.97","4.58","3.73","-0.2","15256"
"Luis Frias","ARI","1","1","0","15","0","17.0","7.41","9.00","0.53",".386","53.0%","39.7%","4.5%","96.8","10.59","5.78","5.41","6.56","-0.2","21997"
"Tommy Henry","ARI","3","4","0","9","9","47.0","6.89","4.02","1.91",".274","75.4%","39.4%","16.9%","91.5","5.36","4.87","5.88","4.97","-0.4","26285"
